axis_id,axis_00,axis_01,axis_02,axis_03,axis_04,axis_05,axis_06,axis_07,axis_08,axis_09,axis_10,axis_11,axis_12,axis_13,axis_14,axis_15,axis_16,axis_17,axis_18,axis_19
0,0.99999999999999989,0.66666666666666585,0.16666666666666671,0.66666666666666718,0.16666666666666655,-0.16666666666666627,0.66666666666666707,0.16666666666666224,-0.16666666666667099,0.16666666666666569,-0.16666666666667043,0.16666666666666635,-0.16666666666666718,-0.6666666666666663,0.16666666666667121,-0.16666666666666316,-0.66666666666666652,-0.16666666666666194,-0.66666666666666663,-1
1,0.66666666666666585,1,0.66666666666666718,0.16666666666666671,-0.16666666666666707,0.16666666666666727,0.16666666666666641,-0.16666666666666741,0.16666666666666627,0.6666666666666663,-0.66666666666666696,-0.16666666666667099,0.16666666666666316,-0.16666666666666971,-0.16666666666666319,0.1666666666666711,-0.16666666666666194,-0.66666666666666652,-1.0000000000000002,-0.66666666666666652
2,0.16666666666666671,0.66666666666666718,1,-0.16666666666666119,0.16666666666667154,0.6666666666666673,-0.16666666666666718,0.16666666666666632,0.66666666666666552,0.16666666666666632,-0.16666666666666299,-0.66666666666666607,-0.16666666666666963,0.16666666666666313,-0.6666666666666673,-0.16666666666666671,0.16666666666666599,-0.99999999999999989,-0.66666666666666663,-0.16666666666667138
3,0.66666666666666718,0.16666666666666671,-0.16666666666666119,1.0000000000000002,0.66666666666666674,0.1666666666666714,0.16666666666666696,-0.1666666666666704,-0.66666666666666607,-0.16666666666666713,0.16666666666666238,0.66666666666666552,0.16666666666666563,-0.16666666666666227,-0.16666666666666666,-0.66666666666666741,-1,0.16666666666666591,-0.16666666666667132,-0.66666666666666652
4,0.16666666666666655,-0.16666666666666707,0.16666666666667154,0.66666666666666674,1.0000000000000004,0.6666666666666673,-0.16666666666666316,0.16666666666666755,-0.16666666666666219,-0.6666666666666673,0.66666666666666652,0.16666666666666557,-0.16666666666667138,0.16666666666666713,-0.66666666666666663,-1.0000000000000004,-0.66666666666666663,-0.16666666666666738,0.16666666666666322,-0.16666666666666982
5,-0.16666666666666627,0.16666666666666727,0.6666666666666673,0.1666666666666714,0.6666666666666673,1.0000000000000002,-0.66666666666666663,-0.16666666666666968,0.16666666666666635,-0.16666666666666299,0.16666666666666632,-0.16666666666666305,0.16666666666666655,0.66666666666666641,-1.0000000000000002,-0.66666666666666663,-0.16666666666666735,-0.6666666666666673,-0.1666666666666706,0.16666666666666241
6,0.66666666666666707,0.16666666666666641,-0.16666666666666718,0.16666666666666696,-0.16666666666666316,-0.66666666666666663,1.0000000000000002,0.66666666666666574,0.16666666666666255,-0.16666666666667049,0.16666666666666641,-0.16666666666666655,-0.66666666666666652,-1,0.66666666666666741,0.16666666666666655,-0.16666666666667032,0.16666666666667124,-0.16666666666666305,-0.66666666666666718
7,0.16666666666666224,-0.16666666666666741,0.16666666666666632,-0.1666666666666704,0.16666666666666755,-0.16666666666666968,0.66666666666666574,1,0.66666666666666707,-0.6666666666666673,0.6666666666666673,-0.66666666666666707,-1,-0.6666666666666663,0.16666666666666646,-0.16666666666666344,0.16666666666666705,-0.16666666666666288,0.16666666666667154,-0.16666666666666638
8,-0.16666666666667099,0.16666666666666627,0.66666666666666552,-0.66666666666666607,-0.16666666666666219,0.16666666666666635,0.16666666666666255,0.66666666666666707,0.99999999999999956,-0.16666666666666724,0.16666666666667129,-0.99999999999999967,-0.6666666666666663,-0.16666666666666721,-0.16666666666667035,0.16666666666666693,0.66666666666666685,-0.66666666666666596,-0.16666666666666152,0.1666666666666663
9,0.16666666666666569,0.6666666666666663,0.16666666666666632,-0.16666666666666713,-0.6666666666666673,-0.16666666666666299,-0.16666666666667049,-0.6666666666666673,-0.16666666666666724,0.99999999999999978,-0.99999999999999978,0.16666666666666319,0.66666666666666707,0.16666666666666713,0.16666666666666638,0.6666666666666673,0.16666666666667115,-0.16666666666666971,-0.66666666666666652,-0.16666666666666233
10,-0.16666666666667043,-0.66666666666666696,-0.16666666666666299,0.16666666666666238,0.66666666666666652,0.16666666666666632,0.16666666666666641,0.6666666666666673,0.16666666666667129,-0.99999999999999978,0.99999999999999978,-0.16666666666666724,-0.66666666666666707,-0.16666666666666305,-0.16666666666666971,-0.66666666666666652,-0.16666666666666641,0.16666666666666638,0.66666666666666718,0.16666666666666707
11,0.16666666666666635,-0.16666666666667099,-0.66666666666666607,0.66666666666666552,0.16666666666666557,-0.16666666666666305,-0.16666666666666655,-0.66666666666666707,-0.99999999999999967,0.16666666666666319,-0.16666666666666724,0.99999999999999978,0.6666666666666663,0.16666666666667118,0.16666666666666699,-0.16666666666667032,-0.6666666666666663,0.66666666666666674,0.16666666666666624,-0.16666666666666161
12,-0.16666666666666718,0.16666666666666316,-0.16666666666666963,0.16666666666666563,-0.16666666666667138,0.16666666666666655,-0.66666666666666652,-1,-0.6666666666666663,0.66666666666666707,-0.66666666666666707,0.6666666666666663,1,0.66666666666666707,-0.16666666666666333,0.1666666666666673,-0.1666666666666623,0.16666666666666619,-0.1666666666666673,0.16666666666667126
