edge_id,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41
e000,0.044043044622799662,-0,0.0010804136264723865,-0,0,0,0,0,-0,0,0,-0,0,0,-0.011385496633950963,-0.024121360814374292,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,-2.4592472008673368e-16,-0.0041711883239797624,0.58934707329210545,0,0,-0,0,0,-0,0,0.00044914987037694899,0,-0,0,-0
e001,0.32579672316126101,-0.19004273717053302,0.12153279985108216,0.059283035842030644,-0.041699397617397174,0.014407357945177045,-0.0034209389069916819,-0.01814892286720721,-0.012500052661020673,0.046864994092236413,0.11842043454491712,-0.044083617351815561,-0.031721996265663452,-0.032829271037868701,0.17409259476476607,0.14451370804545924,0.082186321475628765,-0.031928003415575529,-0.027499757797180693,0.014085251157163173,0.091406992549664515,0.14655373692996537,-0.095372976193607059,-0.020850676245523937,0.067983766103706308,-0.0035259724954344127,0.0093074924187150892,0.013833680400703895,0.043029741874269029,-0.13165146466856426,0.085693201380608985,0.025928971001191039,-0.028590251360526404,-0.075114525471374122,-0.10050554574274555,0.014411593961613688,-0.024430008986901008,0.012252460018850282,0.09512281594509063,0.069795329209740076,-0.03516653254475674,-0.051923584520234455
e002,-0.08898425079512351,0.26093487661144071,-0.052845175261183472,-0.0887796845567837,0.055286848872610143,-0.021018660132567361,-0.0019688674034118864,0.031288687158846813,0.0016931981919217939,-0.051918967897305351,-0.15544197636773138,0.03757143320299193,0.030112936793513925,0.043641740308431126,0.15179459451461783,-0.029917900750100236,-0.10157719990952187,0.014649881422691229,-0.0022520297714726622,0.013352813380302069,-0.13725292805874781,-0.20984330356616246,0.15613123966773026,0.032424240397610653,-0.08553535090480191,0.046476503447982778,-0.017789566893973367,-0.042129829777058321,-0.086676774027148532,-0.1088012979701941,-0.06335915767678936,-0.033940444676815833,0.072120910143045391,0.12232209673330939,0.095042210310210096,0.035496086129075718,0.020660819682790578,-0.015563349984396782,-0.16166908196454577,-0.075882019239852425,0.039051936020151438,0.064583587904781734
e003,-0.28085551698893652,-0.070892139440907609,-0.069768038216371356,0.029496648714752952,-0.013587451255212952,0.0066113021873904412,0.0053898063104036997,-0.013139764291639319,0.010806854469098733,0.0050539738050691431,0.037021541822814183,0.0065121841488238151,0.0016090594721498222,-0.010812469270562331,-0.31450169264543326,-0.090474446480984905,0.019390878433892745,0.017278121992884355,0.029751787568653359,-0.027438064537465376,0.045845935509083099,0.063289566636196934,-0.060758263474123539,-0.011573564152086845,0.017551584801095994,-0.042950530952548624,0.0084820744752586406,0.028296149376354284,0.047818220476859442,-0.34889431065334725,-0.022334043703819757,0.0080114736756246412,-0.043530658782519355,-0.047207571261934901,0.0054633354325351463,-0.049907680090689355,0.0037691893041106369,0.0028617400951694719,0.066546266019455014,0.0060866900301125432,-0.0038854034753947921,-0.012660003384547421
e004,-0.044426292159125885,0.17144160708437392,-0.17307827578922078,-0.083860211838378967,-0.093257082634264965,-0.11828471347449306,0.042159176931190416,0.031080239942756997,0.069239151038349114,0.030872044833834843,0.046643837148858058,-0.011586801754753313,0.034008815566712314,-0.014902431948517338,0.026232707318306334,0.039646247976684049,0.035956619071058626,0.034374933003640903,-0.058231574473921126,0.0013787274843313773,0.10785806358868975,0.14823855684856277,-0.084768251408601919,0.0027339992546269081,-0.076933864361384718,-0.23497473254429527,-0.01139617245021975,0.040096520191139004,-0.26755472812578268,0.0026716900281903758,-0.0032360359662252838,0.013114385782103413,0.18559073601719103,-0.057980611234260702,-0.068153170961792853,0.019425813705148183,-0.081795076761361815,0.030370369594690201,0.055750123706059668,-0.0082967754585627652,-0.095182498198978879,0.022972547559871836
e005,0.047974296132789418,-0.065145765393545135,-0.087151567973805438,0.090570076241939759,-0.010746180529433914,0.084058350839719007,-0.054673902015537845,-0.013824197699640833,0.03349703669347074,-0.032966337559611265,0.035798580720492815,0.011753515659743131,-0.21666474576763817,0.019893681482971732,0.0047954566477099725,-0.13801066575784104,-0.035205695597849251,-0.10439834547981729,-0.023460089662344922,0.081967980285906586,-0.11956443933220375,-0.10109640482067798,0.039616056679839785,0.033264267474370432,0.11589668380329357,0.13762143743168431,0.088524055033865734,-0.032909006785358505,0.34354844929050016,-0.030026563080191828,0.035618649457590315,0.066942887092534431,-0.018177823155744642,0.057883669034566425,0.0053561365519920424,-0.060260947958080541,-0.064783225517043977,-0.11799462233704215,-0.032715354153975758,0.055096590010137378,0.0609630809468222,-0.03749153346801961
e006,-0.019949515396446477,-0.0058786237945700117,0.064244152996923265,0.053629275656207127,-0.00051226786788028875,0.018099185861002808,0.024801278794903972,-0.02869574131542519,-0.046043244046201005,-0.13100586094659289,-0.043297792544898517,0.048780168307645533,0.20165989297310641,-0.025198304156556939,-0.055565457392770065,-0.0039977504247747245,0.10785105811028387,-0.090765381885227647,0.027287857134805645,0.14167822430777219,-0.0075841529530917759,-0.056048851102327463,-0.069742435930133004,0.017152953895996921,-0.13176812873373683,0.12929066366226064,0.10899777792115743,0.0020872239847917937,-0.074300741752349617,0.010022433894384068,0.0056751801834839686,-0.1526229021481095,-0.21876610234431854,-0.015520297383890359,0.047825493104754355,0.079749417221711624,0.016392142491783536,0.25279125754676662,-0.050338439469078053,0.063582995827628122,-0.022838473130677734,-0.14450947502899728
e007,0.016401511422783149,-0.10041721789625957,0.19598569076610339,-0.060339140059767524,0.10451553103157919,0.016127176773771457,-0.012286553710556945,0.011439699072308468,-0.056692943685619002,0.13310015367236916,-0.039144625324452134,-0.048946882212635413,-0.019003962772180943,0.020207054622102424,0.024537293426753648,0.10236216820593091,-0.10860198158349284,0.16078879436140348,0.054403807001460705,-0.22502493207800972,0.019290528696605091,0.0089066990744424181,0.11489463065889509,-0.053151220624994111,0.092805309291828508,-0.03193736854964889,-0.18612566050480323,-0.009274737390572059,-0.001692979412366985,0.01733243915761749,-0.038057793674848968,0.072565629273471655,0.051353189482872298,0.015617239583584869,0.014971541305046817,-0.038914282968778705,0.13018615978662193,-0.16516700480441521,0.027303669916993824,-0.11038281037920258,0.057057890382834778,0.15902846093714504
e008,-0.10903394827823183,0.058127548041360583,-0.033384753839195383,0.096617177007700908,-0.090078485881740306,0.056675888639170578,0.09339372174961813,-0.018975732749165815,-0.0067248918777222146,0.065668767647047821,0.01146346272824164,0.084251875487053152,0.14049280800778538,0.058002544338890398,-0.11311470955261134,0.074672542943502104,0.09247944039976877,-0.12557121469327806,0.0077518689458377999,-0.011645833453445768,-0.03037918618052058,-0.044921870718043794,-0.053963381344092273,-0.19807528288091622,-0.051959003048779914,-0.011797883275429594,-0.021791587923028686,-0.015921412503716613,0.087627276004448404,-0.013669542336990482,0.033545809771838263,-0.0054125834468854387,0.0038325217904035844,-0.065270209286530712,-0.15807553865310686,0.12828333791940916,0.075698832758062745,-0.25755690394409647,0.22420693114278742,-0.0080858313620777913,0.0056012214266875499,-0.021741017072953586
e009,0.078151068151690414,-0.088352328361640808,-0.0019514177730136639,0.0091035217327369959,0.040701415985348141,0.0010252982129020857,-0.0024416663762690462,-0.0082400692487046238,0.00030277777715786124,0.052828152915798669,-0.0063586277689551629,-0.038066554408511317,-0.12477193624212536,-0.0050570558356267913,0.063626435128633974,-0.30527723621774205,-0.015304651402834137,0.10226834675014103,0.0070235515447323984,-0.021992820354191728,0.0019534969168986636,-0.030310276882084312,-0.0097501271952833771,-0.025802950871666668,0.082138594012751809,-0.012660637328959227,-0.059720381479567472,-0.040059077818600575,-0.17358993980914028,0.0084985506744272264,-0.0064227350333731954,0.077374394063268404,0.009341962694089977,0.08215925984763596,-0.0027823017995296162,-0.13664849818139413,-0.0088413956829426869,0.35703779896408849,-0.03555245660016923,0.0078577903316133842,-0.039112871652163261,0.0015498535806153946
