target,row,column,row_monomial,column_monomial,gram_entry
e4_residual_1_over_16,10,6,f0*f1^3,f0^2*f1*f3,-1.847974047877187e-05
e4_residual_1_over_16,10,7,f0*f1^3,f0^2*f2^2,3.43991532007037e-06
e4_residual_1_over_16,10,8,f0*f1^3,f0^2*f2*f3,-3.539968345625854e-06
e4_residual_1_over_16,10,9,f0*f1^3,f0^2*f3^2,-2.4294541612181544e-06
e4_residual_1_over_16,10,10,f0*f1^3,f0*f1^3,6.808783513152642e-05
e4_residual_1_over_16,11,0,f0*f1^2*f2,f0^4,-2.1676156750033238e-06
e4_residual_1_over_16,11,1,f0*f1^2*f2,f0^3*f1,0.00016604501239554284
e4_residual_1_over_16,11,2,f0*f1^2*f2,f0^3*f2,0.00012158783842987108
e4_residual_1_over_16,11,3,f0*f1^2*f2,f0^3*f3,0.00020658461351401902
e4_residual_1_over_16,11,4,f0*f1^2*f2,f0^2*f1^2,-1.4410053586996456e-05
e4_residual_1_over_16,11,5,f0*f1^2*f2,f0^2*f1*f2,3.156944029713406e-05
e4_residual_1_over_16,11,6,f0*f1^2*f2,f0^2*f1*f3,0.00010677968180433355
e4_residual_1_over_16,11,7,f0*f1^2*f2,f0^2*f2^2,-0.00012905874627601132
e4_residual_1_over_16,11,8,f0*f1^2*f2,f0^2*f2*f3,-4.9199042438187304e-05
e4_residual_1_over_16,11,9,f0*f1^2*f2,f0^2*f3^2,2.9354436500957453e-05
e4_residual_1_over_16,11,10,f0*f1^2*f2,f0*f1^3,3.237095139328341e-05
e4_residual_1_over_16,11,11,f0*f1^2*f2,f0*f1^2*f2,0.0007190081416809445
e4_residual_1_over_16,12,0,f0*f1^2*f3,f0^4,-1.306076457975988e-06
e4_residual_1_over_16,12,1,f0*f1^2*f3,f0^3*f1,3.983187929892261e-05
e4_residual_1_over_16,12,2,f0*f1^2*f3,f0^3*f2,2.9570021193444006e-05
e4_residual_1_over_16,12,3,f0*f1^2*f3,f0^3*f3,1.0255204838256816e-06
e4_residual_1_over_16,12,4,f0*f1^2*f3,f0^2*f1^2,1.0222783608987471e-05
e4_residual_1_over_16,12,5,f0*f1^2*f3,f0^2*f1*f2,1.551321734382238e-05
e4_residual_1_over_16,12,6,f0*f1^2*f3,f0^2*f1*f3,-2.4966914441855006e-05
e4_residual_1_over_16,12,7,f0*f1^2*f3,f0^2*f2^2,6.052439768056592e-06
e4_residual_1_over_16,12,8,f0*f1^2*f3,f0^2*f2*f3,-4.252965271111994e-05
e4_residual_1_over_16,12,9,f0*f1^2*f3,f0^2*f3^2,-4.524070168072396e-05
e4_residual_1_over_16,12,10,f0*f1^2*f3,f0*f1^3,-3.2311834581745824e-06
e4_residual_1_over_16,12,11,f0*f1^2*f3,f0*f1^2*f2,0.0001416000731401281
e4_residual_1_over_16,12,12,f0*f1^2*f3,f0*f1^2*f3,0.0004584758634743422
e4_residual_1_over_16,13,0,f0*f1*f2^2,f0^4,-5.5350307346622885e-06
e4_residual_1_over_16,13,1,f0*f1*f2^2,f0^3*f1,9.905537724266994e-06
e4_residual_1_over_16,13,2,f0*f1*f2^2,f0^3*f2,9.713483557452766e-05
e4_residual_1_over_16,13,3,f0*f1*f2^2,f0^3*f3,3.173137418898306e-05
e4_residual_1_over_16,13,4,f0*f1*f2^2,f0^2*f1^2,1.9634995986625174e-05
e4_residual_1_over_16,13,5,f0*f1*f2^2,f0^2*f1*f2,0.00010453681871417742
e4_residual_1_over_16,13,6,f0*f1*f2^2,f0^2*f1*f3,1.9209882222386747e-05
e4_residual_1_over_16,13,7,f0*f1*f2^2,f0^2*f2^2,2.0081677228496704e-05
e4_residual_1_over_16,13,8,f0*f1*f2^2,f0^2*f2*f3,3.156472115151465e-05
e4_residual_1_over_16,13,9,f0*f1*f2^2,f0^2*f3^2,-5.447799017419019e-06
e4_residual_1_over_16,13,10,f0*f1*f2^2,f0*f1^3,1.5788661445949582e-05
e4_residual_1_over_16,13,11,f0*f1*f2^2,f0*f1^2*f2,0.00021838226500507928
e4_residual_1_over_16,13,12,f0*f1*f2^2,f0*f1^2*f3,0.0001612130541175755
e4_residual_1_over_16,13,13,f0*f1*f2^2,f0*f1*f2^2,0.000702650733094787
e4_residual_1_over_16,14,0,f0*f1*f2*f3,f0^4,2.782969998247909e-05
e4_residual_1_over_16,14,1,f0*f1*f2*f3,f0^3*f1,-0.00013308584768831173
e4_residual_1_over_16,14,2,f0*f1*f2*f3,f0^3*f2,-0.0003512428180063399
e4_residual_1_over_16,14,3,f0*f1*f2*f3,f0^3*f3,-0.00029916535057584597
e4_residual_1_over_16,14,4,f0*f1*f2*f3,f0^2*f1^2,3.80536880986631e-05
e4_residual_1_over_16,14,5,f0*f1*f2*f3,f0^2*f1*f2,-9.659610724738385e-06
e4_residual_1_over_16,14,6,f0*f1*f2*f3,f0^2*f1*f3,5.179940355659111e-05
e4_residual_1_over_16,14,7,f0*f1*f2*f3,f0^2*f2^2,2.5099618274196883e-05
e4_residual_1_over_16,14,8,f0*f1*f2*f3,f0^2*f2*f3,-7.426269256218517e-05
e4_residual_1_over_16,14,9,f0*f1*f2*f3,f0^2*f3^2,9.08720322621817e-06
e4_residual_1_over_16,14,10,f0*f1*f2*f3,f0*f1^3,6.514273185284049e-05
e4_residual_1_over_16,14,11,f0*f1*f2*f3,f0*f1^2*f2,0.00019143061284840403
e4_residual_1_over_16,14,12,f0*f1*f2*f3,f0*f1^2*f3,0.00018474361634866082
e4_residual_1_over_16,14,13,f0*f1*f2*f3,f0*f1*f2^2,0.0003013251036712947
e4_residual_1_over_16,14,14,f0*f1*f2*f3,f0*f1*f2*f3,0.0013214311064912799
e4_residual_1_over_16,15,0,f0*f1*f3^2,f0^4,-1.8799503919892824e-05
e4_residual_1_over_16,15,1,f0*f1*f3^2,f0^3*f1,6.023825746451167e-06
e4_residual_1_over_16,15,2,f0*f1*f3^2,f0^3*f2,0.00010201227222408446
e4_residual_1_over_16,15,3,f0*f1*f3^2,f0^3*f3,0.00017560790707446262
e4_residual_1_over_16,15,4,f0*f1*f3^2,f0^2*f1^2,-1.4105491674732283e-05
e4_residual_1_over_16,15,5,f0*f1*f3^2,f0^2*f1*f2,4.8425625595790135e-05
e4_residual_1_over_16,15,6,f0*f1*f3^2,f0^2*f1*f3,-6.535122092453817e-06
e4_residual_1_over_16,15,7,f0*f1*f3^2,f0^2*f2^2,7.327964073713856e-05
e4_residual_1_over_16,15,8,f0*f1*f3^2,f0^2*f2*f3,5.779333001730813e-05
e4_residual_1_over_16,15,9,f0*f1*f3^2,f0^2*f3^2,-1.3469158228603741e-06
e4_residual_1_over_16,15,10,f0*f1*f3^2,f0*f1^3,3.7447496988600334e-05
e4_residual_1_over_16,15,11,f0*f1*f3^2,f0*f1^2*f2,0.00013953173024935516
e4_residual_1_over_16,15,12,f0*f1*f3^2,f0*f1^2*f3,0.00021033590819504055
e4_residual_1_over_16,15,13,f0*f1*f3^2,f0*f1*f2^2,5.867861762446416e-05
e4_residual_1_over_16,15,14,f0*f1*f3^2,f0*f1*f2*f3,0.00016163678322386578
e4_residual_1_over_16,15,15,f0*f1*f3^2,f0*f1*f3^2,0.0006980633998568655
e4_residual_1_over_16,16,0,f0*f2^3,f0^4,-6.111842162332293e-06
e4_residual_1_over_16,16,1,f0*f2^3,f0^3*f1,-1.1653331936303612e-05
e4_residual_1_over_16,16,2,f0*f2^3,f0^3*f2,-9.016714045745181e-05
e4_residual_1_over_16,16,3,f0*f2^3,f0^3*f3,4.2991583641448354e-06
e4_residual_1_over_16,16,4,f0*f2^3,f0^2*f1^2,2.8560444779897643e-05
e4_residual_1_over_16,16,5,f0*f2^3,f0^2*f1*f2,-3.48477941227723e-06
e4_residual_1_over_16,16,6,f0*f2^3,f0^2*f1*f3,-7.952083658745156e-06
e4_residual_1_over_16,16,7,f0*f2^3,f0^2*f2^2,-3.881759849042133e-05
e4_residual_1_over_16,16,8,f0*f2^3,f0^2*f2*f3,-5.804109612282843e-05
e4_residual_1_over_16,16,9,f0*f2^3,f0^2*f3^2,-8.144924107906227e-06
e4_residual_1_over_16,16,10,f0*f2^3,f0*f1^3,-6.641392370986185e-06
e4_residual_1_over_16,16,11,f0*f2^3,f0*f1^2*f2,3.4614279944931126e-05
e4_residual_1_over_16,16,12,f0*f2^3,f0*f1^2*f3,1.5066029783531711e-06
e4_residual_1_over_16,16,13,f0*f2^3,f0*f1*f2^2,0.00014723916602382554
e4_residual_1_over_16,16,14,f0*f2^3,f0*f1*f2*f3,0.0001402882279885611
e4_residual_1_over_16,16,15,f0*f2^3,f0*f1*f3^2,2.6826752100002906e-05
e4_residual_1_over_16,16,16,f0*f2^3,f0*f2^3,0.00017813996679796477
e4_residual_1_over_16,17,0,f0*f2^2*f3,f0^4,-5.308928624147226e-06
e4_residual_1_over_16,17,1,f0*f2^2*f3,f0^3*f1,1.8172794444000553e-05
e4_residual_1_over_16,17,2,f0*f2^2*f3,f0^3*f2,0.000120129152506401
e4_residual_1_over_16,17,3,f0*f2^2*f3,f0^3*f3,8.599067788112914e-06
e4_residual_1_over_16,17,4,f0*f2^2*f3,f0^2*f1^2,3.527181859007818e-05
e4_residual_1_over_16,17,5,f0*f2^2*f3,f0^2*f1*f2,4.5502210597944796e-05
e4_residual_1_over_16,17,6,f0*f2^2*f3,f0^2*f1*f3,-3.8867042484333196e-05
e4_residual_1_over_16,17,7,f0*f2^2*f3,f0^2*f2^2,9.626727865393609e-05
e4_residual_1_over_16,17,8,f0*f2^2*f3,f0^2*f2*f3,3.5676974947485085e-05
e4_residual_1_over_16,17,9,f0*f2^2*f3,f0^2*f3^2,-0.00011783378489064778
e4_residual_1_over_16,17,10,f0*f2^2*f3,f0*f1^3,-1.1330102430310075e-06
e4_residual_1_over_16,17,11,f0*f2^2*f3,f0*f1^2*f2,-1.5406700581548115e-05
e4_residual_1_over_16,17,12,f0*f2^2*f3,f0*f1^2*f3,2.4522792681433845e-05
e4_residual_1_over_16,17,13,f0*f2^2*f3,f0*f1*f2^2,0.00018604024666620317
e4_residual_1_over_16,17,14,f0*f2^2*f3,f0*f1*f2*f3,0.00034189974426227746
e4_residual_1_over_16,17,15,f0*f2^2*f3,f0*f1*f3^2,0.0001080784212140027
e4_residual_1_over_16,17,16,f0*f2^2*f3,f0*f2^3,0.00013535841862912922
e4_residual_1_over_16,17,17,f0*f2^2*f3,f0*f2^2*f3,0.0006657456422029035
e4_residual_1_over_16,18,0,f0*f2*f3^2,f0^4,3.642855218935845e-06
e4_residual_1_over_16,18,1,f0*f2*f3^2,f0^3*f1,-9.865734775126502e-06
e4_residual_1_over_16,18,2,f0*f2*f3^2,f0^3*f2,-4.2026638779175646e-05
e4_residual_1_over_16,18,3,f0*f2*f3^2,f0^3*f3,6.406560904257537e-05
e4_residual_1_over_16,18,4,f0*f2*f3^2,f0^2*f1^2,1.6465250590400731e-06
e4_residual_1_over_16,18,5,f0*f2*f3^2,f0^2*f1*f2,2.131843508245336e-05
e4_residual_1_over_16,18,6,f0*f2*f3^2,f0^2*f1*f3,5.639063614671408e-05
e4_residual_1_over_16,18,7,f0*f2*f3^2,f0^2*f2^2,8.926928803276436e-05
e4_residual_1_over_16,18,8,f0*f2*f3^2,f0^2*f2*f3,0.00012198247347769576
e4_residual_1_over_16,18,9,f0*f2*f3^2,f0^2*f3^2,5.5266346454072885e-05
e4_residual_1_over_16,18,10,f0*f2*f3^2,f0*f1^3,1.457971892081203e-05
e4_residual_1_over_16,18,11,f0*f2*f3^2,f0*f1^2*f2,7.53911610863833e-05
e4_residual_1_over_16,18,12,f0*f2*f3^2,f0*f1^2*f3,0.00013159245880949884
e4_residual_1_over_16,18,13,f0*f2*f3^2,f0*f1*f2^2,3.824509114180967e-05
e4_residual_1_over_16,18,14,f0*f2*f3^2,f0*f1*f2*f3,0.0004510095402094277
e4_residual_1_over_16,18,15,f0*f2*f3^2,f0*f1*f3^2,0.00022348774307380642
e4_residual_1_over_16,18,16,f0*f2*f3^2,f0*f2^3,-8.640879615595468e-06
e4_residual_1_over_16,18,17,f0*f2*f3^2,f0*f2^2*f3,0.0002548619763777669
e4_residual_1_over_16,18,18,f0*f2*f3^2,f0*f2*f3^2,0.0007058604614952498
e4_residual_1_over_16,19,0,f0*f3^3,f0^4,7.16861669294611e-07
e4_residual_1_over_16,19,1,f0*f3^3,f0^3*f1,1.956637588777524e-05
e4_residual_1_over_16,19,2,f0*f3^3,f0^3*f2,2.531121142809574e-05
e4_residual_1_over_16,19,3,f0*f3^3,f0^3*f3,-8.797715524825116e-05
e4_residual_1_over_16,19,4,f0*f3^3,f0^2*f1^2,-1.5811330625039206e-05
e4_residual_1_over_16,19,5,f0*f3^3,f0^2*f1*f2,-2.7830988006077686e-06
e4_residual_1_over_16,19,6,f0*f3^3,f0^2*f1*f3,2.3363740859342617e-05
e4_residual_1_over_16,19,7,f0*f3^3,f0^2*f2^2,4.219114745861369e-05
