target,denominator_limit,coefficient_0,coefficient_1,minimum_residual,maximum_residual,mean_residual,captured_mean,negative_residual_count,sample_nonnegative
e4,12,0,1/12,-3.9160833689061265e-05,0.00011621323988607652,2.7680494037346147e-05,0.00018867476627468086,14727,False
e4,360,0,1/16,9.430766300188935e-08,0.00017434639808179775,7.484918560601634e-05,0.00014150607470601065,0,True
e4,1080,0,67/1071,-1.5650716135535503e-08,0.00017418356010365848,7.471706041954949e-05,0.00014163819989247752,2,False
e4,10000,0,625/9992,1.9893541376931126e-11,0.00017420676679710025,7.473589010985462e-05,0.00014161937020217238,0,True
e4,0,0,0,0.00011785973171919141,0.0003487458726689615,0.00021635526031202698,0.0,0,True
e5,0,0,0,4.615320302932454e-09,9.685420637683738e-06,3.943287517099145e-06,0.0,0,True
e5,10000,0,1/10000,-2.95501852033855e-10,9.670889559655865e-06,3.934272714586143e-06,9.014802513001125e-09,1,False
