model,feature_names,coefficient_count,coefficients,r_squared,root_mean_square_residual,maximum_absolute_residual,minimum_residual,maximum_residual
s4_affine,"[""1"", ""S4""]",2,"[0.010978591701978542, 0.06441298893893677]",0.9644751432270823,0.0025821104223430784,0.014994174700748902,-0.014994174700748902,0.005273571933844548
s4_quadratic,"[""1"", ""S4"", ""S4^2""]",3,"[-0.03242082986254315, 0.1378059707947084, -0.030099199373620513]",0.9742020725033894,0.00220039703854601,0.015177737795004656,-0.015177737795004656,0.005355011352952049
s4_s6_affine,"[""1"", ""S4"", ""S6""]",3,"[0.01779329373568944, 0.053496242323499164, 0.008742242935415439]",0.9649156997238855,0.00256604963413678,0.015934051214560437,-0.015934051214560437,0.004924900282006317
s4_s6_s8_affine,"[""1"", ""S4"", ""S6"", ""S8""]",4,"[0.05040351718411276, -0.0335085505750785, 0.17118740815286326, -0.09282766850702334]",0.9752604695774538,0.002154787109834484,0.01610831846035881,-0.01610831846035881,0.004859705243363849
