solve_name,status,margin,elapsed_seconds,maximum_coefficient_residual,kernel_maximum_absolute_eigenvalue,first_face_eigenvalue,numerical_rank
saved_048,saved,-9.691876426521289e-13,0.0,1.0052690779550075e-15,9.691876426521289e-13,1.0848028580069029e-06,46
scs_eps_1e8,optimal,-1.0861662049893416e-13,0.4679597089998424,1.0052690779550075e-15,9.691876426521289e-13,1.0848028580069029e-06,46
scs_eps_3e9,optimal,-2.6365017121024434e-14,0.4385176249779761,3.8619111977344217e-16,3.815865699568855e-13,1.0847929737971696e-06,46
scs_eps_1e9,optimal,-1.7638862241224938e-14,0.46246045804582536,1.8689019651513608e-16,2.006816595539725e-13,1.3970572075927177e-06,46
scs_eps_3e10,optimal,-3.920298947175354e-15,0.4469578331336379,4.109126233720062e-17,4.4153654920947136e-14,1.3970565655529258e-06,46
