coefficient_id,monomial,target_exact,candidate_exact,exact_match,target_float,candidate_float
109,f0*f1*f2^2*f3^4,-2650363/651866172968,-2650363/651866172968,True,-4.065808458709677e-06,-4.065808458709677e-06
110,f0*f1*f2*f3^5,87211455/559753988281,87211455/559753988281,True,0.00015580318644593436,0.00015580318644593436
111,f0*f1*f3^6,32397409/845110652189,32397409/845110652189,True,3.833510903700533e-05,3.833510903700533e-05
112,f0*f2^7,0,0,True,0.0,0.0
113,f0*f2^6*f3,-12008299/967628183832,-12008299/967628183832,True,-1.2410034350637399e-05,-1.2410034350637399e-05
114,f0*f2^5*f3^2,101856513/400658928122,101856513/400658928122,True,0.0002542224966193312,0.0002542224966193312
115,f0*f2^4*f3^3,-6025813/240961702874,-6025813/240961702874,True,-2.5007347342456846e-05,-2.5007347342456846e-05
116,f0*f2^3*f3^4,381517609/727120102201,381517609/727120102201,True,0.0005246968249745019,0.0005246968249745019
117,f0*f2^2*f3^5,-148245/9111000212,-148245/9111000212,True,-1.6270990731044887e-05,-1.6270990731044887e-05
118,f0*f2*f3^6,225639517/950526766634,225639517/950526766634,True,0.00023738365390701556,0.00023738365390701556
119,f0*f3^7,7497955/436736368592,7497955/436736368592,True,1.716814888618677e-05,1.716814888618677e-05
120,f1^8,101944967/602360295937,101944967/602360295937,True,0.0001692425076613321,0.0001692425076613321
121,f1^7*f2,-33461065/686366266554,-33461065/686366266554,True,-4.8751033712650335e-05,-4.8751033712650335e-05
122,f1^7*f3,-157918604/590887605331,-157918604/590887605331,True,-0.00026725658581302965,-0.00026725658581302965
123,f1^6*f2^2,1099192905/938551005974,1099192905/938551005974,True,0.0011711594766863956,0.0011711594766863956
124,f1^6*f2*f3,-142797952/605386657573,-142797952/605386657573,True,-0.00023587892170018768,-0.00023587892170018768
125,f1^6*f3^2,961414619/993962257843,961414619/993962257843,True,0.0009672546531961569,0.0009672546531961569
126,f1^5*f2^3,-101132041/989783958151,-101132041/989783958151,True,-0.0001021758740047911,-0.0001021758740047911
127,f1^5*f2^2*f3,-244811720/306332880679,-244811720/306332880679,True,-0.0007991689284459582,-0.0007991689284459582
128,f1^5*f2*f3^2,-397324897/913442184601,-397324897/913442184601,True,-0.0004349754190228856,-0.0004349754190228856
129,f1^5*f3^3,-128408516/408516771787,-128408516/408516771787,True,-0.0003143286270433763,-0.0003143286270433763
130,f1^4*f2^4,1302122685/632775543818,1302122685/632775543818,True,0.00205779552911185,0.00205779552911185
131,f1^4*f2^3*f3,-139388619/272413421741,-139388619/272413421741,True,-0.0005116804381706465,-0.0005116804381706465
132,f1^4*f2^2*f3^2,860958775/231717986358,860958775/231717986358,True,0.003715545730963822,0.003715545730963822
133,f1^4*f2*f3^3,-474474692/853357930239,-474474692/853357930239,True,-0.0005560090030066444,-0.0005560090030066444
134,f1^4*f3^4,709239945/460658008808,709239945/460658008808,True,0.0015396236067516363,0.0015396236067516363
135,f1^3*f2^5,-26615571/622834462694,-26615571/622834462694,True,-4.2732977370708356e-05,-4.2732977370708356e-05
136,f1^3*f2^4*f3,-651604691/622286295119,-651604691/622286295119,True,-0.001047113998992045,-0.001047113998992045
137,f1^3*f2^3*f3^2,-565415133/632199248308,-565415133/632199248308,True,-0.0008943622355029066,-0.0008943622355029066
138,f1^3*f2^2*f3^3,-63258490/73340876959,-63258490/73340876959,True,-0.0008625270466204489,-0.0008625270466204489
139,f1^3*f2*f3^4,-524169955/714878298237,-524169955/714878298237,True,-0.0007332296368384435,-0.0007332296368384435
140,f1^3*f3^5,250336407/939820212584,250336407/939820212584,True,0.00026636627266369336,0.00026636627266369336
141,f1^2*f2^6,369181241/336394844145,369181241/336394844145,True,0.0010974640290291361,0.0010974640290291361
142,f1^2*f2^5*f3,-188380233/840481824023,-188380233/840481824023,True,-0.00022413361909280852,-0.00022413361909280852
143,f1^2*f2^4*f3^2,2762390915/766165067663,2762390915/766165067663,True,0.003605477502943329,0.003605477502943329
144,f1^2*f2^3*f3^3,-265404845/340878422147,-265404845/340878422147,True,-0.0007785909220312782,-0.0007785909220312782
145,f1^2*f2^2*f3^4,3080684021/925932784773,3080684021/925932784773,True,0.0033271140968998683,0.0033271140968998683
146,f1^2*f2*f3^5,-387256172/638715398743,-387256172/638715398743,True,-0.0006063047372305804,-0.0006063047372305804
147,f1^2*f3^6,948675361/999664850199,948675361/999664850199,True,0.0009489934159545075,0.0009489934159545075
148,f1*f2^7,0,0,True,0.0,0.0
149,f1*f2^6*f3,-420303857/937872669049,-420303857/937872669049,True,-0.0004481459699920532,-0.0004481459699920532
150,f1*f2^5*f3^2,-188243290/481979952571,-188243290/481979952571,True,-0.00039056248915720216,-0.00039056248915720216
151,f1*f2^4*f3^3,-899947636/996559199163,-899947636/996559199163,True,-0.0009030548679454837,-0.0009030548679454837
152,f1*f2^3*f3^4,-608935201/905552108687,-608935201/905552108687,True,-0.0006724463398168461,-0.0006724463398168461
153,f1*f2^2*f3^5,-22075484/309667188657,-22075484/309667188657,True,-7.128777219097534e-05,-7.128777219097534e-05
154,f1*f2*f3^6,-70013036/228047154595,-70013036/228047154595,True,-0.00030701122372844136,-0.00030701122372844136
155,f1*f3^7,234540954/933700256417,234540954/933700256417,True,0.00025119512647456277,0.00025119512647456277
156,f2^8,99024433/841060615245,99024433/841060615245,True,0.0001177375699266982,0.0001177375699266982
157,f2^7*f3,0,0,True,0.0,0.0
158,f2^6*f3^2,435628474/526187780699,435628474/526187780699,True,0.0008278954585781165,0.0008278954585781165
159,f2^5*f3^3,-91544193/404909443382,-91544193/404909443382,True,-0.00022608559641232003,-0.00022608559641232003
160,f2^4*f3^4,410246345/278839541236,410246345/278839541236,True,0.001471263161535551,0.001471263161535551
161,f2^3*f3^5,-62451134/134747661447,-62451134/134747661447,True,-0.00046346729382434415,-0.00046346729382434415
162,f2^2*f3^6,525512079/572129792653,525512079/572129792653,True,0.0009185189894816858,0.0009185189894816858
163,f2*f3^7,-136964471/652995720966,-136964471/652995720966,True,-0.00020974788440785423,-0.00020974788440785423
164,f3^8,156624298/947957946201,156624298/947957946201,True,0.00016522283359476182,0.00016522283359476182
