probe_id,flux_norm,flux_norm_squared,direct_gap,base_quadratic_value,gram_quadratic_value,weighted_minor_value,maximum_minor_value_abs,identity_residual
0,0.15053227200172925,0.0226599649140026,0.0884511461971085,0.0884511461971085,0.0884511461971085,5.976214071430532e-19,1.3877787807814457e-17,0.0
1,0.21082921608782965,0.04444895835620877,0.06666215275490234,0.06666215275490231,0.06666215275490231,-1.2283507377445313e-18,1.3877787807814457e-17,2.7755575615628914e-17
2,0.08516659618916493,0.007253349106448282,0.10385776200466282,0.10385776200466283,0.10385776200466285,8.635587460651833e-19,6.938893903907228e-18,2.7755575615628914e-17
3,0.17431353406169448,0.03038520815707752,0.08072590295403359,0.0807259029540336,0.0807259029540336,-1.7180617402501562e-19,1.3877787807814457e-17,1.3877787807814457e-17
4,0.20979437079525487,0.04401367801737689,0.06709743309373421,0.06709743309373423,0.06709743309373423,-2.810555833515424e-19,2.7755575615628914e-17,1.3877787807814457e-17
5,0.0849692409963543,0.007219771915496537,0.10389133919561457,0.10389133919561458,0.10389133919561458,-2.5289687539196045e-18,1.3877787807814457e-17,1.3877787807814457e-17
6,0.1644697400133735,0.027050295380066675,0.08406081573104443,0.08406081573104444,0.08406081573104443,-7.398306038679233e-19,1.3877787807814457e-17,0.0
7,0.0826198017219996,0.0068260316365825295,0.10428507947452857,0.10428507947452859,0.10428507947452857,-4.046086510527235e-18,1.3877787807814457e-17,0.0
8,0.16209277287992552,0.02627406701990312,0.08483704409120799,0.08483704409120796,0.08483704409120796,-1.820056952564947e-18,1.3877787807814457e-17,2.7755575615628914e-17
9,0.22563015438462544,0.050908966567629915,0.06020214454348119,0.060202144543481204,0.0602021445434812,5.201553644180397e-19,1.3877787807814457e-17,6.938893903907228e-18
10,0.06696686642408872,0.004484561198661741,0.10662654991244937,0.10662654991244935,0.10662654991244938,-3.754059975527895e-18,2.7755575615628914e-17,1.3877787807814457e-17
11,0.08313328412288629,0.006911142929056538,0.10419996818205457,0.10419996818205458,0.1041999681820546,-1.2700411078423286e-18,1.3877787807814457e-17,2.7755575615628914e-17
12,0.1839955978524625,0.033854380029085106,0.07725673108202599,0.07725673108202596,0.07725673108202596,1.129570089455149e-18,1.3877787807814457e-17,2.7755575615628914e-17
13,0.12116497829102384,0.014680951964264279,0.09643015914684683,0.09643015914684683,0.09643015914684686,-3.0335785377325655e-18,1.3877787807814457e-17,2.7755575615628914e-17
14,0.17366253199394363,0.030158675018547496,0.08095243609256361,0.08095243609256356,0.08095243609256356,-1.232959971006621e-18,2.7755575615628914e-17,5.551115123125783e-17
15,0.1700224581314659,0.028907636269066082,0.08220347484204502,0.08220347484204503,0.08220347484204502,2.198943215681597e-19,1.3877787807814457e-17,0.0
16,0.10996210572147855,0.012091664694701626,0.09901944641640947,0.09901944641640947,0.09901944641640945,-1.500733194627839e-18,1.3877787807814457e-17,2.7755575615628914e-17
17,0.07096027142262962,0.005035360120373266,0.10607575099073784,0.10607575099073782,0.10607575099073781,5.742515126315256e-19,1.3877787807814457e-17,2.7755575615628914e-17
18,0.06145964288884768,0.0037772877040246847,0.10733382340708642,0.10733382340708639,0.10733382340708633,-3.542872068985103e-18,1.3877787807814457e-17,8.326672684688674e-17
19,0.10741382011432916,0.011537728751553466,0.09957338235955764,0.09957338235955762,0.09957338235955764,-6.887523883075818e-19,1.3877787807814457e-17,0.0
20,0.1432274441639988,0.02051410076175139,0.09059701034935971,0.09059701034935969,0.09059701034935969,1.9690057100627846e-18,1.3877787807814457e-17,2.7755575615628914e-17
21,0.1470509787581362,0.02162399035372582,0.08948712075738528,0.0894871207573853,0.0894871207573853,3.529622770786146e-19,1.3877787807814457e-17,1.3877787807814457e-17
22,0.18795476481054546,0.03532699361498746,0.07578411749612365,0.07578411749612365,0.07578411749612365,-4.422036606955086e-20,1.3877787807814457e-17,0.0
23,0.12985812930454957,0.016863133746477115,0.09424797736463399,0.094247977364634,0.094247977364634,-1.2134917279726507e-18,1.3877787807814457e-17,1.3877787807814457e-17
24,0.17903418805770405,0.032053240493481336,0.07905787061762977,0.07905787061762978,0.0790578706176298,4.372424221028654e-19,1.0408340855860843e-17,2.7755575615628914e-17
25,0.1572940859048461,0.024741429460641104,0.08636968165047,0.08636968165046997,0.08636968165046999,4.466918691371098e-19,2.7755575615628914e-17,1.3877787807814457e-17
26,0.22351369979220018,0.04995837399479778,0.061152737116313326,0.061152737116313305,0.06115273711631329,-5.158818758678258e-19,6.938893903907228e-18,3.469446951953614e-17
27,0.19323080604727047,0.03733814440567786,0.07377296670543323,0.07377296670543323,0.07377296670543326,1.315860017126374e-18,1.3877787807814457e-17,2.7755575615628914e-17
28,0.2045269183009237,0.04183126030967272,0.06927985080143839,0.0692798508014384,0.0692798508014384,-4.741016627280929e-19,1.3877787807814457e-17,1.3877787807814457e-17
29,0.16688565338298064,0.02785082130506436,0.08326028980604674,0.08326028980604673,0.08326028980604673,9.708753928933933e-20,1.3877787807814457e-17,1.3877787807814457e-17
30,0.19544101523461951,0.03819719043593878,0.07291392067517233,0.07291392067517233,0.07291392067517233,-1.6471318207528165e-18,2.7755575615628914e-17,0.0
31,0.2193104848977674,0.04809708878609385,0.06301402232501725,0.06301402232501725,0.06301402232501724,2.8317865576329375e-19,6.938893903907228e-18,1.3877787807814457e-17
32,0.11842872721048907,0.014025363428696433,0.09708574768241467,0.09708574768241464,0.09708574768241467,-7.468105058735423e-19,1.3877787807814457e-17,0.0
33,0.15897141765478232,0.025271911631171234,0.08583919947993987,0.08583919947993986,0.08583919947993986,-7.379460452200174e-19,6.938893903907228e-18,1.3877787807814457e-17
34,0.2224478061319802,0.04948302645293105,0.06162808465818005,0.06162808465818004,0.061628084658180024,-7.41104620648829e-19,1.3877787807814457e-17,2.7755575615628914e-17
35,0.12325961493403324,0.015192932673686151,0.09591817843742495,0.09591817843742492,0.09591817843742492,-9.33526580255226e-19,1.3877787807814457e-17,2.7755575615628914e-17
36,0.15325056684698304,0.023485736238921622,0.08762537487218948,0.08762537487218948,0.08762537487218948,1.376364842451855e-20,1.3877787807814457e-17,0.0
37,0.15480952843355814,0.023965990093820645,0.08714512101729047,0.08714512101729044,0.08714512101729047,5.498892831609462e-19,1.3877787807814457e-17,0.0
38,0.1525888065433642,0.023283343882328226,0.08782776722878288,0.08782776722878291,0.0878277672287829,1.6892541474231403e-18,1.3877787807814457e-17,1.3877787807814457e-17
