start_id,sigma,target_gap,stationarity_residual,f0,f1,f2,f3,quadratic_relation_score
0,0.3333333333333339,-6.106226635438361e-16,1.1401058387390287e-09,0.6934929708259202,0.3952414467428102,0.16666666163881164,-0.5788557005764594,0.0
1,0.3333333333333333,0.0,2.5793567490813386e-12,0.6779376857798833,-0.16648447339615025,0.6666666666739973,-0.26122589814795216,0.0
2,0.33333333333333326,5.551115123125783e-17,3.2313253251393837e-10,-0.05559819372811465,0.9284162968282789,0.16666666525094073,0.3273747750392004,0.0
3,0.3333333333333334,-1.1102230246251565e-16,6.860393171804274e-16,0.0,0.0,1.0,0.0,0.0
4,0.33333333333333304,2.7755575615628914e-16,1.040846157575401e-11,-0.08670876091563694,-0.19503554192371494,0.16666666664277568,0.9626343804358869,0.0
5,0.3333333333333333,0.0,1.4200620147832175e-10,-0.05559819322247226,0.9284162964075997,0.16666666717225376,0.32737477533995485,0.0
6,0.33333333333333304,2.7755575615628914e-16,4.6220431358628045e-11,-0.08670876069684925,-0.19503554163601355,0.1666666669363534,0.9626343804630553,0.0
7,0.33333333333333387,-5.551115123125783e-16,3.0856977700077137e-10,0.6223394944423781,0.7619318221162369,-0.1666666674159221,0.0661488781182773,0.0
8,0.33333333333333337,-5.551115123125783e-17,2.186362454165287e-11,-0.6067842091751824,-0.20020590401837193,0.6666666667477373,-0.38377867963097734,0.0
9,0.33333333333333326,5.551115123125783e-17,4.637956731578556e-10,0.6779376840291566,-0.166484474518093,0.6666666682081701,-0.2612258980611142,0.0
10,0.333333333333333,3.3306690738754696e-16,2.127998554235869e-10,-0.08670875906445542,-0.19503554213045576,0.16666666614820005,0.9626343806463729,0.0
11,0.3333333333333337,-3.885780586188048e-16,5.33967303571497e-10,0.6223394928436835,0.7619318232094102,-0.16666666868375574,0.06614887737301567,0.0
12,0.33333333333333315,1.6653345369377348e-16,8.075501477157858e-10,0.5912289259108232,-0.3615200112435549,-0.16666666805538546,0.7014084832650017,0.0
13,0.33333333333333304,2.7755575615628914e-16,6.870165945803773e-10,0.5912289234068876,-0.3615200193871622,-0.16666666244710052,0.7014084825108567,0.0
14,0.333333333333334,-6.661338147750939e-16,4.744158473953027e-10,0.6223394926403342,0.7619318232404632,-0.16666666796886825,0.06614888072968385,0.0
15,0.33333333333333387,-5.551115123125783e-16,2.236916950288293e-10,0.6223394930110931,0.7619318231409367,-0.1666666678193872,0.06614887876454346,0.0
16,0.333333333333333,3.3306690738754696e-16,2.4592342850068125e-13,-0.6623824015270111,0.7282103926326534,-0.16666666666596774,-0.05640390439997438,0.0
17,0.3333333333333331,2.220446049250313e-16,8.664472688911978e-10,-0.6623824016752282,0.7282103915173662,-0.1666666711430133,-0.0564039038293238,0.0
18,0.33333333333333304,2.7755575615628914e-16,4.45219687228897e-10,-0.08670876073704938,-0.1950355410057339,0.16666666574272704,0.9626343807937924,0.0
19,0.33333333333333337,-5.551115123125783e-17,2.6256772839517477e-10,-0.6067842089340681,-0.20020590211960218,0.6666666667462452,-0.38377868100532153,0.0
20,0.33333333333333337,-5.551115123125783e-17,7.121067388128982e-11,3.7238568585680204e-11,-2.5930648123210754e-10,1.0,-3.735176659123432e-11,0.0
21,0.33333333333333304,2.7755575615628914e-16,6.096312789218624e-12,0.5912289249830442,-0.36152001534555916,-0.16666666665120303,0.7014084822664446,0.0
22,0.33333333333333337,-5.551115123125783e-17,7.04502752508465e-11,-0.07115347667906462,0.36669037781817376,0.6666666664293106,0.6450045778473802,0.0
23,0.33333333333333387,-5.551115123125783e-16,1.3963138801260628e-11,0.6934929700862906,0.39524144576904774,0.16666666676303418,-0.5788557006520606,0.0
24,0.3333333333333335,-1.6653345369377348e-16,6.146789558365575e-11,-0.055598192531808636,0.9284162964419975,0.16666666700691068,0.32737477544387655,0.0
25,0.3333333333333338,-4.996003610813204e-16,1.9141392682901723e-10,0.6223394945706537,0.7619318221471534,-0.16666666729794513,0.0661488768525802,0.0
26,0.33333333333333387,-5.551115123125783e-16,1.0800702879810556e-09,0.6934929719649542,0.3952414503912174,0.16666666785584566,-0.5788556949306894,0.0
27,0.33333333333333387,-5.551115123125783e-16,5.232389030869782e-11,0.6934929701737358,0.39524144570586783,0.16666666700612914,-0.5788557005204439,0.0
28,0.33333333333333304,2.7755575615628914e-16,5.466165290354539e-13,0.5912289249586192,-0.36152001531690003,-0.16666666666355928,0.7014084822988684,0.0
29,0.33333333333333337,-5.551115123125783e-17,2.5419304048056892e-12,0.6779376857771902,-0.16648447340978412,0.6666666666777472,-0.2612258981366824,0.0
30,0.3333333333333339,-6.106226635438361e-16,1.8521396344513307e-10,0.6223394939170043,0.7619318226057697,-0.1666666676089092,0.06614887693618374,0.0
31,0.33333333333333304,2.7755575615628914e-16,1.6849892861570052e-09,-0.6623824023795827,0.7282103901694497,-0.16666667250596962,-0.05640390893279113,0.0
32,0.3333333333333338,-4.996003610813204e-16,6.429065114872132e-12,0.6934929700261147,0.39524144581111664,0.16666666665118296,-0.578855700727634,0.0
33,0.3333333333333333,0.0,4.097861078209945e-11,-0.07115347648781814,0.3666903775567195,0.6666666665609394,0.645004577881067,0.0
34,0.33333333333333337,-5.551115123125783e-17,9.247124603231554e-10,0.6779376838133598,-0.16648447283035134,0.666666667786464,-0.2612259007730085,0.0
35,0.3333333333333329,3.885780586188048e-16,3.930020429443043e-12,-0.0867087608275738,-0.1950355418934729,0.16666666669395983,0.9626343804410845,0.0
36,0.3333333333333339,-6.106226635438361e-16,7.679904131305661e-11,0.6223394939232751,0.7619318227624479,-0.16666666687542003,0.06614887692057539,0.0
37,0.33333333333333304,2.7755575615628914e-16,5.118207063924658e-11,-0.08670876103239397,-0.19503554166910217,0.16666666698914004,0.9626343804169879,0.0
38,0.3333333333333329,3.885780586188048e-16,1.4642147528856155e-13,-0.0867087608314366,-0.19503554191320838,0.1666666666663714,0.9626343804415146,0.0
39,0.33333333333333315,1.6653345369377348e-16,3.4723827197486477e-12,0.5912289249672251,-0.3615200153345263,-0.166666666651161,0.7014084822854754,0.0
40,0.3333333333333333,0.0,1.5341743702005163e-12,-0.05559819229961351,0.9284162965447351,0.16666666667317118,0.3273747753618595,0.0
41,0.333333333333333,3.3306690738754696e-16,1.8973706665263404e-11,-0.08670876088141677,-0.19503554191586978,0.16666666673957334,0.9626343804237995,0.0
42,0.3333333333333329,3.885780586188048e-16,8.480065410179871e-12,-0.08670876079184019,-0.19503554193113787,0.1666666666776197,0.9626343804395011,0.0
