start_id,sigma,target_gap,success,iteration_count,evaluation_count,tangent_stationarity_residual,f0,f1,f2,f3
0,0.3333333333333339,-6.106226635438361e-16,True,8,10,1.1401058387390287e-09,0.6934929708259201,0.3952414467428101,0.1666666616388116,-0.5788557005764593
1,0.3333333333333333,0.0,True,13,14,2.5793567490813386e-12,0.6779376857798832,-0.16648447339615022,0.6666666666739972,-0.2612258981479521
2,0.33333333333333326,5.551115123125783e-17,True,9,11,3.2313253251393837e-10,-0.05559819372811465,0.9284162968282789,0.16666666525094073,0.3273747750392004
3,0.3333333333333334,-1.1102230246251565e-16,True,0,1,6.860393171804274e-16,0.0,0.0,1.0,0.0
4,0.33333333333333304,2.7755575615628914e-16,True,9,11,1.040846157575401e-11,-0.08670876091563694,-0.19503554192371494,0.16666666664277568,0.9626343804358869
5,0.3333333333333333,0.0,True,14,17,1.4200620147832175e-10,-0.05559819322247225,0.9284162964075996,0.16666666717225373,0.3273747753399548
6,0.33333333333333304,2.7755575615628914e-16,True,12,13,4.6220431358628045e-11,-0.08670876069684925,-0.19503554163601355,0.1666666669363534,0.9626343804630553
7,0.33333333333333387,-5.551115123125783e-16,True,14,17,3.0856977700077137e-10,0.6223394944423781,0.7619318221162369,-0.1666666674159221,0.0661488781182773
8,0.33333333333333337,-5.551115123125783e-17,True,10,12,2.186362454165287e-11,-0.6067842091751823,-0.20020590401837188,0.6666666667477372,-0.3837786796309772
9,0.33333333333333326,5.551115123125783e-17,True,9,13,4.637956731578556e-10,0.6779376840291564,-0.16648447451809298,0.66666666820817,-0.2612258980611141
10,0.333333333333333,3.3306690738754696e-16,True,11,12,2.127998554235869e-10,-0.08670875906445542,-0.19503554213045576,0.16666666614820005,0.9626343806463729
11,0.3333333333333337,-3.885780586188048e-16,True,11,12,5.33967303571497e-10,0.6223394928436834,0.7619318232094101,-0.1666666686837557,0.06614887737301565
12,0.33333333333333315,1.6653345369377348e-16,True,18,28,8.075501477157858e-10,0.5912289259108233,-0.36152001124355493,-0.1666666680553855,0.7014084832650018
13,0.33333333333333304,2.7755575615628914e-16,True,13,16,6.870165945803773e-10,0.5912289234068876,-0.3615200193871622,-0.16666666244710052,0.7014084825108567
14,0.333333333333334,-6.661338147750939e-16,True,9,14,4.744158473953027e-10,0.6223394926403343,0.7619318232404634,-0.16666666796886828,0.06614888072968386
15,0.33333333333333387,-5.551115123125783e-16,True,10,12,2.236916950288293e-10,0.622339493011093,0.7619318231409365,-0.16666666781938716,0.06614887876454345
16,0.333333333333333,3.3306690738754696e-16,True,11,12,2.4592342850068125e-13,-0.6623824015270111,0.7282103926326534,-0.16666666666596774,-0.05640390439997438
17,0.3333333333333331,2.220446049250313e-16,True,12,26,8.664472688911978e-10,-0.6623824016752282,0.7282103915173662,-0.1666666711430133,-0.0564039038293238
18,0.33333333333333304,2.7755575615628914e-16,True,13,31,4.45219687228897e-10,-0.08670876073704938,-0.1950355410057339,0.16666666574272704,0.9626343807937924
19,0.33333333333333337,-5.551115123125783e-17,True,13,15,2.6256772839517477e-10,-0.6067842089340681,-0.20020590211960218,0.6666666667462452,-0.38377868100532153
20,0.33333333333333337,-5.551115123125783e-17,True,12,14,7.121067388128982e-11,3.7238568585680204e-11,-2.5930648123210754e-10,1.0,-3.735176659123432e-11
21,0.33333333333333304,2.7755575615628914e-16,True,13,15,6.096312789218624e-12,0.5912289249830442,-0.36152001534555916,-0.16666666665120303,0.7014084822664446
22,0.33333333333333337,-5.551115123125783e-17,True,11,14,7.04502752508465e-11,-0.07115347667906462,0.36669037781817376,0.6666666664293106,0.6450045778473802
23,0.33333333333333387,-5.551115123125783e-16,True,11,13,1.3963138801260628e-11,0.6934929700862905,0.3952414457690477,0.16666666676303415,-0.5788557006520605
24,0.3333333333333335,-1.6653345369377348e-16,True,8,20,6.146789558365575e-11,-0.055598192531808636,0.9284162964419975,0.16666666700691068,0.32737477544387655
25,0.3333333333333338,-4.996003610813204e-16,True,11,12,1.9141392682901723e-10,0.6223394945706537,0.7619318221471534,-0.16666666729794513,0.0661488768525802
26,0.33333333333333387,-5.551115123125783e-16,True,11,12,1.0800702879810556e-09,0.6934929719649541,0.39524145039121733,0.16666666785584563,-0.5788556949306893
27,0.33333333333333387,-5.551115123125783e-16,True,9,11,5.232389030869782e-11,0.6934929701737358,0.39524144570586783,0.16666666700612914,-0.5788557005204439
28,0.33333333333333304,2.7755575615628914e-16,True,12,15,5.466165290354539e-13,0.5912289249586191,-0.3615200153169,-0.16666666666355925,0.7014084822988683
29,0.33333333333333337,-5.551115123125783e-17,True,13,15,2.5419304048056892e-12,0.67793768577719,-0.1664844734097841,0.6666666666777471,-0.26122589813668234
