mode_id,norm,sum,positive_face_count,negative_face_count,near_zero_face_count,maximum_face_id,maximum_face_value,minimum_face_id,minimum_face_value,support_above_1e_12
0,1.0,-4.440892098500626e-16,8,10,2,9,0.31013948458938084,19,-0.30318294998635054,18
1,0.9999999999999998,4.440892098500626e-16,10,8,2,14,0.4152003900996032,16,-0.3407462701549902,18
2,1.0,-1.1102230246251565e-16,14,6,0,7,0.44721359549995826,6,-0.29814239699997247,20
3,1.0,3.469446951953614e-16,10,8,2,5,0.4305031824291208,2,-0.3136794092835899,18
