first_slice,second_slice,same_slice,symmetric_product_trace,symmetric_product_frobenius_norm,symmetric_product_rank,scalar_part,scalar_identity_residual_frobenius,skew_product_frobenius_norm,skew_product_rank
0,0,True,0.2500000000000006,0.12508058281007614,6,0.04166666666666677,0.07230826736578323,0.0,0
0,1,False,8.083811398051921e-16,0.09486919936853794,6,1.3473018996753203e-16,0.09486919936853792,0.0416666666666667,4
0,2,False,-2.42861286636753e-17,0.07605048577153742,6,-4.04768811061255e-18,0.0760504857715374,0.04166666666666669,4
0,3,False,-9.194034422677078e-17,0.0776488233156878,6,-1.5323390704461797e-17,0.0776488233156878,0.0416666666666667,4
1,1,True,0.2499999999999999,0.1483478103985688,6,0.04166666666666665,0.10765874875449305,0.0,0
1,2,False,7.696751222474596e-16,0.037477893174879304,6,1.2827918704124327e-16,0.037477893174879304,0.04166666666666664,4
1,3,False,-3.8163916471489756e-17,0.06361212948509533,6,-6.3606527452482924e-18,0.06361212948509533,0.04166666666666661,4
2,2,True,0.24999999999999978,0.15774745405000748,6,0.04166666666666663,0.12028130608117195,0.0,0
2,3,False,1.8648277366750676e-17,0.06622541212525282,6,3.1080462277917795e-18,0.06622541212525282,0.041666666666666574,4
3,3,True,0.24999999999999928,0.14831279561195718,6,0.041666666666666546,0.10761049519246517,0.0,0
