line_id,orbit_id,orbit_size,stabilizer_order,s4,s6,s8,operator_norm,residual_norm
11,0,15,32,1.5625000000000004,1.193576388888889,0.9720413773148151,0.3302798049097851,7.531177654404661e-16
12,0,15,32,1.5625000000000004,1.1935763888888897,0.9720413773148155,0.33027980490978537,2.7194799110210365e-16
13,0,15,32,1.5625,1.193576388888889,0.9720413773148153,0.33027980490978576,6.530440769261223e-16
15,0,15,32,1.5625000000000009,1.1935763888888897,0.9720413773148158,0.3302798049097851,5.743794908190346e-16
16,0,15,32,1.5625000000000004,1.1935763888888897,0.9720413773148157,0.33027980490978504,2.661296653564706e-16
17,0,15,32,1.5625000000000009,1.1935763888888897,0.9720413773148155,0.33027980490978454,8.920730087951354e-16
18,0,15,32,1.5625000000000013,1.1935763888888904,0.9720413773148167,0.3302798049097853,9.238896857051836e-16
19,0,15,32,1.5625000000000022,1.1935763888888915,0.9720413773148175,0.33027980490978465,1.2441048548802037e-15
20,0,15,32,1.5624999999999996,1.1935763888888888,0.9720413773148147,0.3302798049097852,4.603949291125036e-16
21,0,15,32,1.562500000000001,1.19357638888889,0.9720413773148157,0.33027980490978487,1.3788683915077173e-15
22,0,15,32,1.5625000000000004,1.1935763888888893,0.9720413773148147,0.33027980490978465,2.387624894196368e-16
24,0,15,32,1.5625000000000018,1.1935763888888906,0.9720413773148167,0.33027980490978487,5.003707553108401e-16
25,0,15,32,1.5625000000000013,1.1935763888888902,0.9720413773148162,0.330279804909785,1.0103182026100664e-15
27,0,15,32,1.5625000000000013,1.1935763888888906,0.9720413773148168,0.33027980490978454,1.159062478901209e-16
29,0,15,32,1.5624999999999996,1.1935763888888884,0.9720413773148142,0.33027980490978465,2.5943974335363627e-16
0,1,10,48,1.041666666666667,0.43402777777777785,0.18084490740740747,0.25000000000000006,4.081762055578507e-16
1,1,10,48,1.0416666666666676,0.43402777777777846,0.1808449074074078,0.2499999999999998,6.206335383118183e-16
2,1,10,48,1.0416666666666667,0.4340277777777778,0.18084490740740744,0.2500000000000002,8.042889475864443e-16
3,1,10,48,1.0416666666666665,0.43402777777777757,0.1808449074074073,0.24999999999999967,4.815412394636862e-16
4,1,10,48,1.0416666666666679,0.43402777777777846,0.1808449074074078,0.2500000000000003,1.227537204523176e-15
5,1,10,48,1.041666666666667,0.4340277777777779,0.1808449074074075,0.25000000000000017,1.4106960734103326e-15
6,1,10,48,1.0416666666666663,0.43402777777777757,0.1808449074074073,0.24999999999999992,3.570113697685536e-16
7,1,10,48,1.0416666666666679,0.43402777777777846,0.1808449074074078,0.25000000000000017,8.618765454229259e-16
8,1,10,48,1.0416666666666674,0.43402777777777823,0.18084490740740766,0.25000000000000056,1.6840031719004235e-16
9,1,10,48,1.0416666666666674,0.43402777777777823,0.18084490740740766,0.2500000000000007,9.057848289240456e-16
10,2,5,96,0.729166666666667,0.23871527777777796,0.08373119212962973,0.20412414523193134,8.617648093045562e-16
14,2,5,96,0.729166666666667,0.23871527777777793,0.08373119212962969,0.20412414523193212,9.396246243876959e-16
23,2,5,96,0.7291666666666666,0.2387152777777777,0.08373119212962958,0.20412414523193137,1.1209924842431371e-15
26,2,5,96,0.7291666666666674,0.23871527777777815,0.08373119212962982,0.2041241452319318,3.3766115072321297e-16
28,2,5,96,0.7291666666666669,0.23871527777777785,0.08373119212962965,0.2041241452319322,3.6506759942727966e-16
