probe_id,point_norm_squared,e1_direct,e1_predicted,e1_residual,e2_direct,e2_predicted,e2_residual,e3_direct,e3_predicted,e3_residual,e4_direct,e4_predicted,e4_residual,e5_direct,e5_predicted,e5_residual
0,2.467546055567321,1.028144189819718,1.0281441898197172,6.661338147750939e-16,0.4225087803870199,0.42250878038701906,8.326672684688674e-16,0.08853027305165034,0.08853027305165018,1.6653345369377348e-16,0.009953061538520202,0.009953061538520162,3.9898639947466563e-17,0.0005684085248458231,0.0005684085248458199,3.2526065174565133e-18
1,4.7328939736643365,1.9720391556934702,1.9720391556934735,3.3306690738754696e-15,1.5732841331432583,1.5732841331432639,5.551115123125783e-15,0.6458642646952131,0.6458642646952174,4.3298697960381105e-15,0.14278879306628395,0.14278879306628536,1.4155343563970746e-15,0.015993226305858765,0.015993226305859008,2.42861286636753e-16
2,2.570051239348785,1.070854683061995,1.0708546830619938,1.1102230246251565e-15,0.46127265855278365,0.46127265855278266,9.992007221626409e-16,0.10160361936020523,0.101603619360205,2.3592239273284576e-16,0.011969842004561592,0.011969842004561531,6.071532165918825e-17,0.0007091192835945287,0.0007091192835945233,5.421010862427522e-18
3,1.9018876313474478,0.7924531797281014,0.7924531797281033,1.887379141862766e-15,0.251823861743825,0.2518238617438263,1.3322676295501878e-15,0.04069048643091027,0.04069048643091065,3.8163916471489756e-16,0.00348313131516259,0.0034831313151626408,5.074066167232161e-17,0.00014778866733244252,0.00014778866733244558,3.06287113727155e-18
4,0.47748838593492166,0.19895349413955077,0.19895349413955069,8.326672684688674e-17,0.015408066980503319,0.0154080669805033,1.9081958235744878e-17,0.0005792126747969662,0.0005792126747969648,1.4094628242311558e-18,1.0665885307982895e-05,1.0665885307982838e-05,5.759824041329242e-20,8.503688661579148e-08,8.503688661579038e-08,1.0984958534704208e-21
5,2.4146733579720503,1.0061138991550227,1.006113899155021,1.7763568394002505e-15,0.4117471360918296,0.411747136091828,1.609823385706477e-15,0.08751519118248305,0.08751519118248255,4.996003610813204e-16,0.010163254900513952,0.010163254900513875,7.632783294297951e-17,0.0006101033247442874,0.0006101033247442804,7.047314121155779e-18
6,4.156224693982647,1.7317602891594381,1.7317602891594364,1.7763568394002505e-15,1.1626150155117352,1.162615015511732,3.1086244689504383e-15,0.3742699682053821,0.3742699682053802,1.887379141862766e-15,0.05714156357138744,0.0571415635713868,6.38378239159465e-16,0.00346332828505286,0.003463328285052768,9.194034422677078e-17
7,4.1113195361043555,1.7130498067101465,1.7130498067101483,1.7763568394002505e-15,1.1351702160466632,1.1351702160466655,2.220446049250313e-15,0.359589914060627,0.35958991406062846,1.4432899320127035e-15,0.0537250487842224,0.053725048784222657,2.5673907444456745e-16,0.003145010209062539,0.003145010209062563,2.3852447794681098e-17
8,1.48439249707699,0.6184968737820798,0.6184968737820792,6.661338147750939e-16,0.14932762516964587,0.14932762516964546,4.163336342344337e-16,0.017541607189958154,0.017541607189958064,9.020562075079397e-17,0.0010105387925156127,0.0010105387925156027,9.974659986866641e-18,2.5158453144355456e-05,2.5158453144355015e-05,4.404571325722362e-19
9,0.9963254578253633,0.41513560742723515,0.41513560742723477,3.885780586188048e-16,0.06809264135598841,0.06809264135598825,1.6653345369377348e-16,0.0055414469112103435,0.0055414469112103305,1.3010426069826053e-17,0.00022911388657492749,0.00022911388657492643,1.0570971181733668e-18,4.383192588818173e-06,4.383192588818149e-06,2.456395547037471e-20
10,0.5685978498672355,0.23691577077801534,0.2369157707780148,5.551115123125783e-16,0.022605459016020728,0.022605459016020613,1.1449174941446927e-16,0.0011038581516490799,0.0011038581516490719,8.023096076392733e-18,2.8834292572232533e-05,2.883429257223221e-05,3.2187251995663413e-19,3.784907597451637e-07,3.784907597451574e-07,6.299807545203859e-21
11,2.883231705700753,1.2013465440419806,1.2013465440419804,2.220446049250313e-16,0.5792968524041431,0.5792968524041425,5.551115123125783e-16,0.1426596102052661,0.14265961020526607,2.7755575615628914e-17,0.0187936462045488,0.018793646204548743,5.551115123125783e-17,0.0012475063001670598,0.0012475063001670503,9.540979117872439e-18
12,1.349558526777562,0.5623160528239848,0.5623160528239841,6.661338147750939e-16,0.12179802770693013,0.12179802770692981,3.191891195797325e-16,0.01247012337483986,0.012470123374839815,4.5102810375396984e-17,0.0005836897042593932,0.0005836897042593888,4.336808689942018e-18,9.64241276022875e-06,9.642412760228591e-06,1.5924219408380846e-19
13,1.6808774764150574,0.7003656151729415,0.7003656151729405,9.992007221626409e-16,0.19100027225645527,0.19100027225645463,6.38378239159465e-16,0.025296408232739667,0.025296408232739518,1.491862189340054e-16,0.0016427041324018263,0.0016427041324018094,1.691355389077387e-17,4.6274817189082913e-05,4.6274817189082066e-05,8.470329472543003e-19
14,4.1128157162005845,1.7136732150835783,1.7136732150835767,1.5543122344752192e-15,1.1693392169317618,1.1693392169317594,2.4424906541753444e-15,0.40259773069031657,0.4025977306903155,1.0547118733938987e-15,0.0728152679225976,0.07281526792259727,3.3306690738754696e-16,0.006468356233713602,0.006468356233713564,3.8163916471489756e-17
15,5.91963560886936,2.466514837028903,2.4665148370289,3.1086244689504383e-15,2.3429545104930622,2.3429545104930556,6.661338147750939e-15,1.056443958093864,1.0564439580938596,4.440892098500626e-15,0.22155491625770934,0.2215549162577071,2.248201624865942e-15,0.017537432274242606,0.017537432274242315,2.914335439641036e-16
16,0.4694451289445928,0.19560213706024643,0.19560213706024698,5.551115123125783e-16,0.015112993532882136,0.015112993532882242,1.0581813203458523e-16,0.0005821331243471828,0.0005821331243471908,8.023096076392733e-18,1.1561802423621642e-05,1.1561802423621877e-05,2.354751593366955e-19,1.0967792961774664e-07,1.0967792961775e-07,3.3616620094155045e-21
17,1.630483070999891,0.6793679462499541,0.6793679462499546,4.440892098500626e-16,0.1750092537547751,0.1750092537547753,1.942890293094024e-16,0.020631303461107378,0.020631303461107454,7.632783294297951e-17,0.0010171467511145684,0.0010171467511145757,7.37257477290143e-18,1.1268007693239301e-05,1.1268007693239613e-05,3.1170812458958252e-19
18,5.079825768561407,2.1165940702339214,2.1165940702339197,1.7763568394002505e-15,1.7019262122170156,1.701926212217012,3.552713678800501e-15,0.62956125275074,0.6295612527507392,8.881784197001252e-16,0.0991631536853523,0.09916315368535174,5.689893001203927e-16,0.003987016698264827,0.003987016698264778,4.9439619065339e-17
19,7.148232458882945,2.9784301912012325,2.978430191201227,5.329070518200751e-15,3.457108112795345,3.457108112795329,1.5987211554602254e-14,1.9492979301161948,1.9492979301161806,1.4210854715202004e-14,0.5383437432212403,0.5383437432212312,9.103828801926284e-15,0.06422566033791591,0.06422566033791398,1.9290125052862095e-15
20,0.6174730794089969,0.25728044975374814,0.2572804497537487,5.551115123125783e-16,0.026283011926302495,0.026283011926302616,1.214306433183765e-16,0.001347937070188715,0.0013479370701887268,1.1709383462843448e-17,3.599716304284506e-05,3.599716304284546e-05,3.9979955110402976e-19,4.656230737689257e-07,4.6562307376893295e-07,7.252719610864947e-21
21,3.305066235867554,1.37711093161148,1.377110931611481,8.881784197001252e-16,0.779149040447492,0.7791490404474934,1.4432899320127035e-15,0.2314963351723046,0.23149633517230536,7.494005416219807e-16,0.038038188798059785,0.038038188798059945,1.5959455978986625e-16,0.003272945261010187,0.003272945261010205,1.7780915628762273e-17
22,0.9152128434382535,0.3813386847659387,0.3813386847659391,3.885780586188048e-16,0.05558547638746009,0.05558547638746019,1.0408340855860843e-16,0.003771557550680323,0.003771557550680342,1.9081958235744878e-17,0.00011244771851589395,0.00011244771851589522,1.2739375526704677e-18,1.0082334302266964e-06,1.0082334302267267e-06,3.028142786434124e-20
23,2.0928073518590598,0.872003063274609,0.8720030632746081,8.881784197001252e-16,0.2972836253162201,0.29728362531621955,5.551115123125783e-16,0.04960461541150614,0.04960461541150603,1.1102230246251565e-16,0.004124085383284388,0.00412408538328437,1.8214596497756474e-17,0.00015387818746535222,0.00015387818746535103,1.1926223897340549e-18
24,3.039962009141661,1.2666508371423575,1.2666508371423588,1.3322676295501878e-15,0.6045243442742174,0.6045243442742188,1.3322676295501878e-15,0.13008879539330295,0.1300887953933037,7.494005416219807e-16,0.011140506465770606,0.011140506465770758,1.5265566588595902e-16,0.00012771675800107615,0.00012771675800108686,1.0706496453294356e-17
25,0.45747229007569357,0.190613454198206,0.1906134541982057,3.0531133177191805e-16,0.013683112503165323,0.013683112503165257,6.591949208711867e-17,0.0004419158363201691,0.00044191583632016555,3.577867169202165e-18,5.625801596349264e-06,5.62580159634914e-06,1.2366681029912785e-19,8.117726074094671e-09,8.117726074093235e-09,1.435985543392056e-21
26,6.87539620385187,2.8647484182716134,2.8647484182716125,8.881784197001252e-16,3.217682455620022,3.2176824556200194,2.6645352591003757e-15,1.7710769664191295,1.7710769664191293,2.220446049250313e-16,0.4844762878755042,0.48447628787550434,1.6653345369377348e-16,0.058851925131082776,0.05885192513108286,8.326672684688674e-17
27,1.2028295203115769,0.5011789667964893,0.5011789667964904,1.1102230246251565e-15,0.10245052341917837,0.1024505234191788,4.3021142204224816e-16,0.010906649487727276,0.010906649487727366,9.020562075079397e-17,0.0006360634974213805,0.0006360634974213869,6.396792817664476e-18,1.9221280641736373e-05,1.922128064173667e-05,2.981555974335137e-19
28,4.649384424527374,1.9372435102197385,1.9372435102197392,6.661338147750939e-16,1.4518781045223927,1.4518781045223934,6.661338147750939e-16,0.5203657571468825,0.5203657571468825,0.0,0.08807580771532943,0.0880758077153294,2.7755575615628914e-17,0.005864134686474961,0.005864134686474943,1.8214596497756474e-17
29,2.3266502899902806,0.969437620829283,0.9694376208292838,7.771561172376096e-16,0.36865899402687174,0.3686589940268719,1.6653345369377348e-16,0.06895158103612134,0.06895158103612149,1.5265566588595902e-16,0.006476803921573147,0.0064768039215731595,1.214306433183765e-17,0.0002768693115482117,0.0002768693115482122,4.87890977618477e-19
30,3.5080602479936194,1.4616917699973437,1.4616917699973415,2.220446049250313e-15,0.8109822187873788,0.810982218787375,3.774758283725532e-15,0.20656057033604125,0.2065605703360396,1.6375789613221059e-15,0.022251333374885406,0.02225133337488496,4.440892098500626e-16,0.0005853139979575659,0.0005853139979575238,4.217546450968612e-17
31,0.6524989805562971,0.27187457523179065,0.2718745752317905,1.6653345369377348e-16,0.027901570781292108,0.02790157078129206,4.85722573273506e-17,0.001296185685219979,0.0012961856852199737,5.204170427930421e-18,2.427625694002563e-05,2.4276256940025404e-05,2.270048298641525e-19,7.208144147939996e-08,7.208144147939683e-08,3.1234339930002325e-21
32,1.9533990085293498,0.8139162535538955,0.8139162535538957,2.220446049250313e-16,0.2563523647571303,0.2563523647571303,0.0,0.038711186353976655,0.03871118635397663,2.7755575615628914e-17,0.00278467810972693,0.0027846781097269208,9.107298248878237e-18,8.097612031607251e-05,8.097612031607171e-05,7.995991022080595e-19
33,2.371316937194507,0.9880487238310449,0.9880487238310448,1.1102230246251565e-16,0.37623098429412594,0.37623098429412566,2.7755575615628914e-16,0.0681062364230069,0.06810623642300681,8.326672684688674e-17,0.005755785050696816,0.005755785050696798,1.8214596497756474e-17,0.00018573878820217816,0.00018573878820217623,1.9244588561617704e-18
34,7.066893484899973,2.944538952041653,2.944538952041656,2.6645352591003757e-15,3.5785994392718896,3.578599439271893,3.552713678800501e-15,2.2969767279195774,2.2969767279195836,6.217248937900877e-15,0.8210150397578786,0.82101503975788,1.4432899320127035e-15,0.15491050984137048,0.15491050984137106,5.828670879282072e-16
35,0.8607117203642821,0.35862988348511793,0.35862988348511754,3.885780586188048e-16,0.05118530031116946,0.051185300311169295,1.6653345369377348e-16,0.0036886212812162686,0.0036886212812162517,1.691355389077387e-17,0.00014003953078505578,0.00014003953078505472,1.0570971181733668e-18,2.626317329061316e-06,2.6263173290612843e-06,3.176373552203626e-20
36,4.209797650803354,1.7540823545013944,1.7540823545013977,3.3306690738754696e-15,1.205651342635767,1.2056513426357716,4.6629367034256575e-15,0.4062493341894637,0.4062493341894671,3.4416913763379853e-15,0.06820160565655492,0.06820160565655589,9.71445146547012e-16,0.005120566010583412,0.005120566010583526,1.1449174941446927e-16
37,2.0613280526710134,0.8588866886129214,0.8588866886129223,8.881784197001252e-16,0.2831054706185875,0.28310547061858804,5.551115123125783e-16,0.043767939003988635,0.04376793900398878,1.457167719820518e-16,0.0030310388550028274,0.0030310388550028374,9.974659986866641e-18,6.852616602832528e-05,6.852616602832572e-05,4.336808689942018e-19
38,1.5884308586968916,0.6618461911237031,0.6618461911237049,1.7763568394002505e-15,0.1739237976214359,0.17392379762143692,1.0269562977782698e-15,0.022931517523365214,0.02293151752336547,2.5673907444456745e-16,0.0015718993450099935,0.0015718993450100226,2.905661822261152e-17,5.203131837272422e-05,5.203131837272572e-05,1.5043305143236374e-18
39,3.0746829703464336,1.2811179043110137,1.281117904311014,2.220446049250313e-16,0.6522724654871206,0.6522724654871205,1.1102230246251565e-16,0.16696019950516502,0.16696019950516522,1.942890293094024e-16,0.022304963310231407,0.022304963310231414,6.938893903907228e-18,0.0014484341828877258,0.001448434182887726,2.168404344971009e-19
40,7.545061550887076,3.143775646202954,3.1437756462029482,5.773159728050814e-15,3.750246993321724,3.750246993321706,1.8207657603852567e-14,2.0493835369291866,2.0493835369291684,1.8207657603852567e-14,0.4694068305491969,0.46940683054918775,9.159339953157541e-15,0.024491619029660554,0.024491619029658736,1.817990202823694e-15
41,3.4999134721799217,1.4582972800749692,1.4582972800749676,1.5543122344752192e-15,0.8380892025808127,0.8380892025808102,2.4424906541753444e-15,0.23934330790541364,0.23934330790541256,1.0824674490095276e-15,0.035075248862875115,0.03507524886287483,2.8449465006019636e-16,0.0024375432675445706,0.0024375432675445407,2.992397996059992e-17
42,0.5516305677688419,0.2298460699036838,0.22984606990368414,3.3306690738754696e-16,0.02061481739326366,0.020614817393263724,6.591949208711867e-17,0.0008985574064370203,0.0008985574064370267,6.396792817664476e-18,1.91494765466259e-05,1.9149476546626124e-05,2.236166980751353e-19,1.7505243711542975e-07,1.7505243711543317e-07,3.414601568618898e-21
43,2.5575810321809542,1.0656587634087316,1.065658763408731,6.661338147750939e-16,0.4347548203471089,0.4347548203471081,7.771561172376096e-16,0.08306421791084223,0.08306421791084209,1.3877787807814457e-16,0.007121078611520861,0.007121078611520833,2.7755575615628914e-17,0.00020275035565356917,0.0002027503556535667,2.4665599424045226e-18
44,9.760487204482654,4.066869668534445,4.066869668534439,6.217248937900877e-15,6.764339859236788,6.764339859236767,2.1316282072803006e-14,5.876865780746969,5.87686578074695,1.865174681370263e-14,2.8062330576764127,2.8062330576763936,1.9095836023552692e-14,0.6967921206587178,0.6967921206587121,5.662137425588298e-15
45,4.162690525821507,1.7344543857589576,1.7344543857589612,3.552713678800501e-15,1.2094331021275844,1.2094331021275895,5.10702591327572e-15,0.4321701133140275,0.4321701133140309,3.3861802251067274e-15,0.08311671660516867,0.08311671660516957,9.020562075079397e-16,0.008127950848559072,0.00812795084855919,1.1796119636642288e-16
