probe_id,f0,f1,f2,f3,minimum_eigenvalue,maximum_eigenvalue,singular_value_low,singular_value_high,integer_polynomial_identity_max_abs,high_eigenvalue_max_abs,low_eigenvalue_max_abs,high_projector_idempotence_max_abs,low_projector_idempotence_max_abs,projector_orthogonality_max_abs,projector_completeness_max_abs,high_projector_trace_max_abs,low_projector_trace_max_abs,probe_pass
0,-0.733376024408567,0.4832424713288796,0.32460693160370585,0.35109352127527044,0.01659183822571358,0.0715515971988688,0.12880930954598577,0.26749130303407775,3.1439081315326,0.0395595139122423,0.029912120130973135,0.22356680046454053,0.2235668004645405,0.2235668004645405,0.0,0.0,0.0,False
1,-0.5773177935928328,-0.22544128811474648,0.5258484944635989,0.5825493555782493,0.000999292404675296,0.07783511850272862,0.031611586557388986,0.2789894594832009,3.1711580443117287,0.033275992608382515,0.03922114464815171,0.22550457203994526,0.22550457203994528,0.22550457203994526,0.0,8.881784197001252e-16,8.881784197001252e-16,False
2,0.4610655753706191,0.8019839249875724,0.08127493747755357,-0.37099151446860257,0.0004223277840882464,0.09909241156618573,0.02055061517542106,0.31478947181598327,1.5240669217892988,0.01201869954492539,0.018540816205281942,0.10837809221612815,0.10837809221612818,0.10837809221612814,0.0,7.105427357601002e-15,6.661338147750939e-15,False
3,-0.4575034357510413,-0.47331330253108234,0.711190591580887,-0.2467246772618031,0.00019105893512707362,0.10470356191316108,0.013822406994697906,0.32357929772029775,1.4210050692811258,0.006407549197950085,0.01316093470726733,0.1010492493711023,0.10104924937110238,0.1010492493711023,0.0,1.7763568394002505e-15,1.7763568394002505e-15,False
4,-0.681954673467866,0.22402937153643213,-0.5636830031252487,0.40866873627918804,0.004162265160233703,0.1082520965390051,0.0645156195059282,0.32901686360885074,0.6088569692838184,0.002859014572106189,0.0056411938563167615,0.043296495593516005,0.043296495593515893,0.04329649559351597,0.0,2.6645352591003757e-15,1.7763568394002505e-15,False
5,-0.03839750927023157,-0.6275360019729875,-0.0879572156644566,0.7726498079480493,0.0004666617115783231,0.09312259624420374,0.02160235430637881,0.30515995190097234,2.2579942831828523,0.01798851486690746,0.02446629759977342,0.16056848235966947,0.16056848235966947,0.1605684823596695,0.0,2.6645352591003757e-15,2.6645352591003757e-15,False
6,0.29004097770044146,0.8270203497391455,-0.4676624034689254,-0.1149149631404948,0.013915355169243332,0.08700736053333011,0.117963363673826,0.29497010108370325,2.0986503577650857,0.024103750577780997,0.017132839852981932,0.14923735877440608,0.14923735877440608,0.14923735877440608,0.0,2.220446049250313e-15,1.7763568394002505e-15,False
7,-0.6498759624628716,-0.22838969617462682,-0.2715884934721516,-0.6721153697898488,0.017973021476070154,0.06338317175539286,0.13406349792568503,0.25176014727393387,3.139576488473027,0.0477279393557183,0.03669936232409268,0.22325877251363735,0.2232587725136374,0.22325877251363735,0.0,1.3322676295501878e-15,1.3322676295501878e-15,False
8,0.28912332395135687,-0.7171446052530777,0.3850117186033407,0.5038623772835479,0.011278734312809029,0.08043505794661121,0.1062013856444869,0.28361075075993014,2.775752897828077,0.030676053164500047,0.02634176329613485,0.19738687273444094,0.19738687273444103,0.19738687273444103,0.0,9.325873406851315e-15,9.769962616701378e-15,False
9,0.7366446686901311,0.6692687265087575,-0.021321810080377476,0.09475961282450134,0.0059969788478016935,0.10695408825070275,0.07744016301507696,0.3270383589897411,0.5977283599599725,0.004157022860408491,0.005104488457051741,0.042505127819375765,0.042505127819375765,0.04250512781937579,0.0,9.769962616701378e-15,9.769962616701378e-15,False
