root_id,is_native_axis,nearest_axis_id,axis_distance,residual_norm,operator_norm,one_third_gap,f0,f1,f2,f3
0,False,6,0.8420246737858658,4.081762055578507e-16,0.25000000000000006,0.08333333333333326,0.41489778145221534,0.4391159712482318,8.215051954841127e-16,0.7968920847522278
1,False,1,0.8420246737858655,6.206335383118183e-16,0.2499999999999998,0.08333333333333351,0.4579639560315349,-0.280032199726701,0.6454972243679017,0.5433086741673708
2,False,0,0.8420246737858657,8.042889475864443e-16,0.2500000000000002,0.08333333333333309,0.024098142754118493,0.870222052124732,3.258538363672931e-15,-0.49206997420247295
3,False,1,0.8420246737858658,4.815412394636862e-16,0.24999999999999967,0.08333333333333365,-0.04306617457931948,0.7191481709749329,-0.6454972243679011,0.25358341058485656
4,False,0,0.8420246737858647,1.227537204523176e-15,0.2500000000000003,0.08333333333333304,-0.537177344742033,-0.30615270748547,0.6454972243679001,0.4483796977211973
5,False,6,0.8420246737858649,1.4106960734103326e-15,0.25000000000000017,0.08333333333333315,-0.0671643173334376,-0.1510738811497989,-0.6454972243679032,0.7456533847873303
6,False,0,0.842024673785866,3.570113697685536e-16,0.24999999999999992,0.0833333333333334,-0.5802435193213511,0.412995463489463,1.6562284127503415e-16,0.7019631083060538
7,False,2,0.8420246737858653,8.618765454229259e-16,0.25000000000000017,0.08333333333333315,-0.5130792019879141,0.5640693446392627,0.6454972243679036,-0.04369027648127549
8,False,3,0.8420246737858657,1.6840031719004235e-16,0.25000000000000056,0.08333333333333276,0.9951413007735666,0.026120507758769118,6.61359547008861e-16,0.09492897644617386
9,False,3,0.8420246737858651,9.057848289240456e-16,0.2500000000000007,0.0833333333333326,0.4820620987856534,0.5901898523980316,0.6454972243679038,0.05123869996489834
10,False,8,0.8804857344718369,8.617648093045562e-16,0.20412414523193134,0.12920918810140197,-0.08714485551127041,0.4491021590075083,-0.40824829046386296,0.789966048805927
11,False,8,0.4174423812329622,7.531177654404661e-16,0.3302798049097851,0.003053528423548224,-0.06942474824732016,0.7093591396508162,0.4564354645876402,0.5325941062303591
12,False,0,0.417442381232963,5.4672143489065705e-16,0.33027980490978537,0.0030535284235479465,0.7511635062560292,0.125295353985455,0.4564354645876399,-0.4601316418216351
13,False,3,0.4174423812329598,6.530440769261223e-16,0.33027980490978576,0.003053528423547558,0.7207111221712288,0.6338099023597338,9.94484072990179e-16,-0.2808210926006681
