axis_id,s4,s6,residual_norm_squared,residual_norm,tangent_residual,top_eigenvector_weight,low_eigenspace_weight,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3
0,1.597222222222223,1.2635030864197543,2.2186712959340957e-31,4.710277376051325e-16,-4.161192531335056e-16,1.0000000000000004,1.1969985245108997e-31,0.06944444444444442,0.41666666666666646,0.41666666666666713,1.5972222222222225
1,1.5972222222222219,1.263503086419753,7.395570986446986e-32,2.7194799110210365e-16,1.0054434638094117e-16,1.0000000000000004,1.5157733102169251e-31,0.0694444444444445,0.4166666666666664,0.4166666666666672,1.5972222222222223
2,1.597222222222223,1.2635030864197543,6.4730505430855e-31,8.045527044939629e-16,-4.846348911283712e-16,1.0000000000000004,2.909608058586148e-31,0.0694444444444444,0.41666666666666624,0.416666666666667,1.5972222222222223
3,1.597222222222222,1.2635030864197532,2.1262266586035084e-31,4.611102534756203e-16,2.084342721272682e-17,1.0,7.41842040793805e-32,0.06944444444444436,0.4166666666666664,0.41666666666666713,1.5972222222222223
4,1.5972222222222237,1.263503086419755,2.9582283945787943e-31,5.438959822042073e-16,-4.531948672781012e-16,1.0000000000000004,1.5222966291612748e-31,0.06944444444444482,0.41666666666666663,0.4166666666666674,1.5972222222222237
5,1.5972222222222239,1.263503086419755,1.3866695599588098e-31,3.7238012298709097e-16,-2.746419535350297e-16,1.0000000000000004,1.3916483724705422e-31,0.0694444444444445,0.41666666666666685,0.4166666666666669,1.5972222222222243
6,1.5972222222222234,1.2635030864197547,4.352601674315153e-31,6.597425008528065e-16,-4.055630042749805e-16,1.0000000000000004,8.105516694085536e-32,0.06944444444444445,0.4166666666666664,0.416666666666667,1.5972222222222232
7,1.5972222222222225,1.263503086419753,2.588449845256445e-31,5.087681048627601e-16,1.4494006376189186e-16,1.0,1.4247627211343025e-31,0.06944444444444457,0.4166666666666668,0.4166666666666676,1.5972222222222232
8,1.5972222222222217,1.2635030864197527,7.877053472543795e-32,2.8066088919804617e-16,-1.8070899390327838e-16,1.0000000000000009,7.398391881788767e-32,0.06944444444444454,0.4166666666666664,0.41666666666666685,1.5972222222222219
9,1.5972222222222237,1.263503086419754,9.582354204792864e-32,3.0955377892690736e-16,5.458379937395049e-32,1.0,7.465518430259618e-32,0.06944444444444454,0.41666666666666674,0.4166666666666672,1.597222222222223
