coupling,time_step,perturbation_id,step_count,sample_count,finite,termination_reason,classification,initial_energy,minimum_energy,maximum_energy,relative_energy_drift,maximum_u_norm,maximum_v_norm,maximum_f_norm,maximum_combined_state_norm,first_half_maximum_combined_norm,second_half_maximum_combined_norm,second_half_to_first_half_ratio,final_combined_state_norm,final_f_norm
0.8,0.002,0,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006400000000000001,0.0063999998152389674,0.00640000003613935,2.886891152021654e-08,0.8612351365956568,1.2794362591534016,0.016555634717447733,1.5423868486162242,0.9873027296353121,1.5423868486162242,1.5622228140561791,1.5423868486162242,0.016555634717447733
0.8,0.001,0,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006400000000000001,0.0063999999538097785,0.006400000009034872,7.217222289636683e-09,0.8612351375746993,1.2794362597012539,0.01655564490433006,1.5423868497266966,0.9873027297884797,1.5423868497266966,1.5622228149385735,1.5423868497266966,0.01655564490433006
0.8,0.002,1,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.00640362816420555,0.006403628094650413,0.006403628197468892,1.0861832548705244e-08,0.849071421628995,1.2869501817859053,0.016370076391168546,1.541892028913474,0.9886377857370973,1.541892028913474,1.559612682377791,1.541892028913474,0.016370076391168546
0.8,0.001,1,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.00640362816420555,0.006403628146816758,0.006403628172521459,2.7154593223505614e-09,0.8490714223379842,1.2869501821397942,0.016370095660251053,1.5418920298038454,0.9886377858502434,1.5418920298038454,1.5596126830999029,1.5418920298038454,0.016370095660251053
0.8,0.002,2,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006385322582642788,0.006385322382794564,0.006385322621395237,3.129806228589996e-08,0.8593679965839693,1.2845537524531623,0.016684969225475847,1.5455969994446483,0.9893044828219303,1.5455969994446483,1.5623066773496546,1.5455969994446483,0.016684969225475847
0.8,0.001,2,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006385322582642788,0.006385322532680728,0.006385322592331298,7.824516148781357e-09,0.8593679977386682,1.2845537531221272,0.016684971856119276,1.5455970006710515,0.9893044830139978,1.5455970006710515,1.5623066782860042,1.5455970006710515,0.016684971856119276
1.0,0.002,0,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006400000000000001,0.0063999997113389166,0.006400000083382387,4.510329447166699e-08,0.8821055878291588,1.292421505513678,0.02219179829108993,1.5649140845123288,0.9886084875654975,1.5649140845123288,1.5829462362456703,1.5649140845123288,0.02219179829108993
1.0,0.001,0,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006400000000000001,0.006399999927834765,0.006400000020845615,1.1275818196905886e-08,0.8821055896047516,1.2924215065535551,0.022191811040839757,1.5649140865527986,0.9886084878129999,1.5649140865527986,1.5829462379133545,1.5649140865527986,0.022191811040839757
1.0,0.002,1,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006399458469981844,0.006399458335268504,0.006399458546433272,2.105074047653125e-08,0.8689021432061834,1.2990955912078648,0.021820896480531413,1.5630471653431397,0.9898508622508894,1.5630471653431397,1.5790733987833483,1.5630471653431397,0.021820896480531413
1.0,0.001,1,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006399458469981844,0.006399458436303488,0.006399458489094973,5.2626883042462e-09,0.8689021446022904,1.2990955919639444,0.021820918320660722,1.563047167052539,0.9898508624423299,1.563047167052539,1.579073400204876,1.563047167052539,0.021820918320660722
1.0,0.002,2,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006384525128908826,0.0063845248348961565,0.0063845252157597975,4.60508281053241e-08,0.8807311247667006,1.297861896347809,0.02234284836075119,1.5686401814939013,0.9906565396560401,1.5686401814939013,1.583434943091921,1.5686401814939013,0.02234284836075119
1.0,0.001,2,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006384525128908826,0.0063845250554056595,0.006384525150622092,1.1512706856513826e-08,0.8807311267892821,1.2978618975583036,0.022342852940326965,1.5686401836962716,0.9906565399536361,1.5686401836962716,1.583434944839395,1.5686401836962716,0.022342852940326965
1.2,0.002,0,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006400000000000001,0.006399999584377458,0.006400000185992221,6.494102239469611e-08,0.9100893051755056,1.3099052432967753,0.02901391492866944,1.5952918532578002,0.9902310356215883,1.5952918532578002,1.6110299474267666,1.5952918532578002,0.02901391492866944
1.2,0.001,0,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006400000000000001,0.006399999896094427,0.006400000046498187,1.6235245976379747e-08,0.9100893082333394,1.3099052451748792,0.02901393027945004,1.5952918568235592,0.990231035992695,1.5952918568235592,1.611029950423941,1.5952918568235592,0.02901393027945004
1.2,0.002,1,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006395288775758137,0.00639528855232469,0.0063952889461258,3.493719438256584e-08,0.8954429774400292,1.3154028554893957,0.028386316372142537,1.5915114140443667,0.991358671973174,1.5915114140443667,1.6053840643534845,1.5915114140443667,0.028386316372142537
1.2,0.001,1,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006395288775758137,0.006395288719899748,0.006395288818350633,8.734302867832395e-09,0.8954429799664283,1.31540285695264,0.028386340970411286,1.5915114171139373,0.9913586722694194,1.5915114171139373,1.605384066970078,1.5915114171139373,0.028386340970411286
1.2,0.002,2,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.0063837276751748636,0.006383727264655052,0.006383727866293253,6.430722496468323e-08,0.9093304761127742,1.315755041124929,0.029193736807931234,1.5996704402163462,0.992335215690999,1.5996704402163462,1.6120262739062803,1.5996704402163462,0.029193736807931234
1.2,0.001,2,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.0063837276751748636,0.006383727572544924,0.0063837277229550436,1.6076804101206815e-08,0.9093304795090281,1.3157550432386562,0.029193743398774657,1.5996704440057992,0.9923352161246922,1.5996704440057992,1.612026277020478,1.5996704440057992,0.029193743398774657
1.35,0.002,0,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006400000000000001,0.00639999947403222,0.006400000336321378,8.218246585643337e-08,0.9367926098056539,1.3266951880717663,0.035181734413763176,1.6244809233338595,0.9916656337758099,1.6244809233338595,1.6381337297618936,1.6244809233338595,0.035181734413763176
1.35,0.001,0,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006400000000000001,0.006399999868508137,0.006400000084080523,2.054560379249545e-08,0.936792614315522,1.3266951909433153,0.03518175176967071,1.624480928655616,0.9916656342620406,1.624480928655616,1.6381337343251714,1.624480928655616,0.03518175176967071
1.35,0.002,1,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006392161505090357,0.006392161199663842,0.006392161813070316,4.818087887773805e-08,0.9207215911366875,1.331017586724996,0.03429228637140151,1.618799563090219,0.9926918681320865,1.618799563090219,1.6307170583922053,1.618799563090219,0.03429228637140151
1.35,0.001,1,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006392161505090357,0.0063921614287337,0.006392161582086128,1.2045341909595764e-08,0.9207215949562916,1.3310175890397593,0.03429231316678603,1.618799567733572,0.9926918685271757,1.618799567733572,1.6307170624207203,1.618799567733572,0.03429231316678603
1.35,0.002,2,6000,241,True,completed_horizon,bounded_on_tested_horizon,0.006383129584874392,0.006383129072319324,0.006383129928758835,8.029839624672855e-08,0.9365832607218609,1.332916023648756,0.035390637090994284,1.629449547410938,0.9938185534343925,1.629449547410938,1.639584551707111,1.629449547410938,0.035390637090994284
1.35,0.001,2,12000,241,True,completed_horizon,bounded_on_tested_horizon,0.006383129584874392,0.00638312945673565,0.006383129670846217,2.0074595222974372e-08,0.9365832656563826,1.3329160268189115,0.03539064523814178,1.629449553017417,0.9938185539935435,1.629449553017417,1.639584556425984,1.629449553017417,0.03539064523814178
