axis_id,stabilizer_order,orbit_sizes,intersection_dimension,weight_12,weight_6,weight_2,primitive_integer_ratio,rational_ratio,zero_sum_residual,unit_norm_residual,intersection_reconstruction_max_abs,axis_pattern_alignment_max_abs,exact_weight_formula_max_abs,all_checks_pass
0,24,"[12, 6, 2]",1,0.07453559924999288,-0.2981423969999719,0.4472135954999582,"[1, -4, 6]","[""1"", ""-4"", ""6""]",4.996003610813204e-16,0.0,7.466962991170441e-16,1.734723475976807e-15,2.220446049250313e-16,True
1,24,"[12, 6, 2]",1,0.07453559924999288,-0.29814239699997197,0.4472135954999581,"[1, -4, 6]","[""1"", ""-4"", ""6""]",8.881784197001252e-16,0.0,9.21823379487283e-16,1.8041124150158794e-15,1.1102230246251565e-16,True
2,24,"[12, 6, 2]",1,0.07453559924999306,-0.2981423969999721,0.4472135954999576,"[1, -4, 6]","[""1"", ""-4"", ""6""]",8.881784197001252e-16,0.0,1.051660686193767e-15,1.790234627208065e-15,3.885780586188048e-16,True
3,24,"[12, 6, 2]",1,0.07453559924999306,-0.2981423969999721,0.4472135954999578,"[1, -4, 6]","[""1"", ""-4"", ""6""]",4.163336342344337e-16,2.220446049250313e-16,7.358057680712165e-16,1.3461454173580023e-15,1.6653345369377348e-16,True
4,24,"[12, 6, 2]",1,0.07453559924999288,-0.29814239699997186,0.44721359549995826,"[1, -4, 6]","[""1"", ""-4"", ""6""]",1.1102230246251565e-16,0.0,7.8740076010913555e-16,1.7208456881689926e-15,2.7755575615628914e-16,True
5,24,"[12, 6, 2]",1,0.07453559924999294,-0.2981423969999719,0.44721359549995815,"[1, -4, 6]","[""1"", ""-4"", ""6""]",1.1102230246251565e-16,0.0,8.152524352299706e-16,1.5265566588595902e-15,1.6653345369377348e-16,True
6,24,"[12, 6, 2]",1,0.074535599249993,-0.29814239699997197,0.44721359549995787,"[1, -4, 6]","[""1"", ""-4"", ""6""]",8.326672684688674e-17,1.1102230246251565e-16,6.695426814237749e-16,1.3461454173580023e-15,1.1102230246251565e-16,True
7,24,"[12, 6, 2]",1,0.0745355992499929,-0.2981423969999719,0.4472135954999581,"[1, -4, 6]","[""1"", ""-4"", ""6""]",3.608224830031759e-16,0.0,9.36001719708626e-16,1.4710455076283324e-15,1.1102230246251565e-16,True
8,24,"[12, 6, 2]",1,0.07453559924999306,-0.29814239699997197,0.447213595499958,"[1, -4, 6]","[""1"", ""-4"", ""6""]",6.245004513516506e-16,0.0,5.661461440797011e-16,1.2906342661267445e-15,6.938893903907228e-17,True
9,24,"[12, 6, 2]",1,0.0745355992499931,-0.2981423969999721,0.44721359549995765,"[1, -4, 6]","[""1"", ""-4"", ""6""]",0.0,0.0,6.904590408918206e-16,1.3183898417423734e-15,3.3306690738754696e-16,True
10,24,"[12, 6, 2]",1,0.0745355992499931,-0.2981423969999721,0.44721359549995765,"[1, -4, 6]","[""1"", ""-4"", ""6""]",0.0,0.0,6.904590408918206e-16,1.3877787807814457e-15,3.3306690738754696e-16,True
11,24,"[12, 6, 2]",1,0.07453559924999306,-0.29814239699997197,0.447213595499958,"[1, -4, 6]","[""1"", ""-4"", ""6""]",6.245004513516506e-16,0.0,5.661461440797011e-16,1.1934897514720433e-15,6.938893903907228e-17,True
12,24,"[12, 6, 2]",1,0.0745355992499929,-0.2981423969999719,0.4472135954999581,"[1, -4, 6]","[""1"", ""-4"", ""6""]",3.608224830031759e-16,0.0,9.36001719708626e-16,1.4710455076283324e-15,1.1102230246251565e-16,True
13,24,"[12, 6, 2]",1,0.074535599249993,-0.29814239699997197,0.44721359549995787,"[1, -4, 6]","[""1"", ""-4"", ""6""]",8.326672684688674e-17,1.1102230246251565e-16,6.695426814237749e-16,1.4849232954361469e-15,1.1102230246251565e-16,True
14,24,"[12, 6, 2]",1,0.07453559924999294,-0.2981423969999719,0.44721359549995815,"[1, -4, 6]","[""1"", ""-4"", ""6""]",1.1102230246251565e-16,0.0,8.152524352299706e-16,1.6237011735142914e-15,1.6653345369377348e-16,True
15,24,"[12, 6, 2]",1,0.07453559924999288,-0.29814239699997186,0.44721359549995826,"[1, -4, 6]","[""1"", ""-4"", ""6""]",1.1102230246251565e-16,0.0,7.8740076010913555e-16,1.9290125052862095e-15,2.7755575615628914e-16,True
16,24,"[12, 6, 2]",1,0.07453559924999306,-0.2981423969999721,0.4472135954999578,"[1, -4, 6]","[""1"", ""-4"", ""6""]",4.163336342344337e-16,2.220446049250313e-16,7.358057680712165e-16,1.2212453270876722e-15,1.6653345369377348e-16,True
17,24,"[12, 6, 2]",1,0.07453559924999306,-0.2981423969999721,0.4472135954999576,"[1, -4, 6]","[""1"", ""-4"", ""6""]",8.881784197001252e-16,0.0,1.051660686193767e-15,1.4016565685892601e-15,3.885780586188048e-16,True
18,24,"[12, 6, 2]",1,0.07453559924999288,-0.29814239699997197,0.4472135954999581,"[1, -4, 6]","[""1"", ""-4"", ""6""]",8.881784197001252e-16,0.0,9.21823379487283e-16,2.0539125955565396e-15,1.1102230246251565e-16,True
19,24,"[12, 6, 2]",1,0.07453559924999288,-0.2981423969999719,0.4472135954999582,"[1, -4, 6]","[""1"", ""-4"", ""6""]",4.996003610813204e-16,0.0,7.466962991170441e-16,1.817990202823694e-15,2.220446049250313e-16,True
