sample_id,source_index,f0,f1,f2,f3,top_pencil_eigenvalue,one_ninth_gap,s4,s6,residual_norm_squared,residual_identity_prediction,residual_identity_residual,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenweight_0,eigenweight_1,eigenweight_2,eigenweight_3
0,0,-0.5395402670582142,-0.28451112801390405,-0.7875289576124568,0.08802192443274626,0.09400605704828666,0.01710505406282445,1.2791177093209147,0.7814111929290463,0.06839006500532188,0.0683900650053213,5.828670879282072e-16,0.11118945587186106,0.3868207067332294,0.6465971438352623,1.3553926935596476,0.0009980887991327182,0.07741948754475932,6.604450755938658e-05,0.921516379148548
1,10,-0.036265965420715855,0.5401948465177504,-0.09698978196796695,-0.8351450710754234,0.10088021495010364,0.01023089616100746,1.388424610368844,0.9499636645326782,0.070609243013548,0.07060924301354676,1.2351231148954867e-15,0.1305244863996069,0.31881518153188265,0.5993703272469028,1.451290004821609,0.014135454957241706,0.03856161610029647,0.0006170928937574372,0.9466858360487053
2,20,0.45535761049800516,0.8317472776384961,0.16737428519628914,0.26987360255780596,0.10364270298091857,0.007468408130192533,1.443639035469313,1.0268927635972072,0.054434104786137055,0.05443410478613808,-1.0269562977782698e-15,0.16420543951397493,0.237836876337155,0.6106413167962034,1.487316367352666,0.021523714541960844,0.011458001998403605,0.0010066802512780921,0.966011603208357
3,30,0.3068918336047368,0.7021281489996001,-0.36329449833888466,0.5299533680672442,0.09038908399865511,0.020722027112455993,1.1980203235154343,0.7031505637813825,0.09809476669790271,0.09809476669790285,-1.3877787807814457e-16,0.24215304004643734,0.27270709137609267,0.6844511348318034,1.3006887337456654,0.09648409176334422,0.00046001800368859736,0.00010331268611454557,0.902952577546852
4,40,0.6683503102040035,-0.4857372336038575,0.5296293431999509,0.1919894829480829,0.10050204953667799,0.010609061574433115,1.3873771179844085,0.9395259317416005,0.06187888970312268,0.06187888970312305,-3.7470027081099033e-16,0.1316782079955659,0.2992200137857927,0.6252197018096874,1.4438820764089542,0.0019721235266038223,0.0469933559059856,0.0001534437234621836,0.9508810768439486
5,50,-0.7563667009046587,-0.16212555681178567,0.5579825264044175,-0.30046666673428946,0.10754037615689836,0.0035707349542127426,1.514944535376981,1.1461542722912752,0.04443655158660074,0.04443655158659965,1.0894063429134349e-15,0.10153308335429914,0.351160253524315,0.500152241983752,1.547154421137635,0.019271982956558,0.0036178754032170227,2.190835541173863e-05,0.9770882332848126
6,60,-0.7712428087594694,0.5110483237145853,0.37176658248561695,-0.07618233989765542,0.08562774533109588,0.025483365780015227,1.1295979090233224,0.6142064608005734,0.09001123993104639,0.09001123993104576,6.245004513516506e-16,0.17215022838719699,0.42702461993574325,0.6587075104008961,1.242117641276165,0.043081607464317204,0.07730477926788874,0.005850481321793932,0.8737631319460005
7,70,0.043895796770033794,0.5620455181075632,-0.7121511371073598,-0.4183524262124211,0.058197248582200135,0.05291386252891097,0.7858802289599377,0.28817569365207146,0.028520999509653956,0.02852099950965381,1.457167719820518e-16,0.470873353154638,0.5190264789970768,0.6279637870940732,0.8821363807542142,0.18540753032385685,0.03393212989311375,0.030230628215966886,0.7504297115670627
8,80,0.32552859102318044,-0.12689266833665136,-0.924490525393194,-0.15246853972896696,0.1031708142180475,0.007940296893063609,1.4384702129427849,1.0129844986569667,0.04950034190802566,0.04950034190802466,9.992007221626409e-16,0.15820420451650002,0.23807425188628542,0.624019853899922,1.4797016896972939,6.718671969581064e-05,0.033134330022245806,2.5668235505191505e-06,0.9667959164345084
9,90,0.637893893660094,0.436178334292809,-0.4335561261351312,0.46353956316091655,0.10606111938788026,0.00504999172323084,1.4945318884781993,1.098516003362269,0.034840171009770715,0.03484017100977077,-5.551115123125783e-17,0.1323823035944747,0.25708152668354056,0.5886429018495519,1.5218932678724326,0.0064355717270798635,0.014244901783280752,0.00043071281310622886,0.978888813676533
10,100,0.566224043283614,-0.7152394306767482,-0.27642260009206254,-0.30234654913046477,0.09478156389267058,0.01632954721844053,1.2734861459664821,0.7980931678949894,0.0929943572907968,0.09299435729079697,-1.6653345369377348e-16,0.21672583536878903,0.2590651348141392,0.6615543279956144,1.3626547018214574,0.06262774916436674,0.014645541149194854,0.0017671418778197458,0.9209595678086193
11,110,-0.5797008043570073,0.5852896420072609,0.022001373582892746,-0.5664794364734851,0.10841636208292256,0.002694749028188545,1.5454481763406867,1.1723087492271376,0.012189996640532948,0.01218999664053122,1.7277845820728999e-15,0.12348431484721997,0.24669890589115417,0.5750635873259955,1.554753191935632,0.001334952489938429,0.0053495472045825936,0.00040506859773354313,0.9929104317077456
12,120,0.7583992934432999,0.5454011647697434,-0.29361146650547304,-0.20288023045387218,0.1032264612338131,0.007884649877298006,1.4397219049530043,1.0145551575146499,0.04890262111623764,0.04890262111623711,5.273559366969494e-16,0.14210608460637425,0.25918776195530596,0.6175649915080443,1.4811411619302763,3.942737185298537e-05,0.033851803260965777,1.3157534588288498e-06,0.9661074536137225
13,130,0.5873024791147999,-0.5529257395089809,-0.5673515022585213,0.16571420427668704,0.07745262639211095,0.033658484719000153,1.0953164157278743,0.5122782640326404,0.02507555093565032,0.025075550935649726,5.93275428784068e-16,0.07851060086411488,0.5913262430050261,0.685099172865275,1.1450639832655851,5.977287852994949e-06,0.08982800308883993,8.043789520352588e-08,0.9101659391854118
14,140,-0.057704225347698555,-0.20511009297270474,-0.9763548229248418,-0.03648742097149758,0.10749509192767887,0.0036160191834322397,1.5145757420698702,1.1446240671864143,0.043601037619422356,0.043601037619420246,2.1094237467877974e-15,0.1044299614102197,0.3391013429994362,0.510319760810548,1.546148934779798,0.019566985841424824,0.00214488274734897,0.0007473456389403599,0.9775407857722864
15,150,0.05680116792959285,0.9473665865518773,-0.3100895897416641,-0.055808819560397085,0.08945799895349275,0.02165311215761835,1.1795703026221056,0.6841322127713452,0.10180236347561236,0.10180236347561311,-7.494005416219807e-16,0.24245399534226242,0.28959777831384953,0.6789959706855893,1.2889522556582973,0.09917978440718844,0.00446934459375618,0.0018427905288897753,0.8945080804701652
16,160,0.768131493754409,0.559682124232961,0.0587723356371528,-0.30541077368104513,0.10879535075380212,0.002315760357308988,1.555234805918241,1.184309935665831,0.005059793685377435,0.005059793685378011,-5.759281940243e-16,0.1414349948960855,0.2142949349683276,0.5852352019925424,1.5590348681430437,0.00037717991069565534,0.0022782633769369877,0.00020712708882952112,0.9971374296235375
17,170,-0.1882818103837024,0.24494567813397147,-0.6178804453881757,-0.7230320392963469,0.08806985723573416,0.02304125387537695,1.185367731729074,0.66104968810916,0.07165216573530558,0.07165216573530508,4.996003610813204e-16,0.12049422347365822,0.4457206011101737,0.6578673642074089,1.2759178112087612,0.013131168757406261,0.08933443511511054,0.001962329402780053,0.8955720667247031
18,180,-0.27828241159945377,-0.005828367794074171,-0.04041299289611801,-0.9596310330165586,0.10114964601643724,0.009961465094673869,1.3988187103492609,0.9569361239144978,0.060520722877633985,0.06052072287763388,1.0408340855860843e-16,0.13208664525318914,0.29513869148635713,0.6196764172179875,1.4530982460424668,0.003115783000626442,0.04316727298134187,0.00021309018412629855,0.9535038538339058
19,190,0.884633669097952,0.19624551110066948,0.3714379813461944,-0.20234820702095727,0.1004190897754065,0.010692021335704599,1.3823685697473065,0.9374880766303151,0.06797447795166747,0.06797447795166756,-8.326672684688674e-17,0.16422968936519644,0.26023759813561104,0.6338468557041038,1.4416858567950883,0.013473965642824968,0.03509506476457571,0.0007945684512631701,0.9506364011413359
20,200,0.5147763961128826,-0.08774190370133667,0.7967946571998489,-0.3040146289205064,0.10913338002148902,0.001977731089622084,1.5578053678296468,1.1961961878629945,0.011889218906713746,0.011889218906714571,-8.257283745649602e-16,0.10162405567482312,0.2887420117278832,0.5429740591363967,1.5666598734608976,0.0030228495972665385,0.002920499457479295,0.0006777121142760529,0.9933789388309783
21,210,0.028920277497317685,-0.593971591813824,-0.7466340454625544,0.2981592994086394,0.06233145040940357,0.048779660701707535,0.8094448875594774,0.3124981959849022,0.04225138142840628,0.04225138142840612,1.5959455978986625e-16,0.45365810389098093,0.541505760517538,0.5676008430552222,0.9372352925362601,0.19187205348352188,0.07493872892710711,0.014473728443694501,0.7187154891456763
22,220,-0.7113365565160628,-0.009042920831437172,-0.3507342594844907,-0.6090188898306625,0.0700931286787583,0.0410179824323528,0.8896049140222728,0.3866968568935099,0.07210419560256681,0.07210419560256653,2.7755575615628914e-16,0.3483523555696993,0.5301808169906413,0.5815357010036452,1.0399311264360154,0.14530118851911789,0.09020387251511974,0.008415317672257179,0.7560796212935053
23,230,-0.6694145064041462,0.554638548620508,-0.07489834526356101,-0.48851871701769023,0.10815183524937094,0.0029592758617401627,1.5415259635039917,1.1635121415081244,0.011006956310650217,0.011006956310648963,1.2542050731312315e-15,0.15532751678743215,0.20202833414195723,0.5929560986177798,1.5496880504528319,0.0016256241305017119,0.0043137984200403365,8.555004728686365e-05,0.9939750274021709
24,240,0.38931215981409645,-0.43974346355812444,0.7996196600916547,-0.12518038054621144,0.10032026341052355,0.010790847700587552,1.38461865048001,0.9346737693129312,0.06151244350863573,0.061512443508636494,-7.632783294297951e-16,0.14188763527749235,0.282034487902866,0.6357782398934648,1.4402996369261762,0.0006797249312410706,0.04730047997257701,1.4823662062628794e-05,0.9520049714341193
25,250,-0.4923734949065101,0.5404474596325911,-0.4500223109802719,0.5128009404342031,0.08956652852054037,0.021544582590570738,1.1700457458859523,0.6849884428277714,0.11412409030072135,0.11412409030072168,-3.3306690738754696e-16,0.23175205367582827,0.3356564171468733,0.6371274197921128,1.295464109385185,0.10060582039709834,0.013495046426226148,0.008278575670258224,0.8776205575064163
26,260,-0.04224631986080565,0.0286931311399345,0.8285433627501891,0.5575911124885453,0.1045115233478052,0.006599587763305909,1.4651991003285199,1.0517731610889578,0.041304004389661676,0.041304004389660864,8.118505867571457e-16,0.15871900421159957,0.22706961175263027,0.6156510684198137,1.4985603156159581,5.450155560371657e-06,0.02622808652762834,5.8270358804783e-06,0.97376063628093
27,270,0.2875149123595412,-0.9248310934459573,0.023010829012861528,-0.2479780746650421,0.10871081325899301,0.002400297852118094,1.5515393680348262,1.1818852134117463,0.009881606500853488,0.009881606500854456,-9.679756995950584e-16,0.12800417224295466,0.23834975064211525,0.5749125447391173,1.5587335323758127,0.004050447477759478,0.0005979327174935459,0.0006195939686108736,0.9947320258361361
28,280,-0.1659717142373339,0.8521356651887697,-0.49401896885114216,0.04757579848691672,0.0825568306801623,0.028554280430948806,1.1041521787598274,0.5673318049158566,0.07081942032919541,0.07081942032919586,-4.440892098500626e-16,0.1408699340768087,0.49469169781471284,0.6608958561721395,1.2035425119363383,0.02837995200582035,0.09405316075108658,0.0047214459402268516,0.8728454413028671
29,290,-0.24222914553252423,-0.36441836451542275,0.42272180161116324,0.7936186584885084,0.09789927181658543,0.01321183929452567,1.314984679139361,0.8728942854683266,0.10792813505537363,0.10792813505537402,-3.885780586188048e-16,0.1571143657126586,0.3744704898961157,0.5542510791526383,1.414164065238588,0.053694249048177344,0.03035452913426075,0.00014377913289877125,0.9158074426846636
30,300,0.6732217066752552,-0.1187317566640492,0.5273863364845636,0.5045185385197619,0.06754084274122886,0.043570268369882245,0.9509934224390406,0.3998365625786858,0.04259331404554512,0.04259331404554478,3.400058012914542e-16,0.18574668765574406,0.6067987899505228,0.6872002302135207,1.020254292180214,0.053394521472743005,0.05953038312263805,0.00026893856150426917,0.8868061568431145
31,310,-0.7833098961171824,-0.3793667008658593,-0.0896456270164454,0.48422120407502917,0.10939930625887109,0.001711804852240012,1.5576836017374045,1.2060373350157578,0.02197020332936518,0.021970203329364946,2.3592239273284576e-16,0.08714412277036578,0.35531447662821314,0.48463074979312604,1.572910650808295,0.009337594660132488,0.0007383055602202752,0.00041772842313451947,0.9895063713565125
32,320,-0.25658386348322876,0.26893101885827303,-0.6998545471631197,0.609954458063039,0.08337765720104978,0.027733453910061323,1.06498205260907,0.5697021705368217,0.1132726112163974,0.11327261121639731,8.326672684688674e-17,0.25888341538860743,0.4117367214279283,0.6145601394807186,1.2148197237027447,0.11653007338951142,0.03782884659645463,0.013431920863546689,0.8322091591504869
33,330,0.4306346930146912,0.6001432627581804,-0.6358619805292997,-0.22374397657918094,0.08170989618760041,0.029401214923510693,1.067478808854243,0.5485832152745399,0.08969028751159788,0.08969028751159747,4.163336342344337e-16,0.19716078441576498,0.45964531825451244,0.6523337871502685,1.1908601101794556,0.05999481513624982,0.08043621037868952,0.009188682016295222,0.850380292468766
