first_local_line,second_local_line,signed_gram,absolute_gram,selected_kind,selected_expression,selected_residual,orbit_id,orbit_size,first_global_line,second_global_line
3,8,-2.7874590785209415e-16,2.7874590785209415e-16,algebraic,(-14*sqrt(5)/123 - 6/41 - sqrt(6)/123 + 17*sqrt(2)/123 + 16*sqrt(3)/123)**2,2.5824882695431614e-20,1,10,3,8
3,9,7.55171982629644e-16,7.55171982629644e-16,algebraic,(-39*sqrt(2)/38 - 15*sqrt(5)/76 - 3*sqrt(6)/19 + 13/19 + 35*sqrt(3)/38)**2,2.279376605611814e-19,1,10,3,9
4,5,1.936523826958704e-15,1.936523826958704e-15,algebraic,(-48*sqrt(5)/11 - 41/11 + 6*sqrt(2)/11 + 27*sqrt(3)/11 + 38*sqrt(6)/11)**2,2.430255243180845e-18,1,10,4,5
4,6,0.5000000000000008,0.5000000000000008,rational,1/2,7.771561172376096e-16,1,10,4,6
4,7,0.4999999999999996,0.4999999999999996,rational,1/2,3.885780586188048e-16,1,10,4,7
4,8,-0.5000000000000012,0.5000000000000012,rational,1/2,1.2212453270876722e-15,1,10,4,8
4,9,-2.3795235285879427e-15,2.3795235285879427e-15,algebraic,(-11*sqrt(6)/29 - 12*sqrt(2)/29 + 2*sqrt(3)/29 + 25/58 + 25*sqrt(5)/58)**2,5.469907650149502e-19,1,10,4,9
5,6,0.5000000000000009,0.5000000000000009,rational,1/2,8.881784197001252e-16,1,10,5,6
5,7,-0.49999999999999856,0.49999999999999856,rational,1/2,1.4432899320127035e-15,1,10,5,7
5,8,-5.188735770177013e-16,5.188735770177013e-16,algebraic,(-34*sqrt(3)/7 - 27*sqrt(2)/7 - 29/7 + 4*sqrt(6)/7 + 52*sqrt(5)/7)**2,1.659658697905572e-18,1,10,5,8
5,9,-0.4999999999999988,0.4999999999999988,rational,1/2,1.2212453270876722e-15,1,10,5,9
6,7,0.5000000000000007,0.5000000000000007,rational,1/2,6.661338147750939e-16,1,10,6,7
6,8,-0.5000000000000001,0.5000000000000001,rational,1/2,1.1102230246251565e-16,1,10,6,8
6,9,-1.2319061150905147e-16,1.2319061150905147e-16,algebraic,(-198*sqrt(2)/71 - 58*sqrt(6)/71 - 59*sqrt(5)/71 + 121/71 + 250*sqrt(3)/71)**2,1.2402645799380741e-19,1,10,6,9
7,8,-0.5,0.5,rational,1/2,0.0,1,10,7,8
7,9,0.499999999999999,0.499999999999999,rational,1/2,9.992007221626409e-16,1,10,7,9
8,9,0.5000000000000011,0.5000000000000011,rational,1/2,1.1102230246251565e-15,1,10,8,9
0,1,-0.2499999999999995,0.2499999999999995,rational,1/4,4.996003610813204e-16,2,5,10,14
0,2,0.2500000000000016,0.2500000000000016,rational,1/4,1.609823385706477e-15,2,5,10,23
0,3,-0.2500000000000001,0.2500000000000001,rational,1/4,1.1102230246251565e-16,2,5,10,26
0,4,0.2500000000000005,0.2500000000000005,rational,1/4,4.996003610813204e-16,2,5,10,28
1,2,0.24999999999999883,0.24999999999999883,rational,1/4,1.1657341758564144e-15,2,5,14,23
1,3,-0.24999999999999994,0.24999999999999994,rational,1/4,5.551115123125783e-17,2,5,14,26
1,4,0.2500000000000002,0.2500000000000002,rational,1/4,2.220446049250313e-16,2,5,14,28
2,3,0.24999999999999944,0.24999999999999944,rational,1/4,5.551115123125783e-16,2,5,23,26
2,4,-0.25,0.25,rational,1/4,0.0,2,5,23,28
3,4,0.2500000000000001,0.2500000000000001,rational,1/4,1.1102230246251565e-16,2,5,26,28
