sector_id,dimension,character_norm,projector_rank,group_invariance_max_abs,projector_idempotence_max_abs
0,2,0.9999999999999998,2,9.103828801926284e-15,8.326672684688674e-17
1,6,0.9999999999999996,6,1.4710455076283324e-14,6.938893903907228e-17
2,6,0.9999999999999997,6,9.159339953157541e-16,1.6653345369377348e-16
3,8,1.0,8,1.1268763699945339e-14,1.3877787807814457e-16
4,10,0.9999999999999996,10,1.0047518372857667e-14,1.6653345369377348e-16
5,10,0.9999999999999998,10,9.58955137519979e-15,2.220446049250313e-16
