probe_id,point_norm_squared,e1_direct,e1_canonical,e1_residual,e2_direct,e2_canonical,e2_residual,e3_direct,e3_canonical,e3_residual,e4_direct,e4_canonical,e4_residual,e5_direct,e5_canonical,e5_residual
0,7.539341486677877,3.1413922861157766,3.1413922861157824,5.773159728050814e-15,3.8450062671069496,3.8450062671069665,1.687538997430238e-14,2.2770825106590458,2.2770825106590644,1.865174681370263e-14,0.6518231320507437,0.6518231320507528,9.103828801926284e-15,0.07770713706107459,0.07770713706107685,2.2620794126737565e-15
1,9.530344518427997,3.9709768826783334,3.9709768826783325,8.881784197001252e-16,6.34797023182008,6.347970231820071,8.881784197001252e-15,5.199864067301685,5.199864067301675,9.769962616701378e-15,2.2871633073115176,2.287163307311509,8.43769498715119e-15,0.5090255786646254,0.5090255786646233,2.1094237467877974e-15
2,1.0055642613896618,0.41898510891235946,0.41898510891235907,3.885780586188048e-16,0.06689517643094872,0.06689517643094857,1.5265566588595902e-16,0.00494711616516467,0.004947116165164648,2.168404344971009e-17,0.00015896943150581466,0.00015896943150581322,1.4365678785432934e-18,1.4621823028770646e-06,1.4621823028770288e-06,3.578714202149419e-20
3,1.8068531883414392,0.7528554951422666,0.7528554951422664,2.220446049250313e-16,0.21755109383144494,0.2175510938314447,2.498001805406602e-16,0.029616033406278205,0.029616033406278153,5.204170427930421e-17,0.0018384838066451577,0.0018384838066451534,4.336808689942018e-18,4.030717636668962e-05,4.030717636668943e-05,1.8973538018496328e-19
4,6.957147117458009,2.8988112989408354,2.898811298940837,1.3322676295501878e-15,3.38628647401843,3.3862864740184335,3.552713678800501e-15,2.0278013138022004,2.027801313802202,1.7763568394002505e-15,0.6516715504565759,0.6516715504565768,8.881784197001252e-16,0.10578217830811233,0.10578217830811257,2.3592239273284576e-16
5,4.699079386158549,1.9579497442327298,1.9579497442327287,1.1102230246251565e-15,1.4668147489037886,1.4668147489037868,1.7763568394002505e-15,0.5137310051725067,0.5137310051725058,8.881784197001252e-16,0.0802848337188149,0.08028483371881466,2.3592239273284576e-16,0.004066802466672169,0.0040668024666721345,3.469446951953614e-17
6,0.13842953034936162,0.057678970978900714,0.057678970978900665,4.85722573273506e-17,0.001349241433439889,0.0013492414334398864,2.6020852139652106e-18,1.63740666446794e-05,1.6374066644679358e-05,4.0657581468206416e-20,1.0874361331640178e-07,1.0874361331640148e-07,3.044024654195142e-22,3.749206324446925e-10,3.7492063244469063e-10,1.8611563782443123e-24
7,2.6381928791095364,1.099247032962307,1.099247032962307,0.0,0.47820650511777857,0.4782065051177785,5.551115123125783e-17,0.10414452778622704,0.10414452778622693,1.1102230246251565e-16,0.01179135112995249,0.011791351129952478,1.214306433183765e-17,0.0006467639363701169,0.0006467639363701157,1.1926223897340549e-18
8,10.097994514561535,4.207497714400639,4.20749771440064,8.881784197001252e-16,6.786611306114935,6.786611306114934,8.881784197001252e-16,5.128376693338659,5.128376693338662,3.552713678800501e-15,1.7336593940770428,1.7336593940770468,3.9968028886505635e-15,0.19091843082631002,0.1909184308263104,3.885780586188048e-16
9,3.9903780977002454,1.662657540708436,1.6626575407084356,4.440892098500626e-16,1.0744625966319798,1.0744625966319794,4.440892098500626e-16,0.3351629207950868,0.3351629207950859,8.881784197001252e-16,0.05043128173014313,0.05043128173014279,3.400058012914542e-16,0.0031567028407461332,0.0031567028407460907,4.2500725161431774e-17
