record_type,probe_id,step,time,homogeneous_energy_derivative,forced_energy_derivative,source_power,forced_balance_residual,energy,accumulated_work,energy_minus_initial,balance_residual,all_checks_pass
algebraic,0,,,0.0,-4.110228670099617,-4.110228670099611,-6.217248937900877e-15,,,,,True
algebraic,1,,,0.0,-12.584281998577266,-12.584281998577271,5.329070518200751e-15,,,,,True
algebraic,2,,,0.0,7.397989660222354,7.397989660222354,0.0,,,,,True
algebraic,3,,,0.0,21.735132075620598,21.735132075620598,0.0,,,,,True
algebraic,4,,,0.0,-2.8993922565090124,-2.8993922565090102,-2.220446049250313e-15,,,,,True
algebraic,5,,,0.0,-4.027494253947149,-4.027494253947152,2.6645352591003757e-15,,,,,True
algebraic,6,,,0.0,12.75272726266358,12.752727262663582,-1.7763568394002505e-15,,,,,True
algebraic,7,,,0.0,-6.927686531330173,-6.927686531330169,-4.440892098500626e-15,,,,,True
algebraic,8,,,0.0,-8.126803807228345,-8.12680380722835,5.329070518200751e-15,,,,,True
algebraic,9,,,0.0,-18.32097367435272,-18.320973674352725,3.552713678800501e-15,,,,,True
algebraic,10,,,0.0,-10.611071419283691,-10.611071419283691,0.0,,,,,True
algebraic,11,,,0.0,33.252793158448114,33.252793158448114,0.0,,,,,True
algebraic,12,,,0.0,4.566077683445107,4.566077683445105,1.7763568394002505e-15,,,,,True
algebraic,13,,,0.0,-6.181257460153168,-6.181257460153166,-1.7763568394002505e-15,,,,,True
algebraic,14,,,0.0,-0.14317044889523434,-0.1431704488952361,1.7763568394002505e-15,,,,,True
algebraic,15,,,0.0,-31.605811212569108,-31.60581121256911,3.552713678800501e-15,,,,,True
algebraic,16,,,0.0,-2.5054910740121716,-2.5054910740121663,-5.329070518200751e-15,,,,,True
algebraic,17,,,0.0,2.576719543762021,2.5767195437620214,-4.440892098500626e-16,,,,,True
algebraic,18,,,0.0,14.623842176887852,14.623842176887848,3.552713678800501e-15,,,,,True
algebraic,19,,,0.0,-14.619558595513075,-14.619558595513077,1.7763568394002505e-15,,,,,True
algebraic,20,,,0.0,13.408826235689354,13.40882623568936,-7.105427357601002e-15,,,,,True
algebraic,21,,,0.0,-0.9590101683516812,-0.9590101683516772,-3.9968028886505635e-15,,,,,True
algebraic,22,,,0.0,-3.775668621843629,-3.775668621843624,-4.884981308350689e-15,,,,,True
algebraic,23,,,0.0,-8.037966701472266,-8.037966701472264,-1.7763568394002505e-15,,,,,True
forced_numerical,,1,0.002,,,,,283.3983348749076,-1.5897490344787091e-06,7.716273557889508e-07,2.36137639026766e-06,
forced_numerical,,100,0.2,,,,,283.3764813934201,-0.021218625922608533,-0.02185270986018395,-0.0006340839375754172,
forced_numerical,,200,0.4,,,,,283.30373075784814,-0.09295332818016497,-0.09460334543211957,-0.0016500172519545997,
forced_numerical,,300,0.6,,,,,283.20830316334445,-0.18885549290706882,-0.19003093993580933,-0.001175447028740506,
forced_numerical,,400,0.8,,,,,283.1540347395601,-0.2439667368344136,-0.244299363720188,-0.0003326268857744008,
forced_numerical,,500,1.0,,,,,283.1972488068583,-0.20025785000134955,-0.20108529642197936,-0.0008274464206298182,
forced_numerical,,600,1.2,,,,,283.3449363255829,-0.051928721965995975,-0.05339777769734155,-0.0014690557313455782,
forced_numerical,,700,1.4000000000000001,,,,,283.5466182283784,0.1490340939474242,0.1482841250981437,-0.0007499688492804968,
forced_numerical,,800,1.6,,,,,283.7315655352962,0.333315870040458,0.33323143201596395,-8.443802449403792e-05,
forced_numerical,,900,1.8,,,,,283.864617453081,0.46722952023809033,0.46628334980073305,-0.0009461704373572855,
forced_numerical,,1000,2.0,,,,,283.96933281401584,0.5727545335036985,0.5709987107355801,-0.0017558227681184757,
forced_numerical,,1100,2.2,,,,,284.0938510936637,0.6964915403127148,0.695516990383453,-0.0009745499292617144,
forced_numerical,,1200,2.4,,,,,284.25180761802926,0.8536334773563956,0.8534735147489982,-0.00015996260739736812,
forced_numerical,,1300,2.6,,,,,284.39436916856215,0.9968338912450065,0.9960350652818875,-0.0007988259631190875,
forced_numerical,,1400,2.8000000000000003,,,,,284.43860110825176,1.0416819843396108,1.040267004971497,-0.0014149793681137446,
forced_numerical,,1500,3.0,,,,,284.33126156123706,0.9336843905382032,0.9329274579567937,-0.0007569325814095196,
forced_numerical,,1600,3.2,,,,,284.10228294284457,0.7043099745799304,0.7039488395643048,-0.00036113501562562433,
forced_numerical,,1700,3.4,,,,,283.86476626583635,0.46765515587076606,0.46643216255608877,-0.0012229933146772898,
forced_numerical,,1800,3.6,,,,,283.75029619922344,0.3535478546608655,0.35196209594317907,-0.0015857587176864585,
forced_numerical,,1900,3.8000000000000003,,,,,283.82095957743445,0.4231750857043797,0.42262547415418794,-0.0005496115501917864,
forced_numerical,,2000,4.0,,,,,284.027519509482,0.6292540508729773,0.6291854062017137,-6.864467126355134e-05,
