basis_index,basis_name,scaled_lstsq_coefficient,best_candidate_coefficient,candidate_difference
0,N2^6,1.9660792407771434e-07,1.966079240777154e-07,1.0587911840678754e-21
1,N2^4*S4,-5.132001401907524e-08,-5.1320014019077376e-08,2.1374347028370235e-21
2,N2^3*S6,-2.463360672915735e-07,-2.463360672915714e-07,2.117582368135751e-21
3,N2^2*S4^2,3.348979766803549e-09,3.348979766803841e-09,2.9199475623121877e-22
4,N2^2*S8,7.420539460584716e-22,0.0,7.420539460584716e-22
5,N2*S4*S6,3.215020576131711e-08,3.215020576131687e-08,2.448454613156962e-22
6,S4^3,1.586756244361494e-22,0.0,1.586756244361494e-22
7,S6^2,7.716049382715997e-08,7.71604938271605e-08,5.293955920339377e-22
