channel_id,map_rank,equivariance_max_abs,reverse_equivariance_max_abs,target_component_ranks,target_component_frobenius_norms
0,9,4.163336342344337e-16,4.163336342344337e-16,"[4, 0, 5, 0]","[0.5962903550559174, 5.074126918688302e-16, 0.8027688412409193, 2.2214840764233536e-15]"
1,9,4.440892098500626e-16,4.3021142204224816e-16,"[4, 0, 5, 0]","[0.5364798827001857, 5.567684484917398e-16, 0.8439131089502016, 2.3229843329906495e-15]"
2,9,4.0245584642661925e-16,3.885780586188048e-16,"[4, 0, 5, 0]","[0.5971826755066529, 5.447511068967213e-16, 0.802105262465417, 2.2350877846469573e-15]"
