row,kernel_column,is_pivot_row,numerator,denominator,exact_value,floating_value
11,1,False,99,97006,99/97006,0.001020555429561058
11,2,False,2,67371,2/67371,2.968636356889463e-05
11,3,False,-601,25680,-601/25680,-0.023403426791277257
11,4,False,-14297,65982,-14297/65982,-0.21668030675032585
11,5,False,3345,66929,3345/66929,0.049978335250788146
11,6,False,4091,90203,4091/90203,0.045353258760795094
11,7,False,-11839,97516,-11839/97516,-0.1214057180360146
11,8,False,-3724,78345,-3724/78345,-0.04753334609738975
11,9,False,-137,84155,-137/84155,-0.0016279484284950389
12,0,False,0,1,0,0.0
12,1,False,-215,97551,-215/97551,-0.0022039753564802
12,2,False,353,40277,353/40277,0.008764307172828166
12,3,False,5389,43332,5389/43332,0.12436536508815656
12,4,False,-805,32287,-805/32287,-0.024932635426022857
12,5,False,-6768,68551,-6768/68551,-0.09872941313766392
12,6,False,2369,90963,2369/90963,0.026043556171190484
12,7,False,3182,10117,3182/10117,0.3145201146584956
12,8,False,7571,98516,7571/98516,0.07685046083884851
12,9,False,704,63757,704/63757,0.011041924808256349
13,0,False,0,1,0,0.0
13,1,False,17,79666,17/79666,0.00021339090703687897
13,2,False,-47,95604,-47/95604,-0.000491611229655663
13,3,False,-522,71527,-522/71527,-0.007297943433948019
13,4,False,3441,69916,3441/69916,0.04921620229990274
13,5,False,521,52324,521/52324,0.009957189817292256
13,6,False,-15885,58312,-15885/58312,-0.27241391137330223
13,7,False,-2244,70553,-2244/70553,-0.031805876433319634
13,8,False,1337,85228,1337/85228,0.01568733280142676
13,9,False,898,78623,898/78623,0.011421594189995294
14,0,False,0,1,0,0.0
14,1,False,-1,678,-1/678,-0.0014749262536873156
14,2,False,21,62429,21/62429,0.0003363821300997934
14,3,False,145,72743,145/72743,0.001993318944778192
14,4,False,-91,32626,-91/32626,-0.002789186538343652
14,5,False,-1019,31668,-1019/31668,-0.03217759252242011
14,6,False,10611,66961,10611/66961,0.15846537536775138
14,7,False,5837,40125,5837/40125,0.14547040498442368
14,8,False,-1500,85517,-1500/85517,-0.01754037208975993
14,9,False,43,19424,43/19424,0.0022137561779242173
15,0,False,0,1,0,0.0
15,1,False,5,1726,5/1726,0.0028968713789107765
15,2,False,-102,51319,-102/51319,-0.001987567957286775
15,3,False,-3845,94386,-3845/94386,-0.040736973703727246
15,4,False,1023,56066,1023/56066,0.01824635251310955
15,5,False,6001,79754,6001/79754,0.07524387491536474
15,6,False,-2015,13944,-2015/13944,-0.14450659781985084
15,7,False,-55144,98343,-55144/98343,-0.5607313179382366
15,8,False,-177,78758,-177/78758,-0.002247390741258031
15,9,False,805,75846,805/75846,0.010613611792316008
16,0,True,0,1,0,0.0
16,1,True,0,1,0,0.0
16,2,True,0,1,0,0.0
16,3,True,0,1,0,0.0
16,4,True,0,1,0,0.0
16,5,True,0,1,0,0.0
16,6,True,1,1,1,1.0
16,7,True,0,1,0,0.0
16,8,True,0,1,0,0.0
16,9,True,0,1,0,0.0
17,0,False,0,1,0,0.0
17,1,False,-19,97597,-19/97597,-0.0001946781151059971
17,2,False,3,4888,3/4888,0.0006137479541734861
17,3,False,898,98125,898/98125,0.009151592356687898
17,4,False,-705,93698,-705/93698,-0.007524173408183739
17,5,False,-918,90683,-918/90683,-0.010123176339556478
17,6,False,-41417,90775,-41417/90775,-0.4562599834756266
17,7,False,5239,96208,5239/96208,0.05445493098287045
17,8,False,7131,79541,7131/79541,0.08965187764800543
17,9,False,657,24964,657/24964,0.026317897772792823
18,0,False,0,1,0,0.0
18,1,False,241,70449,241/70449,0.0034209144203608283
18,2,False,-57,92002,-57/92002,-0.0006195517488750245
18,3,False,-1098,94601,-1098/94601,-0.011606642635912939
18,4,False,138,30481,138/30481,0.004527410518027623
18,5,False,2081,98693,2081/98693,0.02108558864357148
18,6,False,12855,63556,12855/63556,0.20226257159040845
18,7,False,-20841,83215,-20841/83215,-0.2504476356426125
18,8,False,-2546,28985,-2546/28985,-0.08783853717440056
18,9,False,-57,38756,-57/38756,-0.0014707400144493756
19,0,True,0,1,0,0.0
19,1,True,0,1,0,0.0
19,2,True,0,1,0,0.0
19,3,True,0,1,0,0.0
19,4,True,0,1,0,0.0
19,5,True,0,1,0,0.0
19,6,True,0,1,0,0.0
19,7,True,1,1,1,1.0
19,8,True,0,1,0,0.0
19,9,True,0,1,0,0.0
20,0,True,0,1,0,0.0
20,1,True,0,1,0,0.0
20,2,True,0,1,0,0.0
20,3,True,1,1,1,1.0
20,4,True,0,1,0,0.0
20,5,True,0,1,0,0.0
20,6,True,0,1,0,0.0
20,7,True,0,1,0,0.0
20,8,True,0,1,0,0.0
20,9,True,0,1,0,0.0
21,0,False,0,1,0,0.0
21,1,False,-1,15828,-1/15828,-6.317917614354308e-05
21,2,False,-2445,91669,-2445/91669,-0.026672048347860237
21,3,False,-13229,50339,-13229/50339,-0.26279822801406466
21,4,False,2338,44843,2338/44843,0.052137457351203086
21,5,False,5776,75327,5776/75327,0.07667901283736243
21,6,False,-745,34599,-745/34599,-0.02153241423162519
21,7,False,1502,72565,1502/72565,0.02069868393853786
21,8,False,-8032,95949,-8032/95949,-0.08371113820884012
21,9,False,-2711,93903,-2711/93903,-0.028870217138962546
22,0,False,0,1,0,0.0
22,1,False,1,907,1/907,0.0011025358324145535
22,2,False,-1145,82484,-1145/82484,-0.013881480044614713
22,3,False,6481,51527,6481/51527,0.1257787179536942
22,4,False,5951,69507,5951/69507,0.0856172759578172
22,5,False,-10625,51397,-10625/51397,-0.20672412786738525
22,6,False,2961,83180,2961/83180,0.035597499398893964
22,7,False,-3359,84040,-3359/84040,-0.039969062351261304
22,8,False,13339,69841,13339/69841,0.19099096519236552
22,9,False,401,96138,401/96138,0.0041710873952027295
23,0,False,0,1,0,0.0
23,1,False,-8,75991,-8/75991,-0.0001052756247450356
23,2,False,45,89443,45/89443,0.0005031137148798677
23,3,False,1831,45415,1831/45415,0.04031707585599471
23,4,False,-49,38319,-49/38319,-0.0012787390067590491
23,5,False,766,45151,766/45151,0.016965294234900667
23,6,False,-2573,83875,-2573/83875,-0.030676602086438153
23,7,False,363,97814,363/97814,0.0037111251968020937
23,8,False,447,6803,447/6803,0.0657063060414523
23,9,False,-1765,69684,-1765/69684,-0.02532862637047242
24,0,False,0,1,0,0.0
