cluster_id,cluster_size,residual_norm,axis_distance,nearest_axis_id,matches_native_axis,f0,f1,f2,f3
0,93,4.081762055578507e-16,0.8420246737858658,6,False,0.41489778145221534,0.4391159712482318,8.215051954841127e-16,0.7968920847522278
1,88,6.206335383118183e-16,0.8420246737858655,1,False,0.4579639560315349,-0.280032199726701,0.6454972243679017,0.5433086741673708
2,87,8.042889475864443e-16,0.8420246737858657,0,False,0.024098142754118493,0.870222052124732,3.258538363672931e-15,-0.49206997420247295
3,84,4.815412394636862e-16,0.8420246737858658,1,False,-0.04306617457931948,0.7191481709749329,-0.6454972243679011,0.25358341058485656
4,80,1.227537204523176e-15,0.8420246737858647,0,False,-0.537177344742033,-0.30615270748547,0.6454972243679001,0.4483796977211973
5,79,1.4106960734103326e-15,0.8420246737858649,6,False,-0.0671643173334376,-0.1510738811497989,-0.6454972243679032,0.7456533847873303
6,77,3.570113697685536e-16,0.842024673785866,0,False,-0.5802435193213511,0.412995463489463,1.6562284127503415e-16,0.7019631083060538
7,73,8.618765454229259e-16,0.8420246737858653,2,False,-0.5130792019879141,0.5640693446392627,0.6454972243679036,-0.04369027648127549
8,73,1.6840031719004235e-16,0.8420246737858657,3,False,0.9951413007735666,0.026120507758769118,6.61359547008861e-16,0.09492897644617386
9,67,9.057848289240456e-16,0.8420246737858651,3,False,0.4820620987856534,0.5901898523980316,0.6454972243679038,0.05123869996489834
10,59,8.617648093045562e-16,0.8804857344718369,8,False,-0.08714485551127041,0.4491021590075083,-0.40824829046386296,0.789966048805927
11,59,7.531177654404661e-16,0.4174423812329622,8,False,-0.06942474824732016,0.7093591396508162,0.4564354645876402,0.5325941062303591
12,56,2.7194799110210365e-16,0.41744238123296246,0,False,0.7511635062560291,0.12529535398545497,0.45643546458763984,-0.460131641821635
13,54,6.530440769261223e-16,0.4174423812329598,3,False,0.7207111221712288,0.6338099023597338,9.94484072990179e-16,-0.2808210926006681
14,54,9.396246243876959e-16,0.8804857344718369,9,False,0.019051254620723636,0.6879709387049788,0.6123724356957975,-0.3890154716650266
15,52,5.743794908190346e-16,0.41744238123296035,7,False,-0.03897236416252045,0.20084459127653892,0.9128709291752761,0.3532835570093969
16,52,2.661296653564706e-16,0.41744238123296085,0,False,-0.42733408740711437,-0.32330802136279124,-2.894694292519563e-15,0.8443088896028548
17,51,8.920730087951354e-16,0.41744238123296246,1,False,0.7341235461005907,-0.49004456021001624,0.45643546458763784,-0.11218562624477668
18,46,9.238896857051836e-16,0.4174423812329611,3,False,0.6732187779309906,0.5269845365385394,-0.4564354645876359,0.2464354721971518
19,45,3.128879526812945e-15,0.0,0,True,0.6934929700486072,0.39524144582917453,0.1666666666666735,-0.578855700683897
20,44,1.2441048548802037e-15,0.41744238123296196,5,False,0.6866312018603514,-0.5968699260312101,-1.2624206572760053e-15,0.4150709385530466
21,44,4.603949291125036e-16,0.4174423812329614,8,False,0.3104169949195529,0.9258417951924132,3.3360735173797787e-15,0.21554178142532837
22,43,1.3788683915077173e-15,0.41744238123296085,4,False,0.6561788177755511,-0.0883553776569309,-0.45643546458764095,0.5943814877740101
23,41,2.387624894196368e-16,0.41744238123296273,7,False,-0.08646470840275906,0.09401922545534452,0.45643546458763806,0.8805401218072179
24,41,1.1209924842431371e-15,0.8804857344718369,9,False,0.01905125462072389,0.6879709387049825,-0.6123724356957926,-0.3890154716650277
25,40,5.003707553108401e-16,0.4174423812329614,4,False,-0.3323493989266369,-0.1096572897204039,0.9128709291752762,-0.2102042399927901
26,39,1.0103182026100664e-15,0.4174423812329611,1,False,0.3713217630891562,-0.09118730155614219,0.9128709291752766,-0.14307931701660165
27,36,2.6665944475439295e-15,0.0,8,True,-0.055598192310190656,0.9284162965471453,0.16666666666666455,0.32737477535654
28,36,1.1214993808762262e-15,0.0,9,True,-4.248417991771404e-15,-2.1847760746789706e-15,1.0,2.2601248019960903e-15
29,36,3.3766115072321297e-16,0.8804857344718368,0,False,0.8303007037924236,-0.20390100496429955,-0.40824829046386235,-0.319935079023368
30,36,1.159062478901209e-16,0.4174423812329611,6,False,0.27633707460867624,-0.3048380331985295,-1.3277449492213265e-15,0.9114338125790437
31,35,2.010699415441723e-15,0.0,5,True,0.5912289249578006,-0.3615200153144492,-0.16666666666666402,0.7014084823000839
32,35,3.6506759942727966e-16,0.880485734471837,3,False,0.743155848281152,0.24520115404320475,0.40824829046386335,0.47003096978256126
33,35,2.5943974335363627e-16,0.4174423812329611,8,False,-0.3932541670962357,0.907371807028152,3.5730111736868075e-15,0.14841685844914002
34,33,1.961044852356119e-15,0.0,1,True,0.677937685788396,-0.1664844734010758,0.6666666666666693,-0.26122589814142216
35,32,1.429412144204889e-15,0.0,2,True,-0.662382401528192,0.7282103926313362,-0.1666666666666623,-0.05640390440106125
36,32,3.2159359137519293e-16,0.0,7,True,-0.07115347657039368,0.3666903773168864,0.6666666666666685,0.6450045778990249
37,30,1.2994827337208943e-15,2.1073424255447017e-08,4,True,-0.6067842092180046,-0.2002059039158153,0.6666666666666672,-0.38377867975760066
38,27,2.0253964504621837e-15,0.0,3,True,0.6223394934782073,0.7619318231460679,-0.16666666666666158,0.0661488772151223
39,24,1.232860053741059e-15,0.0,6,True,-0.08670876083060083,-0.1950355419133667,0.16666666666666513,0.962634380441507
