sample_id,source_index,s4,s6,s8,residual_norm_squared,operator_norm,gap_0,gap_1,gap_2,gap_3,gap_4,gap_5,gap_determinant,elementary_1,elementary_2,elementary_3,elementary_4,elementary_5
0,0,1.2791177093209147,0.7814111929290463,0.5132781154173613,0.06839006500532188,0.30660407213259044,0.017105054062824407,0.017105054062824587,0.08022245881130481,0.08022245881130483,0.11100582045920367,0.11100582045920372,2.3202369698968925e-08,0.416666666666666,0.06775503760751067,0.0053780339462009335,0.0002117261567189628,3.7094151389602153e-06
1,10,1.388424610368844,0.9499636645326782,0.7077443744555556,0.070609243013548,0.3176164588778479,0.010230896161007547,0.010230896161007618,0.08822417496738785,0.08822417496738791,0.10987826220493824,0.10987826220493827,9.836172338400842e-09,0.4166666666666674,0.06684414676544512,0.005081973497073194,0.00017869839458229455,2.3248558802226253e-06
2,20,1.443639035469313,1.0268927635972072,0.78214426058676,0.054434104786137055,0.32193586780742306,0.007468408130192537,0.007468408130192571,0.09062448648897233,0.0906244864889724,0.110240438714168,0.11024043871416804,5.567100600633355e-09,0.4166666666666659,0.06638402655627393,0.004936986173332681,0.00016312320117685902,1.7147000431839558e-06
3,30,1.1980203235154343,0.7031505637813825,0.4329584383802468,0.09809476669790271,0.30064777397921166,0.020722027112455983,0.02072202711245606,0.08064695102656294,0.08064695102656295,0.10696435519431452,0.10696435519431459,3.195350741588808e-08,0.416666666666667,0.06843084915589001,0.005571692417589457,0.00023108252266087603,4.473903917587018e-06
4,40,1.3873771179844085,0.9395259317416005,0.6818007690129719,0.06187888970312268,0.31702058219724166,0.010609061574433072,0.0106090615744332,0.08676495277504044,0.08676495277504052,0.11095931898386,0.11095931898386004,1.0432062365348945e-08,0.4166666666666673,0.0668528758686487,0.0050897120382245925,0.00018003405344283157,2.395133642882265e-06
5,50,1.514944535376981,1.1461542722912752,0.9667290932838828,0.04443655158660074,0.32793349349662104,0.0035707349542127417,0.0035707349542128267,0.09795803665416068,0.09795803665416071,0.10680456172495968,0.10680456172495971,1.3956450463632513e-09,0.41666666666666635,0.06578981405704357,0.004738682557562551,0.00014086082043579857,8.36342356750522e-07
6,60,1.1295979090233224,0.6142064608005734,0.36219879817111406,0.09001123993104639,0.2926221887196798,0.025483365780015227,0.025483365780015275,0.07662528169133684,0.07662528169133688,0.10622468586198121,0.10622468586198125,4.302378900313986e-08,0.4166666666666667,0.06900103594332418,0.005747813983119736,0.00025024344110337283,5.309635914763776e-06
7,70,0.7858802289599377,0.28817569365207146,0.11706387659806616,0.028520999509653956,0.24124105907204138,0.05291386252891097,0.05291386252891103,0.07210960989418312,0.07210960989418316,0.08330986091023956,0.08330986091023959,1.0104574734092789e-07,0.4166666666666674,0.07186534994385264,0.006565456409430759,0.00033497822750055517,9.047595271131592e-06
8,80,1.4384702129427849,1.0129844986569667,0.7579245475013119,0.04950034190802566,0.32120213918659934,0.007940296893063574,0.007940296893063643,0.08931711941778209,0.08931711941778214,0.11107591702248755,0.1110759170224876,6.2055847845275886e-09,0.4166666666666666,0.06642710007732863,0.004954284880756063,0.00016535299357790556,1.8137532881602487e-06
9,90,1.4945318884781993,1.098516003362269,0.870522771990153,0.034840171009770715,0.32567026174933483,0.005049991723230847,0.00504999172323093,0.09275136138413644,0.09275136138413649,0.11053198022596586,0.1105319802259659,2.680388954423292e-09,0.4166666666666664,0.06595991944786678,0.004802949460483818,0.0001487780238065203,1.1678390067402739e-06
