probe_id,f0,f1,f2,f3,sigma,target_gap,quadratic_relation_score
0,-0.6849309306235309,-0.606687751732885,-0.35267746797991,0.19600560132751507,0.31350828311764284,0.019825050215690476,0.0
1,0.8134623972027778,0.23887108848568547,0.27941420015815516,0.4507185775766873,0.23357270734307597,0.09976062599025734,0.0
2,-0.7778291353401195,-0.09677393537337486,0.6145818010820892,0.0889148549292364,0.292219033676887,0.04111429965644631,0.0
3,-0.41568003666181846,-0.6666104053850015,-0.3618021394611618,0.5019361378049993,0.302415617095894,0.03091771623743933,0.0
4,-0.5956537670300923,0.18918882902482773,-0.329836082204218,-0.7075396354065596,0.29688284186174424,0.036450491471589075,0.0
5,0.5554459356518174,-0.7775193129005089,-0.2893614826403821,0.056687414818081816,0.3118078872483673,0.021525446084966038,0.0
6,-0.5634191734379542,0.6153197572032808,-0.4978936541025661,-0.23673263527064106,0.31304382167653355,0.020289511656799764,0.0
7,-0.7216475490816359,0.5740117232616767,-0.3694733887629542,-0.11499900633765117,0.32863284056819886,0.004700492765134456,0.0
8,-0.5789506020248784,-0.03563028002367945,-0.7583969140437407,-0.2972890921803154,0.29120098305990855,0.04213235027342477,0.0
9,-0.02628299800931348,0.7788260476693541,0.3218012244077472,-0.537757532217867,0.25595765395407094,0.07737567937926237,0.0
10,0.11070641159039533,-0.5121307564934614,0.3328164127056042,0.7840276870876346,0.3064066988990427,0.02692663443429061,0.0
11,0.1251487391642645,-0.8113190033199906,-0.1309063086307764,0.5558442284472478,0.27805262910501455,0.05528070422831877,0.0
12,0.4337942025108902,-0.8163464479540483,0.2009821812578804,0.3240481902396211,0.3163324852378105,0.017000848095522825,0.0
13,-0.8895906699005178,0.18808572656901407,-0.13319967905648528,0.39434761947576563,0.3022227683837992,0.031110564949534125,0.0
14,-0.5301009094084843,0.30731853092757555,-0.7293509105564179,-0.3042952442338505,0.2933835705506101,0.03994976278272322,0.0
15,0.7521787932326947,0.05343091991393353,-0.6512462861953319,0.08514971829046658,0.3115756791745224,0.021757654158810924,0.0
16,-0.41692476524694894,0.43841628262378973,0.6976221068648009,-0.38378157755112474,0.29184033384050534,0.041492999492827976,0.0
17,-0.5398818075977825,0.6390553983424596,0.5299201450606681,0.13899809902725926,0.2821807326955322,0.05115260063780114,0.0
18,0.46020310072841236,0.23748337576859962,-0.7731159300217563,0.3662055584778849,0.33087416919665275,0.0024591641366805694,0.0
19,-0.34516023607222096,0.2213917549164922,-0.8956628808844583,-0.1721572133118948,0.31499198632440484,0.018341347008928477,0.0
20,0.17813884721744164,-0.15435524637954182,-0.7778255915317018,0.5826048044648363,0.29788181341788766,0.03545151991544565,0.0
21,-0.4055657686899641,0.2522345740723422,-0.7659786427260756,-0.43031482172588653,0.2794480651392507,0.053885268194082625,0.0
22,0.07627614308471227,-0.06571302662630871,-0.7760736787210192,-0.6225539280449163,0.32548676763778406,0.007846565695549257,0.0
23,-0.473388058654368,-0.7218151640631884,0.1814135365516678,0.4711430182096493,0.3116859365822284,0.02164739675110494,0.0
24,-0.9938813479971409,0.038525373243681584,-0.027636597270711348,-0.09975911091783864,0.26276190288160756,0.07057143045172576,0.0
25,0.17687308821424205,0.4994034577098366,0.2612510879892392,-0.8068828701350992,0.3086447689239552,0.02468856440937811,0.0
26,-0.5185274591604678,0.20535911761853226,0.7246908520596629,0.40469751154234584,0.2938800507148914,0.03945328261844189,0.0
27,-0.6975834030571966,0.3512327541451709,-0.5697798059264972,0.2556636872007871,0.33107127228636,0.002262061046973296,0.0
28,-0.22981834784465952,0.475197559058591,-0.5928263671724371,0.6082168242032102,0.2664814562207329,0.06685187711260043,0.0
29,-0.4785569526432347,0.870014989052724,-0.07604271886328526,0.09096519558759096,0.3308189015169486,0.0025144318163847212,0.0
30,0.24032401382654506,0.5154468640193126,-0.07141297171053093,-0.8194260712367075,0.32151525700337047,0.011818076329962846,0.0
31,0.7872724754463103,-0.562316464523484,-0.016112284916426696,-0.25247304292779493,0.30756367967519604,0.02576965365813727,0.0
32,-0.15591258696683488,0.9330289578048541,-0.2984864227184745,0.1267047141018239,0.3113552975074429,0.02197803582589042,0.0
33,0.32057089631003766,0.9389427070050793,-0.016089373388469136,0.12394363825916677,0.32933809479110315,0.003995238542230162,0.0
