probe_id,sigma_max,sigma_second,sigma_minimum,target_gap,f0,f1,f2,f3
0,0.319229829137472,0.31922982913747194,0.013212795863305583,0.014103504195861316,0.00597233573469814,0.9892877785688173,-0.13468395784388995,0.05598440746986365
1,0.29361271156401697,0.2936127115640168,0.12938016536741795,0.039720621769316344,0.30899693454837973,-0.5676089511014075,-0.4909233661436656,0.5842390107168783
2,0.3251857295369735,0.3251857295369734,0.021158305249405415,0.008147603796359815,-0.5596151492276582,0.46555777752325594,-0.6611051744249069,0.1817327402839839
3,0.32913353077811386,0.3291335307781135,0.049097366709769136,0.004199802555219456,0.08841267701666017,-0.19082781642170293,-0.9735263604889227,-0.08952300517556892
4,0.31527389461166105,0.315273894611661,0.02376226441334661,0.01805943872167226,0.12571616886972867,0.5165849641060959,0.1406756160136242,-0.8351920682115037
5,0.30776349774265443,0.3077634977426544,0.037625678382141585,0.02556983559067888,0.4704616644333106,-0.4439076787843552,0.7513409992242951,0.1307612247555156
6,0.28801261491705293,0.2880126149170528,0.024641257890492506,0.04532071841628038,0.6592784121745774,-0.5719514735656691,-0.47024135922255456,0.1307537808369306
7,0.3120886229478244,0.3120886229478243,0.043894158881846945,0.021244710385508903,0.39585533220876506,0.645211333448456,-0.4802889735195671,0.4430839571312349
8,0.2330093919696867,0.23300939196968665,0.14152831002769475,0.10032394136364661,0.69428635060073,0.3664808520979541,0.5220680392905549,0.33332148260559713
9,0.30508149829623066,0.3050814982962306,0.044270335085286106,0.028251835037102657,-0.32401178768307753,0.24925356463459888,0.6902507851172069,-0.5970283708538828
10,0.33080985750526926,0.33080985750526914,0.030825879747662887,0.002523475828064059,0.11647256960585771,-0.8094670274715764,-0.3642818967906934,-0.44552886734342323
11,0.32340249781481817,0.323402497814818,0.051038152855887524,0.009930835518515146,0.3172902797805384,-0.3929409134346353,-0.27260915618663906,0.8189069329717209
12,0.3073586218069188,0.30735862180691864,0.0017202270414739987,0.025974711526414507,-0.9053160453589709,0.19058601227807886,0.1511658816714009,-0.34817912941191903
13,0.32370150373755663,0.32370150373755635,0.06683883154592805,0.009631829595776686,0.762871884916674,-0.2943627379364577,-0.00023103856581581923,0.5756535523554202
14,0.32895487625410375,0.32895487625410336,0.048614087603958044,0.00437845707922957,0.6031153035533482,-0.3801641899184426,0.6541337757773156,-0.2526581142784058
