target_sector_id,dimension,character_norm,group_invariance_max_abs,projector_idempotence_max_abs
0,4,1.0000000000000002,1.2559397966072083e-15,3.3306690738754696e-16
1,4,1.0,1.3322676295501878e-15,3.3306690738754696e-16
2,5,1.0,3.1433189384699745e-15,2.220446049250313e-16
3,6,1.0000000000000002,3.219646771412954e-15,1.6653345369377348e-16
