orbit_id,orbit_size,faces,intersection_order_profile,signed_flux_profile,absolute_flux_profile,sign_profile,flux_sum,flux_mean,flux_norm,constant_signed_value,constant_absolute_value
0,12,"[1, 2, 4, 5, 9, 10, 11, 14, 15, 16, 17, 18]","{""2"": 12}","{""0.07453559925"": 12}","{""0.07453559925"": 12}","{""1"": 12}",0.8944271909999171,0.07453559924999309,0.2581988897471615,True,True
1,6,"[3, 6, 8, 12, 13, 19]","{""4"": 6}","{""-0.298142397"": 6}","{""0.298142397"": 6}","{""-1"": 6}",-1.7888543819998324,-0.2981423969999721,0.7302967433402218,True,True
2,2,"[0, 7]","{""12"": 2}","{""0.4472135955"": 2}","{""0.4472135955"": 2}","{""1"": 2}",0.8944271909999153,0.44721359549995765,0.6324555320336754,True,True
