sample_id,source_index,f0,f1,f2,f3,operator_norm,top_eigenvalue,s2,s4,s6,s8,projective_distance_to_axis_register
0,0,-0.5395402670582142,-0.28451112801390405,-0.7875289576124568,0.08802192443274626,0.30660407213259033,0.09400605704828666,2.500000000000001,1.2791177093209147,0.7814111929290463,0.5132781154173613,0.5168734737708842
1,10,-0.036265965420715855,0.5401948465177504,-0.09698978196796695,-0.8351450710754234,0.3176164588778479,0.10088021495010364,2.500000000000001,1.388424610368844,0.9499636645326782,0.7077443744555556,0.3941650937304364
2,20,0.45535761049800516,0.8317472776384961,0.16737428519628914,0.26987360255780596,0.32193586780742306,0.10364270298091857,2.4999999999999982,1.443639035469313,1.0268927635972072,0.78214426058676,0.4310965879789117
3,30,0.3068918336047368,0.7021281489996001,-0.36329449833888466,0.5299533680672442,0.3006477739792116,0.09038908399865511,2.499999999999999,1.1980203235154343,0.7031505637813825,0.4329584383802468,0.5973782850788785
4,40,0.6683503102040035,-0.4857372336038575,0.5296293431999509,0.1919894829480829,0.31702058219724155,0.10050204953667799,2.5,1.3873771179844085,0.9395259317416005,0.6818007690129719,0.4571150866563741
5,50,-0.7563667009046587,-0.16212555681178567,0.5579825264044175,-0.30046666673428946,0.327933493496621,0.10754037615689836,2.5000000000000013,1.514944535376981,1.1461542722912752,0.9667290932838828,0.20634478067858117
6,60,-0.7712428087594694,0.5110483237145853,0.37176658248561695,-0.07618233989765542,0.29262218871967977,0.08562774533109588,2.500000000000001,1.1295979090233224,0.6142064608005734,0.36219879817111406,0.5910258054790314
7,70,0.043895796770033794,0.5620455181075632,-0.7121511371073598,-0.4183524262124211,0.24124105907204133,0.058197248582200135,2.5000000000000013,0.7858802289599377,0.28817569365207146,0.11706387659806616,0.7587474716829546
8,80,0.32552859102318044,-0.12689266833665136,-0.924490525393194,-0.15246853972896696,0.3212021391865993,0.1031708142180475,2.5000000000000013,1.4384702129427849,1.0129844986569667,0.7579245475013119,0.3886115659802366
9,90,0.637893893660094,0.436178334292809,-0.4335561261351312,0.46353956316091655,0.32567026174933483,0.10606111938788026,2.499999999999999,1.4945318884781993,1.098516003362269,0.870522771990153,0.34256842089179
10,100,0.566224043283614,-0.7152394306767482,-0.27642260009206254,-0.30234654913046477,0.30786614606460155,0.09478156389267058,2.4999999999999996,1.2734861459664821,0.7980931678949894,0.5291079754093916,0.5646732797421553
11,110,-0.5797008043570073,0.5852896420072609,0.022001373582892746,-0.5664794364734851,0.3292663998693498,0.10841636208292256,2.5000000000000013,1.5454481763406867,1.1723087492271376,0.9591427286415775,0.298897370054539
12,120,0.7583992934432999,0.5454011647697434,-0.29361146650547304,-0.20288023045387218,0.321288750555965,0.1032264612338131,2.5000000000000004,1.4397219049530043,1.0145551575146499,0.7633251544134813,0.3922874432896292
13,130,0.5873024791147999,-0.5529257395089809,-0.5673515022585213,0.16571420427668704,0.27830311962339005,0.07745262639211095,2.500000000000001,1.0953164157278743,0.5122782640326404,0.25054916046661846,0.6958220068463441
14,140,-0.057704225347698555,-0.20511009297270474,-0.9763548229248418,-0.03648742097149758,0.32786444138954574,0.10749509192767887,2.5000000000000013,1.5145757420698702,1.1446240671864143,0.9617890300740222,0.21746345474657935
15,150,0.05680116792959285,0.9473665865518773,-0.3100895897416641,-0.055808819560397085,0.29909530078804775,0.08945799895349275,2.499999999999999,1.1795703026221056,0.6841322127713452,0.4196818975230385,0.6221888178933583
16,160,0.768131493754409,0.559682124232961,0.0587723356371528,-0.30541077368104513,0.32984140242516874,0.10879535075380212,2.4999999999999996,1.555234805918241,1.184309935665831,0.9655468471720879,0.344999943053306
17,170,-0.1882818103837024,0.24494567813397147,-0.6178804453881757,-0.7230320392963469,0.2967656604725927,0.08806985723573416,2.5000000000000018,1.185367731729074,0.66104968810916,0.397563785947608,0.582334948242601
18,180,-0.27828241159945377,-0.005828367794074171,-0.04041299289611801,-0.9596310330165586,0.31804032136890636,0.10114964601643724,2.5000000000000004,1.3988187103492609,0.9569361239144978,0.7028310506849688,0.4353319152223247
19,190,0.884633669097952,0.19624551110066948,0.3714379813461944,-0.20234820702095727,0.31688971232182106,0.1004190897754065,2.5,1.3823685697473065,0.9374880766303151,0.6764788245559173,0.5097286856470605
20,200,0.5147763961128826,-0.08774190370133667,0.7967946571998489,-0.3040146289205064,0.3303534168454884,0.10913338002148902,2.5,1.5578053678296468,1.1961961878629945,1.0046421275309834,0.22712588609268064
21,210,0.028920277497317685,-0.593971591813824,-0.7466340454625544,0.2981592994086394,0.24966267324012129,0.06233145040940357,2.5000000000000013,0.8094448875594774,0.3124981959849022,0.1371298384244686,0.7118510441622568
22,220,-0.7113365565160628,-0.009042920831437172,-0.3507342594844907,-0.6090188898306625,0.26475106926839465,0.0700931286787583,2.5000000000000013,0.8896049140222728,0.3866968568935099,0.19247423236988367,0.6542035524073029
23,230,-0.6694145064041462,0.554638548620508,-0.07489834526356101,-0.48851871701769023,0.32886446334222696,0.10815183524937094,2.5000000000000004,1.5415259635039917,1.1635121415081244,0.9375840235493367,0.3835146153710877
24,240,0.38931215981409645,-0.43974346355812444,0.7996196600916547,-0.12518038054621144,0.31673374214081385,0.10032026341052355,2.4999999999999996,1.38461865048001,0.9346737693129312,0.6709563594733368,0.44063596229087165
25,250,-0.4923734949065101,0.5404474596325911,-0.4500223109802719,0.5128009404342031,0.2992766755371029,0.08956652852054037,2.499999999999999,1.1700457458859523,0.6849884428277714,0.43959817328271883,0.5333921285173107
26,260,-0.04224631986080565,0.0286931311399345,0.8285433627501891,0.5575911124885453,0.3232824204125631,0.1045115233478052,2.5000000000000018,1.4651991003285199,1.0517731610889578,0.8034704325419431,0.38590535212953725
27,270,0.2875149123595412,-0.9248310934459573,0.023010829012861528,-0.2479780746650421,0.3297132288201264,0.10871081325899301,2.4999999999999987,1.5515393680348262,1.1818852134117463,0.9700943880517008,0.3099671065898458
