group_index,source_line,target_line,projective_distance,action_pass
7,11,22,0.0,True
7,12,18,0.0,True
7,13,13,0.0,True
7,14,23,0.0,True
7,15,15,0.0,True
7,16,20,0.0,True
7,17,21,0.0,True
7,18,12,1.4901161193847656e-08,True
7,19,19,0.0,True
7,20,16,0.0,True
7,21,17,0.0,True
7,22,11,0.0,True
7,23,14,0.0,True
7,24,25,0.0,True
7,25,24,0.0,True
7,26,28,0.0,True
7,27,29,0.0,True
7,28,26,0.0,True
7,29,27,0.0,True
8,0,4,0.0,True
8,1,1,0.0,True
8,2,9,0.0,True
8,3,8,0.0,True
8,4,0,0.0,True
8,5,7,0.0,True
8,6,6,0.0,True
8,7,5,0.0,True
8,8,3,0.0,True
8,9,2,0.0,True
8,10,26,0.0,True
8,11,16,0.0,True
8,12,29,0.0,True
8,13,20,0.0,True
8,14,14,0.0,True
8,15,27,0.0,True
8,16,11,0.0,True
8,17,17,0.0,True
8,18,18,0.0,True
8,19,25,0.0,True
8,20,13,0.0,True
8,21,24,0.0,True
8,22,22,0.0,True
8,23,28,1.4901161193847656e-08,True
8,24,21,0.0,True
8,25,19,0.0,True
8,26,10,0.0,True
8,27,15,1.4901161193847656e-08,True
8,28,23,0.0,True
8,29,12,1.4901161193847656e-08,True
9,0,7,0.0,True
9,1,5,0.0,True
9,2,3,0.0,True
9,3,6,0.0,True
9,4,0,0.0,True
9,5,4,0.0,True
9,6,8,0.0,True
9,7,1,0.0,True
9,8,9,0.0,True
9,9,2,0.0,True
9,10,26,0.0,True
9,11,19,0.0,True
9,12,13,0.0,True
9,13,20,0.0,True
9,14,23,0.0,True
9,15,27,0.0,True
9,16,18,0.0,True
9,17,12,2.1073424255447017e-08,True
9,18,11,0.0,True
9,19,25,0.0,True
9,20,29,0.0,True
9,21,15,0.0,True
9,22,21,0.0,True
9,23,10,0.0,True
9,24,22,0.0,True
9,25,16,1.4901161193847656e-08,True
9,26,28,0.0,True
9,27,24,0.0,True
9,28,14,0.0,True
9,29,17,0.0,True
10,0,6,0.0,True
10,1,5,0.0,True
10,2,2,0.0,True
10,3,7,0.0,True
10,4,9,0.0,True
10,5,4,0.0,True
10,6,8,0.0,True
10,7,1,0.0,True
10,8,0,0.0,True
10,9,3,0.0,True
10,10,26,0.0,True
10,11,17,0.0,True
10,12,18,0.0,True
10,13,20,0.0,True
10,14,23,0.0,True
10,15,25,0.0,True
10,16,13,0.0,True
10,17,21,0.0,True
10,18,11,0.0,True
10,19,27,0.0,True
10,20,29,0.0,True
10,21,22,0.0,True
10,22,12,0.0,True
10,23,14,0.0,True
10,24,15,1.4901161193847656e-08,True
10,25,24,0.0,True
10,26,28,0.0,True
10,27,16,1.4901161193847656e-08,True
10,28,10,0.0,True
10,29,19,0.0,True
11,0,8,0.0,True
11,1,1,0.0,True
11,2,3,0.0,True
11,3,4,0.0,True
11,4,2,0.0,True
11,5,6,0.0,True
11,6,7,0.0,True
11,7,5,0.0,True
11,8,9,0.0,True
11,9,0,0.0,True
11,10,26,0.0,True
11,11,21,0.0,True
11,12,11,0.0,True
11,13,20,0.0,True
11,14,10,0.0,True
11,15,27,0.0,True
11,16,29,0.0,True
11,17,15,0.0,True
11,18,13,0.0,True
11,19,25,0.0,True
11,20,18,0.0,True
11,21,12,2.1073424255447017e-08,True
11,22,19,0.0,True
11,23,23,0.0,True
