a_star0,b_star1,c_star2,x_b_over_a,y_c_over_b,Delta0_rank,Delta0_kernel,Delta1_rank,Delta1_kernel,Delta2_rank,Delta2_kernel,Delta1_smallest_positive,Delta1_largest_positive,Delta1_negative_count,exact_coexact_left_max_abs,exact_coexact_right_max_abs,dimension_partition_pass,all_checks_pass
0.5,2.0,1.0,4.0,0.5,59,1,78,42,19,1,2.9999999999999893,24.00000000000004,0,0.0,0.0,True,True
0.5,2.0,2.0,4.0,1.0,59,1,78,42,19,1,3.05572809000083,24.00000000000003,0,0.0,0.0,True,True
0.5,2.0,4.0,4.0,2.0,59,1,78,42,19,1,3.0557280900008195,32.00000000000003,0,0.0,0.0,True,True
0.5,4.0,0.25,8.0,0.0625,59,1,78,42,19,1,0.37499999999996286,48.00000000000004,0,0.0,0.0,True,True
0.5,4.0,0.5,8.0,0.125,59,1,78,42,19,1,0.7499999999999754,48.000000000000085,0,0.0,0.0,True,True
0.5,4.0,1.0,8.0,0.25,59,1,78,42,19,1,1.49999999999998,48.000000000000064,0,0.0,0.0,True,True
0.5,4.0,2.0,8.0,0.5,59,1,78,42,19,1,2.999999999999987,48.00000000000007,0,0.0,0.0,True,True
0.5,4.0,4.0,8.0,1.0,59,1,78,42,19,1,5.999999999999979,48.00000000000008,0,0.0,0.0,True,True
1.0,0.25,0.25,0.25,1.0,59,1,78,42,19,1,0.19098300562505208,16.000000000000014,0,0.0,0.0,True,True
1.0,0.25,0.5,0.25,2.0,59,1,78,42,19,1,0.19098300562504048,32.00000000000003,0,0.0,0.0,True,True
1.0,0.25,1.0,0.25,4.0,59,1,78,42,19,1,0.19098300562503906,64.00000000000007,0,0.0,0.0,True,True
1.0,0.25,2.0,0.25,8.0,59,1,78,42,19,1,0.19098300562499274,128.00000000000014,0,0.0,0.0,True,True
1.0,0.25,4.0,0.25,16.0,59,1,78,42,19,1,0.1909830056249662,256.0000000000003,0,0.0,0.0,True,True
1.0,0.5,0.25,0.5,0.5,59,1,78,42,19,1,0.38196601125010277,8.000000000000007,0,0.0,0.0,True,True
1.0,0.5,0.5,0.5,1.0,59,1,78,42,19,1,0.3819660112501004,16.000000000000014,0,0.0,0.0,True,True
1.0,0.5,1.0,0.5,2.0,59,1,78,42,19,1,0.38196601125010415,32.00000000000003,0,0.0,0.0,True,True
1.0,0.5,2.0,0.5,4.0,59,1,78,42,19,1,0.38196601125008095,64.00000000000006,0,0.0,0.0,True,True
1.0,0.5,4.0,0.5,8.0,59,1,78,42,19,1,0.3819660112500781,128.00000000000014,0,0.0,0.0,True,True
1.0,1.0,0.25,1.0,0.25,59,1,78,42,19,1,0.7639320225002075,6.000000000000007,0,0.0,0.0,True,True
1.0,1.0,0.5,1.0,0.5,59,1,78,42,19,1,0.7639320225002049,8.000000000000007,0,0.0,0.0,True,True
