probe_id,point_norm_squared,direct_determinant,predicted_determinant,absolute_residual
0,3.8030321136174274,4.6966857191118485e-05,2.9319363121040166e-05,1.764749407007832e-05
1,1.5336689634136618,5.636838408890355e-08,-3.6629380392937074e-08,9.299776448184062e-08
2,5.346596784545037,0.0005351908168036083,0.00040950454592073965,0.00012568627088286867
3,6.736205240993962,0.0015006988891148425,0.0009444015315023588,0.0005562973576124837
4,5.264343802152302,0.0007380510765362859,0.0006414677883721965,9.65832881640894e-05
5,8.143400699785207,0.02337445738261173,0.02259250254134291,0.0007819548412688199
6,5.393270376691741,0.0007012277113926687,0.0005770568941118037,0.000124170817280865
7,5.589307853350631,0.0028397085968397246,0.002769905965070725,6.980263176899941e-05
8,4.006998744294985,9.478102141571172e-05,7.206570786196029e-05,2.2715313553751433e-05
9,3.6748936074285115,0.00016455829588066996,0.0001565615744797972,7.996721400872764e-06
10,2.496574776005445,2.4337406555722e-07,-1.6690974310359713e-06,1.9124714965931914e-06
11,8.652765689405728,0.00784845370083673,0.005427761181648977,0.002420692519187754
12,1.2038209030600766,1.2628954285848794e-07,1.138146134628514e-07,1.2474929395636534e-08
13,2.162978997296193,2.996892622155287e-08,-8.111326324226481e-07,8.41101558644201e-07
14,0.8687766532955424,1.9825644491000837e-08,1.802825207433499e-08,1.7973924166658452e-09
15,11.696768869083204,0.16078375687224122,0.15221142175160604,0.008572335120635183
16,1.5097659409548652,5.229360498848186e-07,4.7017438498268745e-07,5.276166490213112e-08
17,8.171310147861016,0.019940965962433846,0.01895028516633517,0.0009906807960986773
18,0.5500859986756516,3.381858037050275e-11,-1.8418187013969507e-10,2.1800045051019783e-10
19,2.473310523220606,1.0438985584179266e-05,9.509290997524125e-06,9.296945866551404e-07
20,2.1591717096209946,6.210085473757e-06,5.848194900521415e-06,3.6189057323558557e-07
21,2.8983430496245663,3.465944837341151e-05,3.250730098559392e-05,2.1521473878175902e-06
22,3.3628211240294315,6.828960953081587e-06,-3.4975830711369494e-06,1.0326544024218536e-05
23,2.4858392152601185,8.496923016501602e-08,-1.8472376409994659e-06,1.932206871164482e-06
24,6.573246549156843,0.00017520748176012044,-0.0004334689359322915,0.000608676417692412
25,0.7730492276905987,1.520370271132155e-08,1.4469072967084143e-08,7.346297442374065e-10
26,1.8173173393831719,3.236704922293853e-08,-2.496810155245265e-07,2.8204806474746505e-07
27,6.189496302974553,4.571830375923957e-05,-0.00040273038654651356,0.00044844869030575315
28,9.805223695410504,0.01955479725458568,0.014882485412033417,0.004672311842552264
29,3.4870567329020874,9.372327812991662e-05,8.691594852164402e-05,6.8073296082726056e-06
30,7.21891216089422,0.005022614275756058,0.004384550757649798,0.0006380635181062596
31,1.1078831255413384,6.959477780701999e-08,6.107702036217147e-08,8.517757444848524e-09
32,0.5903423429827757,1.2432922646215383e-10,-1.908269152473025e-10,3.1515614170945636e-10
33,2.3024014617777704,8.423942681385097e-07,-1.9028545708218502e-07,1.0326797252206948e-06
34,3.6956010861246273,1.4843355362238014e-06,-1.9156707508726177e-05,2.0641043044949977e-05
35,2.9609923077032523,1.7774497708269183e-05,1.426675973959218e-05,3.5077379686770038e-06
36,3.1590682108987704,7.623780744446515e-06,1.0679935766455244e-06,6.555787167800991e-06
37,1.9079294230240755,4.368243898283054e-06,4.251663374775757e-06,1.1658052350729697e-07
