probe_id,point_norm_squared,direct_determinant,predicted_determinant,absolute_residual
0,3.0203405404688235,3.641540708688214e-05,3.6415407086881975e-05,1.6263032587282567e-19
1,1.058228239863259,4.214309840999682e-09,4.214309840999563e-09,1.1911400820763599e-22
2,3.9118324899253483,3.542981281368152e-05,3.542981281368299e-05,1.463672932855431e-18
3,2.7229372983934286,3.032272289935454e-06,3.032272289935377e-06,7.665648172651418e-20
4,8.93669751599251,0.0036592446232997836,0.00365924462330002,2.3635607360183997e-16
5,1.2508453967030702,1.3369878720073729e-07,1.336987872007336e-07,3.679299364635867e-21
6,1.0214524073526294,9.157946006706848e-09,9.157946006706427e-09,4.2020775117693806e-22
7,5.948506292570238,9.22283147201722e-05,9.222831472017841e-05,6.207057437479513e-18
8,2.2860090236921273,6.622211864366515e-06,6.622211864366652e-06,1.3721933745519665e-19
9,0.8105468034563315,3.114922259083982e-09,3.114922259084166e-09,1.8404768629304866e-22
10,5.321339461481422,0.000389378093579586,0.0003893780935795894,3.415236843329339e-18
11,4.493480207584801,0.00015041262931088042,0.000150412629310872,8.429671891074797e-18
12,2.167072517444374,5.13417854065659e-06,5.13417854065648e-06,1.1011428314305904e-19
13,4.012966847254504,0.00012383213766185136,0.00012383213766185527,3.903127820947816e-18
14,4.515705917905315,0.00025101153690080543,0.00025101153690080776,2.3310346708438345e-18
15,4.626548471196699,4.654340537437921e-06,4.6543405374396216e-06,1.700842158086635e-18
16,2.191244494843426,3.826249886519953e-06,3.826249886519905e-06,4.743384504624082e-20
17,3.125159941540927,3.986475775604892e-05,3.9864757756047725e-05,1.1926223897340549e-18
18,1.1916986017962015,2.6924248541523885e-07,2.6924248541523573e-07,3.1234339930002325e-21
19,14.245515049239255,0.29360159542660885,0.2936015954266055,3.3306690738754696e-15
20,1.5937021233735644,1.0473712106830223e-06,1.0473712106830237e-06,1.4823076576950256e-21
21,4.3159028996523645,0.00019344239921216747,0.00019344239921216335,4.119968255444917e-18
22,0.5985650068332931,2.029839533882326e-12,2.0298395338828647e-12,5.387983091531928e-25
23,7.516667762071151,0.0008662907887222782,0.0008662907887222374,4.0766001685454967e-17
24,3.9812106921495714,3.290337469470278e-05,3.290337469470381e-05,1.0299920638612292e-18
25,6.4798766627745925,0.005085768738977393,0.005085768738977373,1.9949319973733282e-17
26,4.389167849397666,0.00029030556045483774,0.0002903055604548418,4.065758146820642e-18
27,5.247127397602224,0.00030016178550693767,0.0003001617855069287,8.944667923005412e-18
28,2.909818267084831,1.4458405950609021e-05,1.4458405950608548e-05,4.726443845678996e-19
29,1.7511018591532133,1.4780187900720844e-07,1.4780187900721066e-07,2.2234614865425384e-21
