actual_index,actual_order,actual_cycle_type,s5_permutation,d8_rotation,d8_flip,orientation_type,character,rounded_character,representation_is_identity
336,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 4 1 3 0,3,1,reversing,-1.0894063429134349e-15,0,False
337,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 1 4 2 0,3,0,preserving,5.551115123125783e-16,0,False
338,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 3 2 4 0,1,1,reversing,6.245004513516506e-17,0,False
339,12,12 12 12 12 12,4 2 3 1 0,1,0,preserving,4.163336342344337e-16,0,False
340,10,10 10 10 10 10 10,2 3 1 4 0,2,0,preserving,2.0000000000000004,2,False
341,10,10 10 10 10 10 10,3 2 4 1 0,0,1,reversing,4.996003610813204e-16,0,False
342,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,1 4 2 3 0,0,0,preserving,-6.938893903907228e-17,0,False
343,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 1 3 2 0,2,1,reversing,-1.2212453270876722e-15,0,False
344,12,12 12 12 12 12,2 0 1 4 3,3,0,preserving,-1.942890293094024e-16,0,False
345,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 2 4 1 3,1,1,reversing,1.5126788710517758e-15,0,False
346,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 4 2 0 3,1,0,preserving,4.2674197509029455e-16,0,False
347,10,10 10 10 10 10 10,4 2 0 1 3,2,0,preserving,2.000000000000001,2,False
348,10,10 10 10 10 10 10,2 4 1 0 3,0,1,reversing,-1.6792123247455493e-15,0,False
349,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 1 4 2 3,0,0,preserving,-1.8041124150158794e-16,0,False
350,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 2 4 3,2,1,reversing,2.7755575615628914e-16,0,False
351,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 1 0 2 3,3,1,reversing,1.8596235662471372e-15,0,False
352,6,6 6 6 6 6 6 6 6 6 3 3,1 0 3 4 2,3,1,reversing,1.3739009929736312e-15,0,False
353,10,10 10 10 10 10 10,1 4 3 0 2,2,0,preserving,2.0000000000000018,2,False
354,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 1 4 3 2,1,0,preserving,-8.326672684688674e-17,0,False
355,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 3 4 1 2,2,1,reversing,-5.551115123125783e-16,0,False
356,5,5 5 5 5 5 5 5 5 5 5 5 5,3 0 1 4 2,0,0,preserving,1.9999999999999996,2,False
357,6,6 6 6 6 6 6 6 6 6 6,4 1 0 3 2,0,1,reversing,7.077671781985373e-16,0,False
358,6,6 6 6 6 6 6 6 6 6 3 3,3 4 1 0 2,1,1,reversing,-3.885780586188048e-16,0,False
359,12,12 12 12 12 12,4 3 0 1 2,3,0,preserving,-9.159339953157541e-16,0,False
360,6,6 6 6 6 6 6 6 6 6 3 3,3 4 0 2 1,1,1,reversing,5.551115123125783e-16,0,False
361,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 3 2 0 1,3,0,preserving,5.967448757360216e-16,0,False
362,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 2 3 4 1,3,1,reversing,-1.1102230246251565e-16,0,False
363,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 0 4 3 1,1,0,preserving,-3.885780586188048e-16,0,False
364,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 4 3 2 1,2,0,preserving,-9.999999999999996,-10,False
365,5,5 5 5 5 5 5 5 5 5 5 5 5,3 2 0 4 1,0,0,preserving,2.0,2,False
366,6,6 6 6 6 6 6 6 6 6 6,4 0 2 3 1,0,1,reversing,-1.1102230246251565e-16,0,False
367,10,10 10 10 10 10 10,2 3 4 0 1,2,1,reversing,-3.0531133177191805e-16,0,False
368,6,6 6 6 6 6 6 6 6 6 6,3 1 0 2 4,2,1,reversing,1.1102230246251565e-16,0,False
369,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 2 0 1 4,1,0,preserving,-4.440892098500626e-16,0,False
370,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 1 3 2 4,3,0,preserving,-1.0269562977782698e-15,0,False
371,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,1 0 2 3 4,1,1,reversing,1.887379141862766e-15,0,False
372,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 3 1 0 4,3,1,reversing,-1.4988010832439613e-15,0,False
373,6,6 6 6 6 6 6 6 6 6 6,2 0 1 3 4,2,0,preserving,1.1102230246251565e-16,0,False
374,6,6 6 6 6 6 6 6 6 6 6,0 2 3 1 4,0,1,reversing,9.43689570931383e-16,0,False
375,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,1 3 2 0 4,0,0,preserving,6.661338147750939e-16,0,False
376,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 3 2 4 0,1,0,preserving,9.853229343548264e-16,0,False
377,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 4 1 3 0,3,0,preserving,-2.5088438271314573e-16,0,False
378,6,6 6 6 6 6 6 6 6 6 3 3,4 2 3 1 0,1,1,reversing,-1.4710455076283324e-15,0,False
379,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 1 4 2 0,3,1,reversing,-1.6653345369377348e-16,0,False
