actual_index,actual_order,actual_cycle_type,s5_permutation,d8_rotation,d8_flip,orientation_type,character,rounded_character,representation_is_identity
0,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 1 2 3 4,0,0,preserving,41.99999999999999,42,True
1,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,3 2 1 0 4,0,1,reversing,1.27675647831893e-15,0,False
2,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 3 0 1 4,2,0,preserving,-10.0,-10,False
3,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 2 3 0 4,1,0,preserving,1.2351231148954867e-15,0,False
4,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 3 2 1 4,1,1,reversing,-1.6653345369377348e-15,0,False
5,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 0 1 2 4,3,0,preserving,4.3021142204224816e-16,0,False
6,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,2 1 0 3 4,3,1,reversing,5.551115123125783e-16,0,False
7,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 3 2 4,2,1,reversing,0.0,0,False
8,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 1 0 4 3,0,1,reversing,-2.255140518769849e-16,0,False
9,5,5 5 5 5 5 5 5 5 5 5 5 5,4 0 1 2 3,0,0,preserving,1.9999999999999993,2,False
10,6,6 6 6 6 6 6 6 6 6 3 3,1 0 4 2 3,3,1,reversing,1.6653345369377348e-15,0,False
11,6,6 6 6 6 6 6 6 6 6 6,0 4 2 1 3,2,1,reversing,-9.992007221626409e-16,0,False
12,10,10 10 10 10 10 10,1 2 4 0 3,2,0,preserving,1.9999999999999991,2,False
13,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 1 2 4 3,1,0,preserving,1.8041124150158794e-16,0,False
14,6,6 6 6 6 6 6 6 6 6 3 3,4 2 1 0 3,1,1,reversing,-8.743006318923108e-16,0,False
15,12,12 12 12 12 12,2 4 0 1 3,3,0,preserving,-1.1136924715771102e-15,0,False
16,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 4 3 2,0,1,reversing,-6.522560269672795e-16,0,False
17,5,5 5 5 5 5 5 5 5 5 5 5 5,3 4 0 1 2,0,0,preserving,1.999999999999999,2,False
18,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 1 0 4 2,1,1,reversing,2.6575963651964685e-15,0,False
19,12,12 12 12 12 12,1 3 4 0 2,3,0,preserving,-7.771561172376096e-16,0,False
20,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 3 1 2,3,1,reversing,-1.096345236817342e-15,0,False
21,10,10 10 10 10 10 10,4 3 1 0 2,2,1,reversing,5.273559366969494e-16,0,False
22,6,6 6 6 6 6 6 6 6 6 6,0 1 3 4 2,2,0,preserving,1.0269562977782698e-15,0,False
23,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 0 1 3 2,1,0,preserving,-2.0816681711721685e-16,0,False
24,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 4 3 2 1,0,1,reversing,9.992007221626409e-16,0,False
25,5,5 5 5 5 5 5 5 5 5 5 5 5,2 3 4 0 1,0,0,preserving,1.9999999999999993,2,False
26,12,12 12 12 12 12,3 4 0 2 1,1,0,preserving,-8.881784197001252e-16,0,False
27,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 0 4 3 1,1,1,reversing,2.220446049250313e-16,0,False
28,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 2 3 4 1,3,0,preserving,-3.885780586188048e-16,0,False
29,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 3 2 0 1,3,1,reversing,-1.0269562977782698e-15,0,False
30,10,10 10 10 10 10 10,3 2 0 4 1,2,1,reversing,-6.106226635438361e-16,0,False
31,6,6 6 6 6 6 6 6 6 6 6,4 0 2 3 1,2,0,preserving,3.885780586188048e-16,0,False
32,5,5 5 5 5 5 5 5 5 5 5 5 5,1 2 3 4 0,0,0,preserving,1.9999999999999993,2,False
33,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 3 2 1 0,0,1,reversing,1.8735013540549517e-16,0,False
34,10,10 10 10 10 10 10,3 4 1 2 0,2,0,preserving,1.9999999999999993,2,False
35,12,12 12 12 12 12,2 3 4 1 0,1,0,preserving,-3.191891195797325e-16,0,False
36,6,6 6 6 6 6 6 6 6 6 3 3,1 4 3 2 0,1,1,reversing,-1.0547118733938987e-15,0,False
37,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 1 2 3 0,3,0,preserving,9.71445146547012e-17,0,False
38,6,6 6 6 6 6 6 6 6 6 3 3,3 2 1 4 0,3,1,reversing,8.049116928532385e-16,0,False
39,6,6 6 6 6 6 6 6 6 6 6,2 1 4 3 0,2,1,reversing,7.216449660063518e-16,0,False
40,10,10 10 10 10 10 10,3 4 0 1 2,0,1,reversing,6.591949208711867e-16,0,False
41,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,1 0 4 3 2,0,0,preserving,1.9999999999999987,2,False
42,6,6 6 6 6 6 6 6 6 6 6,0 1 3 4 2,2,1,reversing,-1.1657341758564144e-15,0,False
43,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 0 1 3 2,3,1,reversing,-1.0408340855860843e-17,0,False
44,6,6 6 6 6 6 6 6 6 6 3 3,1 3 4 0 2,1,1,reversing,1.249000902703301e-16,0,False
45,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 1 0 4 2,3,0,preserving,1.2628786905111156e-15,0,False
46,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 4 3 1 2,1,0,preserving,-6.938893903907228e-16,0,False
47,10,10 10 10 10 10 10,4 3 1 0 2,2,0,preserving,2.0000000000000004,2,False
48,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 4 3 2 1,0,0,preserving,1.9999999999999996,2,False
49,10,10 10 10 10 10 10,2 3 4 0 1,0,1,reversing,2.983724378680108e-16,0,False
50,10,10 10 10 10 10 10,3 2 0 4 1,2,0,preserving,1.999999999999998,2,False
51,6,6 6 6 6 6 6 6 6 6 6,4 0 2 3 1,2,1,reversing,-3.885780586188048e-16,0,False
52,6,6 6 6 6 6 6 6 6 6 3 3,3 4 0 2 1,3,1,reversing,5.551115123125783e-16,0,False
53,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 2 3 4 1,1,1,reversing,1.1102230246251565e-16,0,False
54,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 0 4 3 1,3,0,preserving,1.0269562977782698e-15,0,False
55,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 3 2 0 1,1,0,preserving,-8.604228440844963e-16,0,False
56,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,4 3 2 1 0,0,0,preserving,1.9999999999999996,2,False
57,10,10 10 10 10 10 10,1 2 3 4 0,0,1,reversing,3.0531133177191805e-16,0,False
58,12,12 12 12 12 12,3 2 1 4 0,1,0,preserving,-1.8041124150158794e-16,0,False
59,6,6 6 6 6 6 6 6 6 6 6,2 1 4 3 0,2,0,preserving,5.689893001203927e-16,0,False
60,10,10 10 10 10 10 10,3 4 1 2 0,2,1,reversing,-3.122502256758253e-16,0,False
61,6,6 6 6 6 6 6 6 6 6 3 3,2 3 4 1 0,3,1,reversing,4.649058915617843e-16,0,False
62,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,4 1 2 3 0,1,1,reversing,8.326672684688674e-17,0,False
63,12,12 12 12 12 12,1 4 3 2 0,3,0,preserving,-6.938893903907228e-17,0,False
64,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,3 2 1 0 4,0,0,preserving,2.0,2,False
65,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 1 2 3 4,0,1,reversing,-1.5126788710517758e-15,0,False
66,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 0 1 2 4,1,1,reversing,3.0531133177191805e-16,0,False
67,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 3 2 1 4,3,0,preserving,2.220446049250313e-16,0,False
68,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 1 0 3 4,1,0,preserving,4.996003610813204e-16,0,False
69,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 3 2 4,2,0,preserving,-9.999999999999998,-10,False
70,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 3 0 1 4,2,1,reversing,-6.418476861114186e-16,0,False
71,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 2 3 0 4,3,1,reversing,1.3877787807814457e-17,0,False
72,10,10 10 10 10 10 10,4 0 1 2 3,0,1,reversing,1.6653345369377348e-16,0,False
73,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,2 1 0 4 3,0,0,preserving,1.9999999999999993,2,False
74,10,10 10 10 10 10 10,1 2 4 0 3,2,1,reversing,-8.326672684688674e-17,0,False
75,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 1 2 4 3,3,1,reversing,1.0269562977782698e-15,0,False
76,6,6 6 6 6 6 6 6 6 6 3 3,2 4 0 1 3,1,1,reversing,-1.1102230246251565e-15,0,False
77,12,12 12 12 12 12,4 2 1 0 3,3,0,preserving,-2.636779683484747e-16,0,False
78,12,12 12 12 12 12,1 0 4 2 3,1,0,preserving,1.1934897514720433e-15,0,False
79,6,6 6 6 6 6 6 6 6 6 6,0 4 2 1 3,2,0,preserving,3.3306690738754696e-16,0,False
80,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 0 1 3 2,3,0,preserving,3.191891195797325e-16,0,False
81,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 3 1 2,1,1,reversing,1.3877787807814457e-16,0,False
82,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 1 3 4 2,0,0,preserving,-3.885780586188048e-16,0,False
83,10,10 10 10 10 10 10,4 3 1 0 2,0,1,reversing,2.498001805406602e-16,0,False
84,10,10 10 10 10 10 10,3 4 0 1 2,2,0,preserving,1.9999999999999996,2,False
85,12,12 12 12 12 12,1 3 4 0 2,1,0,preserving,1.942890293094024e-16,0,False
86,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 1 0 4 2,3,1,reversing,-8.604228440844963e-16,0,False
87,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 4 3 2,2,1,reversing,-1.0894063429134349e-15,0,False
88,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 1 3 2 4,1,0,preserving,-4.440892098500626e-16,0,False
89,6,6 6 6 6 6 6 6 6 6 6,0 2 3 1 4,2,1,reversing,2.185751579730777e-16,0,False
90,6,6 6 6 6 6 6 6 6 6 6,3 1 0 2 4,0,1,reversing,5.967448757360216e-16,0,False
91,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,2 0 1 3 4,0,0,preserving,-8.743006318923108e-16,0,False
92,6,6 6 6 6 6 6 6 6 6 6,1 3 2 0 4,2,0,preserving,3.0531133177191805e-16,0,False
93,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,1 0 2 3 4,3,1,reversing,5.551115123125783e-17,0,False
94,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 2 0 1 4,3,0,preserving,1.2490009027033011e-15,0,False
95,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 3 1 0 4,1,1,reversing,6.938893903907228e-16,0,False
96,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 2 4 3,0,1,reversing,1.2212453270876722e-15,0,False
97,5,5 5 5 5 5 5 5 5 5 5 5 5,4 2 0 1 3,0,0,preserving,1.9999999999999991,2,False
98,10,10 10 10 10 10 10,2 4 1 0 3,2,1,reversing,-8.326672684688674e-16,0,False
99,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 2 4 1 3,3,1,reversing,-4.0245584642661925e-16,0,False
100,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 4 2 0 3,3,0,preserving,8.326672684688674e-17,0,False
101,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 1 0 2 3,1,1,reversing,-1.8041124150158794e-15,0,False
102,12,12 12 12 12 12,2 0 1 4 3,1,0,preserving,-4.440892098500626e-16,0,False
103,6,6 6 6 6 6 6 6 6 6 6,0 1 4 2 3,2,0,preserving,-8.326672684688674e-17,0,False
104,6,6 6 6 6 6 6 6 6 6 6,0 2 4 3 1,0,1,reversing,-3.885780586188048e-16,0,False
105,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,3 4 2 0 1,0,0,preserving,2.0000000000000013,2,False
106,10,10 10 10 10 10 10,4 3 0 2 1,2,1,reversing,1.942890293094024e-16,0,False
107,6,6 6 6 6 6 6 6 6 6 3 3,2 4 3 0 1,3,1,reversing,4.718447854656915e-16,0,False
108,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 3 4 2 1,3,0,preserving,-6.938893903907228e-16,0,False
109,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 0 2 4 1,1,1,reversing,3.7470027081099033e-16,0,False
110,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 2 0 3 1,1,0,preserving,-3.4846257823684113e-16,0,False
111,10,10 10 10 10 10 10,2 0 3 4 1,2,0,preserving,2.0,2,False
112,6,6 6 6 6 6 6 6 6 6 3 3,4 3 1 2 0,3,1,reversing,2.9004576518332215e-15,0,False
113,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 2 1 3 0,2,0,preserving,-9.999999999999996,-10,False
114,5,5 5 5 5 5 5 5 5 5 5 5 5,1 3 4 2 0,0,0,preserving,1.9999999999999991,2,False
115,10,10 10 10 10 10 10,2 4 3 1 0,0,1,reversing,1.249000902703301e-16,0,False
116,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 2 4 3 0,1,1,reversing,4.371503159461554e-16,0,False
117,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 1 3 4 0,3,0,preserving,-6.938893903907228e-17,0,False
118,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 4 2 1 0,1,0,preserving,4.163336342344337e-17,0,False
119,6,6 6 6 6 6 6 6 6 6 6,3 1 2 4 0,2,1,reversing,4.614364446098307e-16,0,False
120,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 2 3 0 4,1,1,reversing,3.3306690738754696e-16,0,False
121,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 1 0 3 4,3,0,preserving,5.551115123125783e-16,0,False
122,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,1 0 3 2 4,0,0,preserving,1.9999999999999993,2,False
123,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 3 0 1 4,0,1,reversing,-5.551115123125783e-17,0,False
124,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 1 2 3 4,2,1,reversing,-7.216449660063518e-16,0,False
125,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 0 1 2 4,3,1,reversing,2.3592239273284576e-16,0,False
126,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 3 2 1 4,1,0,preserving,-6.800116025829084e-16,0,False
127,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,3 2 1 0 4,2,0,preserving,-10.0,-10,False
128,10,10 10 10 10 10 10,1 4 3 0 2,2,1,reversing,-1.1379786002407855e-15,0,False
129,12,12 12 12 12 12,1 0 3 4 2,1,0,preserving,-1.096345236817342e-15,0,False
130,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 3 4 1 2,2,0,preserving,-9.999999999999998,-10,False
131,10,10 10 10 10 10 10,3 0 1 4 2,0,1,reversing,1.1796119636642288e-16,0,False
132,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,4 1 0 3 2,0,0,preserving,2.498001805406602e-16,0,False
133,12,12 12 12 12 12,3 4 1 0 2,3,0,preserving,1.1102230246251565e-16,0,False
134,6,6 6 6 6 6 6 6 6 6 3 3,4 3 0 1 2,1,1,reversing,4.440892098500626e-16,0,False
135,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 1 4 3 2,3,1,reversing,-1.27675647831893e-15,0,False
136,6,6 6 6 6 6 6 6 6 6 6,0 1 4 2 3,0,1,reversing,2.7755575615628914e-17,0,False
137,5,5 5 5 5 5 5 5 5 5 5 5 5,2 4 1 0 3,0,0,preserving,2.0000000000000004,2,False
138,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 2 4 3,2,0,preserving,-9.999999999999995,-10,False
139,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 1 0 2 3,1,0,preserving,-3.885780586188048e-16,0,False
140,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 2 4 1 3,3,0,preserving,5.377642775528102e-17,0,False
141,6,6 6 6 6 6 6 6 6 6 3 3,2 0 1 4 3,1,1,reversing,-1.8041124150158794e-15,0,False
142,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 4 2 0 3,3,1,reversing,2.7755575615628914e-17,0,False
143,10,10 10 10 10 10 10,4 2 0 1 3,2,1,reversing,-9.71445146547012e-17,0,False
144,10,10 10 10 10 10 10,2 3 1 4 0,2,1,reversing,4.163336342344337e-16,0,False
145,6,6 6 6 6 6 6 6 6 6 6,1 4 2 3 0,0,1,reversing,-4.579669976578771e-16,0,False
146,5,5 5 5 5 5 5 5 5 5 5 5 5,3 2 4 1 0,0,0,preserving,2.0000000000000004,2,False
147,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 1 3 2 0,2,0,preserving,-9.999999999999998,-10,False
148,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 4 1 3 0,1,0,preserving,-2.0816681711721685e-16,0,False
149,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 3 2 4 0,3,0,preserving,-1.321859288694327e-15,0,False
150,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 1 4 2 0,1,1,reversing,6.38378239159465e-16,0,False
151,6,6 6 6 6 6 6 6 6 6 3 3,4 2 3 1 0,3,1,reversing,1.8735013540549517e-15,0,False
152,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 4 0 3 1,2,0,preserving,-10.0,-10,False
153,6,6 6 6 6 6 6 6 6 6 3 3,2 3 0 4 1,3,1,reversing,1.3183898417423734e-15,0,False
154,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 3 2 4 1,0,0,preserving,-1.8735013540549517e-16,0,False
155,10,10 10 10 10 10 10,4 2 3 0 1,0,1,reversing,5.551115123125783e-17,0,False
156,10,10 10 10 10 10 10,3 0 4 2 1,2,1,reversing,-2.0261570199409107e-15,0,False
157,12,12 12 12 12 12,3 2 4 0 1,1,0,preserving,5.551115123125783e-16,0,False
158,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 4 2 3 1,1,1,reversing,6.800116025829084e-16,0,False
159,12,12 12 12 12 12,4 0 3 2 1,3,0,preserving,6.938893903907228e-16,0,False
160,12,12 12 12 12 12,3 4 0 2 1,3,0,preserving,1.3877787807814457e-15,0,False
161,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 3 2 0 1,1,1,reversing,-1.4432899320127035e-15,0,False
162,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 4 3 2 1,2,1,reversing,-1.214306433183765e-15,0,False
163,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,4 0 2 3 1,0,0,preserving,-9.506284648352903e-16,0,False
164,10,10 10 10 10 10 10,3 2 0 4 1,0,1,reversing,-1.1934897514720433e-15,0,False
165,10,10 10 10 10 10 10,2 3 4 0 1,2,0,preserving,1.9999999999999993,2,False
166,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 2 3 4 1,1,0,preserving,5.551115123125783e-17,0,False
167,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 0 4 3 1,3,1,reversing,-1.3877787807814457e-17,0,False
168,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 0 2 1 3,1,0,preserving,-1.016547956922409e-15,0,False
169,6,6 6 6 6 6 6 6 6 6 6,4 1 2 0 3,2,1,reversing,6.418476861114186e-16,0,False
170,10,10 10 10 10 10 10,2 0 4 1 3,0,1,reversing,-1.915134717478395e-15,0,False
171,5,5 5 5 5 5 5 5 5 5 5 5 5,1 4 0 2 3,0,0,preserving,2.000000000000001,2,False
172,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 2 1 4 3,2,0,preserving,-9.999999999999996,-10,False
173,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 1 2 3,3,1,reversing,-9.71445146547012e-17,0,False
174,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 1 4 0 3,3,0,preserving,1.5265566588595902e-16,0,False
175,6,6 6 6 6 6 6 6 6 6 3 3,1 2 0 4 3,1,1,reversing,-1.762479051592436e-15,0,False
176,10,10 10 10 10 10 10,4 0 3 1 2,2,0,preserving,1.9999999999999991,2,False
177,6,6 6 6 6 6 6 6 6 6 6,0 4 1 3 2,0,1,reversing,-1.5612511283791264e-16,0,False
178,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,3 1 4 0 2,0,0,preserving,1.9999999999999998,2,False
179,10,10 10 10 10 10 10,1 3 0 4 2,2,1,reversing,2.7755575615628914e-16,0,False
180,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 1 3 0 2,3,1,reversing,-3.885780586188048e-16,0,False
181,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 3 1 4 2,3,0,preserving,1.0477729794899915e-15,0,False
182,6,6 6 6 6 6 6 6 6 6 3 3,3 0 4 1 2,1,1,reversing,2.636779683484747e-16,0,False
183,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 4 0 3 2,1,0,preserving,1.429412144204889e-15,0,False
184,6,6 6 6 6 6 6 6 6 6 6,1 4 2 3 0,2,0,preserving,-2.7755575615628914e-17,0,False
185,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 1 3 2 0,0,1,reversing,1.4155343563970746e-15,0,False
186,5,5 5 5 5 5 5 5 5 5 5 5 5,2 3 1 4 0,0,0,preserving,1.9999999999999984,2,False
187,10,10 10 10 10 10 10,3 2 4 1 0,2,1,reversing,3.7470027081099033e-16,0,False
188,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 3 2 4 0,3,1,reversing,1.457167719820518e-16,0,False
189,12,12 12 12 12 12,4 2 3 1 0,3,0,preserving,5.464378949326942e-16,0,False
190,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 4 1 3 0,1,1,reversing,-4.718447854656915e-16,0,False
191,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 1 4 2 0,1,0,preserving,-3.8163916471489756e-16,0,False
192,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 2 0 1 4,3,1,reversing,-1.0547118733938987e-15,0,False
193,6,6 6 6 6 6 6 6 6 6 6,3 1 0 2 4,2,0,preserving,-2.7755575615628914e-16,0,False
194,6,6 6 6 6 6 6 6 6 6 6,2 0 1 3 4,2,1,reversing,-1.0356299151581538e-15,0,False
195,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 2 3 1 4,0,0,preserving,7.147060721024445e-16,0,False
196,6,6 6 6 6 6 6 6 6 6 6,1 3 2 0 4,0,1,reversing,2.1358782797964437e-16,0,False
197,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 1 3 2 4,1,1,reversing,-2.220446049250313e-16,0,False
198,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 0 2 3 4,3,0,preserving,7.771561172376096e-16,0,False
199,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 3 1 0 4,1,0,preserving,9.159339953157541e-16,0,False
200,12,12 12 12 12 12,1 0 4 2 3,3,0,preserving,-1.1483869410966463e-15,0,False
201,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 1 2 4 3,1,1,reversing,-3.885780586188048e-16,0,False
202,12,12 12 12 12 12,4 2 1 0 3,1,0,preserving,9.71445146547012e-16,0,False
