denominator_limit,chart_difference,pivot_identity_residual,maximum_angle_degrees,maximum_projector_distance,maximum_annihilation_residual,exact_nullspace_pass,audit_candidate
12,0.04137663611696358,0.0,5.615346788542937,0.09784946989470512,6.28448301507032e-06,True,False
24,0.02069868391019472,0.0,3.2128359801614232,0.056045184391218646,3.4711937718432567e-06,True,False
60,0.008254641392994855,0.0,1.0651754189541305,0.01858974730204627,1.2485898318514285e-06,True,False
120,0.004162245989676075,0.0,0.5923019887781127,0.010337435747263026,6.571803623272257e-07,True,False
360,0.0013719733589862616,0.0,0.19783229319102255,0.003452818022273743,2.457311866741916e-07,True,False
1080,0.0004597686501835712,0.0,0.06371225120445295,0.0011119883284732284,6.536390386526285e-08,True,False
10000,3.68208830550478e-05,0.0,0.0023516945184343723,4.1044821639784044e-05,2.201111681014928e-09,True,True
100000,1.1401878932232458e-07,0.0,5.5796573677183414e-05,9.73606241918943e-07,1.374193356644e-10,True,True
1000000,1.1401878932232458e-07,0.0,5.5796573677183414e-05,9.738280213596023e-07,1.37498758528284e-10,True,True
