maximizer_line_id,axis_line_id,orientation_sign,projective_distance,coordinate_max_abs_residual,match_pass
6,0,1,0.0,1.8738565144005292e-09,True
1,1,1,0.0,1.1120079024262708e-09,True
2,2,1,0.0,4.717768814499479e-10,True
5,3,1,0.0,7.760466991246773e-10,True
8,4,1,0.0,7.563260018272899e-10,True
3,5,1,0.0,2.467468451783361e-10,True
7,6,1,0.0,4.0981010251961436e-10,True
9,7,1,0.0,7.128198586947576e-10,True
0,8,1,0.0,1.4363615852275302e-10,True
4,9,1,0.0,4.29757794961993e-10,True
