model,feature_names,coefficient_count,coefficients,r_squared,root_mean_square_residual,maximum_absolute_residual,minimum_residual,maximum_residual
s4_affine,"[""1"", ""S4""]",2,"[0.010978591701978542, 0.06441298893893677]",0.9644751432270823,0.0025821104223430784,0.014994174700748902,-0.014994174700748902,0.005273571933844548
covariant_trace2_affine,"[""1"", ""tr(C^2)""]",2,"[-0.008540495855275065, 0.04216122912366768]",0.9644751432270824,0.0025821104223430784,0.014994174700748819,-0.014994174700748819,0.005273571933844548
covariant_elementary,"[""1"", ""tr(C^2)"", ""tr(C^3)"", ""det(C)""]",4,"[-0.2001186396299925, 0.1652973246171782, -0.041196276333762584, 0.27035655591584623]",0.969599210746363,0.0023886420433657744,0.016748669049565908,-0.016748669049565908,0.005408185352636916
covariant_spectrum_affine,"[""1"", ""c0"", ""c1"", ""c2"", ""c3""]",5,"[0.015250474621447026, -0.008007385716835229, -0.013365800045261956, -0.00540849842857188, 0.06490787074428667]",0.9986317888323625,0.0005067400247443773,0.006231876578342642,-0.006231876578342642,0.0005608384542419576
covariant_spectrum_quadratic,"[""1"", ""c0"", ""c1"", ""c2"", ""c3"", ""c0^2"", ""c1^2"", ""c2^2"", ""c3^2"", ""c0*c3"", ""c1*c2""]",11,"[0.021228090947172484, -0.016997653136423516, 0.015580269624963347, -0.0031518486759392317, 0.05763945955533041, 0.0001913743414949547, -0.025727467716223102, 0.0013663337643765588, 0.0005029294241059946, 0.0018585925297869813, -0.020880420448842443]",0.9995309919930434,0.00029668717368020093,0.004641333958276046,-0.004641333958276046,0.0006946080295421597
register_joint_scalar_covariant,"[""1"", ""S4"", ""S6"", ""S8"", ""tr(C^2)"", ""tr(C^3)"", ""det(C)"", ""gap_top(C)"", ""spread(C)""]",9,"[0.3011094538145179, -0.1836235951934871, 0.20973633397881633, -0.1703729231772803, -0.14113352329816742, 0.08807974781446523, -0.19700211452755118, 0.020844652834790985, 0.029830950383804247]",0.9968162235957373,0.0007730007632206158,0.00676090512737277,-0.00676090512737277,0.002528720727392922
