sample_id,source_index,s4,s6,e4,e4_residual,e5,e5_residual
0,0,1.2791177093209147,0.7814111929290463,0.00021172615671896438,7.156105729043817e-05,3.709415138960252e-06,3.709415138960252e-06
1,25,1.253855308741536,0.7614724954108734,0.00021721741846818634,7.554436065545519e-05,3.913433270179092e-06,3.913433270179092e-06
2,50,1.514944535376981,1.1461542722912752,0.00014086082043579916,1.73588272380492e-05,8.36342356750532e-07,8.36342356750532e-07
3,75,1.020911559450718,0.4417232595987208,0.0002846249947560516,0.00012707945307493406,6.934063040523277e-06,6.934063040523277e-06
4,100,1.2734861459664821,0.7980931678949894,0.0002105031371774605,7.030777767741986e-05,3.611452370469461e-06,3.611452370469461e-06
5,125,1.1094432642748944,0.538114107378399,0.0002616931431847019,0.00010981614864637575,5.919140508428153e-06,5.919140508428153e-06
6,150,1.1795703026221056,0.6841322127713452,0.00023565854461549447,8.928037766765001e-05,4.661306891412552e-06,4.661306891412552e-06
7,175,1.3430343861413998,0.8816688465435303,0.00019216650562109416,5.653792376044317e-05,2.8768149673521488e-06,2.8768149673521488e-06
8,200,1.5578053678296468,1.1961961878629945,0.00013006930765558736,9.360511936546735e-06,4.6212987294551253e-07,4.6212987294551253e-07
9,225,1.143307525390031,0.618985389987024,0.00024790075256245637,9.882912953477064e-05,5.231890597680477e-06,5.231890597680477e-06
10,250,1.1700457458859523,0.6849884428277714,0.00023679003824344242,8.996457635899156e-05,4.6839145412302e-06,4.6839145412302e-06
11,275,1.155435410335412,0.6006185203520679,0.00024844888590712665,9.969666500872992e-05,5.322828277359862e-06,5.322828277359862e-06
12,300,0.9509934224390406,0.3998365625786858,0.00029896506100041153,0.00013743851110812979,7.5112540405423405e-06,7.5112540405423405e-06
13,325,1.5517983876901933,1.1929995134474392,0.00013113615109253541,1.0091149754672945e-05,4.904617222678154e-07,4.904617222678154e-07
14,350,1.3620164527883802,0.9084207930764343,0.00018673482290993085,5.240973613155573e-05,2.6558878205154603e-06,2.6558878205154603e-06
15,375,1.5391039176731418,1.1679631042471783,0.0001355106657964295,1.3490473002492745e-05,6.634017411541432e-07,6.634017411541432e-07
16,400,1.431628257826235,1.0321047434678385,0.0001639621734423727,3.4787666915779835e-05,1.7047946283044274e-06,1.7047946283044274e-06
17,425,1.2262362387494719,0.7711132174612279,0.00021960747792362122,7.674100524314721e-05,3.923335283977411e-06,3.923335283977411e-06
18,450,1.4591809571444003,1.0555568882944615,0.00015794681089755343,3.0441673371473085e-05,1.502531866611599e-06,1.502531866611599e-06
