elementary_invariant,gram_size,coefficient_count,target_denominator_limit,gram_denominator_limit,target_rationalization_error,projected_coefficient_residual,exact_coefficient_equality,exact_ldl_positive_definite,minimum_float_eigenvalue,maximum_float_eigenvalue,maximum_entry_change_from_saved_gram,exact_rational_sos_certificate
e2,10,35,10000000000,10000000,4.336266588855775e-16,2.7755575615628914e-17,True,True,0.010900162586799366,0.23903504353038937,1.5326455382602688e-13,True
e3,20,84,10000000000,10000000,3.500278951233671e-17,6.938893903907228e-18,True,True,5.538058860732717e-06,0.085051729791646,3.048603036681641e-13,True
