probe_id,point_norm_squared,e1_direct,e1_predicted,e1_residual,e2_direct,e2_predicted,e2_residual,e3_direct,e3_predicted,e3_residual,e4_direct,e4_predicted,e4_residual,e5_direct,e5_predicted,e5_residual
0,0.6950464453755759,0.2896026855731568,0.28960268557315666,1.6653345369377348e-16,0.03253449334784524,0.03253449334784518,6.245004513516506e-17,0.0017614818613159587,0.0017614818613159527,6.071532165918825e-18,4.598258230759917e-05,4.5982582307598815e-05,3.5236570605778894e-19,5.005959070768929e-07,5.005959070768854e-07,7.517417406881916e-21
1,12.41225048838223,5.171771036825924,5.1717710368259295,5.329070518200751e-15,10.782287865778645,10.782287865778665,1.9539925233402755e-14,11.579548160804885,11.579548160804922,3.730349362740526e-14,6.750934980315937,6.7509349803159635,2.6645352591003757e-14,2.025412414058322,2.025412414058331,8.881784197001252e-15
2,1.7812793612860747,0.7421997338691975,0.7421997338691979,4.440892098500626e-16,0.21025520869198583,0.21025520869198613,3.0531133177191805e-16,0.027681199320583404,0.02768119932058347,6.591949208711867e-17,0.0015981382290513736,0.0015981382290513762,2.6020852139652106e-18,2.762250048658214e-05,2.76225004865825e-05,3.5914196963582334e-19
3,2.544548636815314,1.060228598673047,1.0602285986730475,4.440892098500626e-16,0.45035847142866375,0.45035847142866386,1.1102230246251565e-16,0.09744227139072241,0.09744227139072241,0.0,0.011236955275465896,0.011236955275465883,1.3877787807814457e-17,0.0006497596437097404,0.0006497596437097389,1.5178830414797062e-18
4,3.2899660360296465,1.3708191816790183,1.3708191816790196,1.3322676295501878e-15,0.7308656677641197,0.7308656677641205,8.881784197001252e-16,0.1889003301824444,0.18890033018244498,5.828670879282072e-16,0.02386319746354032,0.023863197463540407,8.673617379884035e-17,0.0012993962189079787,0.001299396218907985,6.288372600415926e-18
5,4.779453082216898,1.9914387842570411,1.9914387842570411,0.0,1.5519012307967908,1.5519012307967903,4.440892098500626e-16,0.5921533747403723,0.5921533747403719,4.440892098500626e-16,0.11248669283300707,0.11248669283300672,3.469446951953614e-16,0.009557896269677672,0.009557896269677617,5.551115123125783e-17
6,1.0962211498330743,0.45675881243044725,0.4567588124304477,4.440892098500626e-16,0.07884846774962219,0.07884846774962236,1.6653345369377348e-16,0.0061843577815577375,0.006184357781557771,3.382710778154774e-17,0.00019834354379393924,0.00019834354379394157,2.3310346708438345e-18,1.182574837155499e-06,1.1825748371555716e-06,7.263307522705625e-20
7,8.056399411668401,3.3568330881951605,3.356833088195168,7.549516567451064e-15,4.255673066651018,4.255673066651042,2.398081733190338e-14,2.4464230317943727,2.446423031794404,3.108624468950438e-14,0.5708740184171599,0.5708740184171773,1.7430501486614958e-14,0.022922613282350523,0.022922613282354204,3.681083216022785e-15
8,5.35774283439863,2.2323928476660906,2.232392847666096,5.329070518200751e-15,1.9084998692231439,1.9084998692231552,1.1324274851176597e-14,0.7648462043291424,0.7648462043291526,1.021405182655144e-14,0.13794367075788402,0.1379436707578877,3.6637359812630166e-15,0.008364867332582987,0.008364867332583544,5.568462357885551e-16
9,4.838936813976888,2.01622367249037,2.01622367249037,0.0,1.5498851563811737,1.549885156381174,2.220446049250313e-16,0.5527912452763145,0.5527912452763144,1.1102230246251565e-16,0.08616881010542207,0.08616881010542211,4.163336342344337e-17,0.003966516179367162,0.003966516179367145,1.734723475976807e-17
10,1.6905174036094563,0.7043822515039386,0.7043822515039402,1.5543122344752192e-15,0.19399865928908638,0.19399865928908733,9.43689570931383e-16,0.026155683917887456,0.02615568391788769,2.3245294578089215e-16,0.0017576542186839498,0.0017576542186839724,2.2551405187698492e-17,5.304260678565852e-05,5.304260678565961e-05,1.0909784360635388e-18
11,5.713875226920669,2.380781344550281,2.380781344550279,2.220446049250313e-15,2.2469841943744555,2.2469841943744506,4.884981308350689e-15,1.0572710601380293,1.0572710601380255,3.774758283725532e-15,0.25470159903961187,0.25470159903961065,1.2212453270876722e-15,0.028758442477123267,0.02875844247712306,2.0816681711721685e-16
12,9.984589627808598,4.160245678253583,4.160245678253583,0.0,6.53358743210001,6.533587432100005,4.440892098500626e-15,4.642140990458611,4.642140990458606,4.440892098500626e-15,1.3254862144955353,1.3254862144955284,6.8833827526759706e-15,0.05735482900753694,0.057354829007535905,1.033895191682177e-15
13,1.577206952486144,0.6571695635358932,0.6571695635358935,3.3306690738754696e-16,0.164301758123084,0.16430175812308423,2.220446049250313e-16,0.01894060750709869,0.018940607507098754,6.245004513516506e-17,0.0009347242966762086,0.0009347242966762145,5.854691731421724e-18,1.2116790517048149e-05,1.2116790517048452e-05,3.032377951170395e-19
14,0.45091535954664685,0.1878813998111031,0.18788139981110288,2.220446049250313e-16,0.01357935747695636,0.013579357476956313,4.683753385137379e-17,0.000463112203959446,0.0004631122039594436,2.439454888092385e-18,7.198613236503336e-06,7.198613236503242e-06,9.402065714522734e-20,3.9155520925248065e-08,3.915552092524699e-08,1.0720260738687239e-21
15,0.9511815522485925,0.39632564677024723,0.3963256467702468,4.440892098500626e-16,0.061598723990453415,0.06159872399045325,1.6653345369377348e-16,0.004699912386191687,0.004699912386191668,1.9081958235744878e-17,0.00017913325960201582,0.0001791332596020142,1.6263032587282567e-18,3.069211166672299e-06,3.069211166672251e-06,4.828087799349512e-20
16,1.6577319048395271,0.6907216270164702,0.6907216270164698,4.440892098500626e-16,0.19515341431849653,0.19515341431849617,3.608224830031759e-16,0.028879664686725447,0.028879664686725395,5.204170427930421e-17,0.002362885105128129,0.0023628851051281205,8.673617379884035e-18,0.00010144762064448023,0.0001014476206444799,3.3881317890172014e-19
17,2.1363903691436312,0.8901626538098456,0.8901626538098464,7.771561172376096e-16,0.29790951293564866,0.29790951293564916,4.996003610813204e-16,0.04465161742457634,0.044651617424576504,1.6653345369377348e-16,0.0025916949410285097,0.002591694941028526,1.6046192152785466e-17,1.1333877486757922e-05,1.1333877486758329e-05,4.0657581468206416e-19
