coefficient_id,monomial,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
413,f1^3*f2^5*f3^4,0,3,5,4,-2.0110881442622557e-06,-2.230602188977105e-06,2.1951404471484953e-07,False
414,f1^3*f2^4*f3^5,0,3,4,5,-1.6374497407743501e-06,-1.851577071187252e-06,2.141273304129019e-07,False
415,f1^3*f2^3*f3^6,0,3,3,6,-2.0501647864468135e-06,-2.241371950996452e-06,1.9120716454963853e-07,False
416,f1^3*f2^2*f3^7,0,3,2,7,8.160136026615192e-07,6.008299814325046e-07,2.1518362122901458e-07,False
417,f1^3*f2*f3^8,0,3,1,8,-8.85013178623638e-07,-8.848585400941472e-07,-1.5463852949077817e-10,True
418,f1^3*f3^9,0,3,0,9,5.056736726129698e-07,5.42962247837432e-07,-3.728857522446225e-08,False
419,f1^2*f2^10,0,2,10,0,0.0,1.317844446911205e-07,-1.317844446911205e-07,False
420,f1^2*f2^9*f3,0,2,9,1,0.0,-1.536329568248789e-08,1.536329568248789e-08,False
421,f1^2*f2^8*f3^2,0,2,8,2,1.6794014862653067e-06,2.373013154705442e-06,-6.936116684401355e-07,False
422,f1^2*f2^7*f3^3,0,2,7,3,-3.089230399011292e-07,-4.5304505546732523e-07,1.4412201556619605e-07,False
423,f1^2*f2^6*f3^4,0,2,6,4,4.743090044295764e-06,6.150632513108396e-06,-1.4075424688126324e-06,False
424,f1^2*f2^5*f3^5,0,2,5,5,-1.3067558547659317e-06,-1.4309735973462478e-06,1.2421774258031603e-07,False
425,f1^2*f2^4*f3^6,0,2,4,6,3.826905437998727e-06,5.187391405546789e-06,-1.360485967548062e-06,False
426,f1^2*f2^3*f3^7,0,2,3,7,-2.0228786288950205e-06,-2.123340756075736e-06,1.004621271807154e-07,False
427,f1^2*f2^2*f3^8,0,2,2,8,8.867283648336296e-07,1.4809762988282772e-06,-5.942479339946476e-07,False
428,f1^2*f2*f3^9,0,2,1,9,-7.753681751714874e-07,-7.928527696681715e-07,1.748459449668409e-08,False
429,f1^2*f3^10,0,2,0,10,2.5055985425888063e-07,3.6951837148898265e-07,-1.1895851723010203e-07,False
430,f1*f2^11,0,1,11,0,0.0,0.0,0.0,True
431,f1*f2^10*f3,0,1,10,1,0.0,-3.344831953040855e-08,3.344831953040855e-08,False
432,f1*f2^9*f3^2,0,1,9,2,0.0,-2.6771204729069363e-08,2.6771204729069363e-08,False
433,f1*f2^8*f3^3,0,1,8,3,-8.211946918242306e-07,-9.209361291699646e-07,9.974143734573401e-08,False
434,f1*f2^7*f3^4,0,1,7,4,-2.560264098395793e-07,-3.8136066805219894e-07,1.2533425821261963e-07,False
435,f1*f2^6*f3^5,0,1,6,5,-1.2376331110673001e-06,-1.4060527170400334e-06,1.684196059727333e-07,False
436,f1*f2^5*f3^6,0,1,5,6,-2.520182177783511e-07,-3.4453973529976674e-07,9.252151752141562e-08,False
437,f1*f2^4*f3^7,0,1,4,7,1.529609521470998e-07,2.6157440448196733e-08,1.2680351169890306e-07,False
438,f1*f2^3*f3^8,0,1,3,8,-3.748596068240934e-07,-3.9768437147008293e-07,2.282476464598953e-08,False
439,f1*f2^2*f3^9,0,1,2,9,6.131048671387415e-07,5.999414391458336e-07,1.316342799290794e-08,False
440,f1*f2*f3^10,0,1,1,10,-3.076364260588754e-07,-3.1541824031036205e-07,7.781814251486673e-09,False
441,f1*f3^11,0,1,0,11,5.857364347320904e-08,7.448821074829952e-08,-1.5914567275090485e-08,False
442,f2^12,0,0,12,0,0.0,1.4581408530310693e-08,-1.4581408530310693e-08,False
443,f2^11*f3,0,0,11,1,0.0,0.0,0.0,True
444,f2^10*f3^2,0,0,10,2,0.0,1.1166462596339413e-07,-1.1166462596339413e-07,False
445,f2^9*f3^3,0,0,9,3,0.0,-1.5497094462179603e-08,1.5497094462179603e-08,False
446,f2^8*f3^4,0,0,8,4,3.5580402238984604e-07,6.782310306607283e-07,-3.2242700827088226e-07,False
447,f2^7*f3^5,0,0,7,5,-4.4642813473782977e-07,-5.112706351677728e-07,6.484250042994308e-08,False
448,f2^6*f3^6,0,0,6,6,8.812113179911364e-07,1.3290697286424821e-06,-4.4785841065134567e-07,False
449,f2^5*f3^7,0,0,5,7,-8.512639101006868e-07,-9.34626356163726e-07,8.336244606303921e-08,False
450,f2^4*f3^8,0,0,4,8,7.179360438564209e-07,1.0411468536537592e-06,-3.2321080979733834e-07,False
451,f2^3*f3^9,0,0,3,9,-4.5855452839686977e-07,-5.073384574696134e-07,4.878392907274367e-08,False
452,f2^2*f3^10,0,0,2,10,1.981795921503176e-07,3.166610317988524e-07,-1.1848143964853479e-07,False
453,f2*f3^11,0,0,1,11,-4.8644200343718995e-08,-6.190902172486877e-08,1.3264821381149777e-08,False
454,f3^12,0,0,0,12,5.642308537936204e-09,2.3425031736929907e-08,-1.7782723198993704e-08,False
