basis_term,floating_coefficient,rational_coefficient,rational_value,coefficient_difference
N2^6,1.9660792407771419e-07,1/5086265,1.9660792349592482e-07,5.817893708517241e-16
N2^4*S4,-5.132001401907538e-08,-3/58456726,-5.132001405620972e-08,3.7134341306657254e-17
N2^3*S6,-2.4633606729157367e-07,-22/89308887,-2.463360673165706e-07,2.4996948125099267e-17
N2^2*S4^2,3.3489797668037437e-09,0,0.0,3.3489797668037437e-09
N2^2*S8,7.86560908123634e-22,0,0.0,7.86560908123634e-22
N2*S4*S6,3.215020576131692e-08,1/31104000,3.2150205761316875e-08,4.632211430296955e-23
S4^3,2.0909278299954573e-22,0,0.0,2.0909278299954573e-22
S6^2,7.716049382716012e-08,1/12960000,7.71604938271605e-08,3.705769144237564e-22
