line_id,group_orbit_id,stabilizer_order,s4,s4_rational,s6,s6_rational,s8,s8_rational,covariant_eigenvalue_0,covariant_eigenvalue_1,covariant_eigenvalue_2,covariant_eigenvalue_3,operator_norm,one_third_gap,singular_value_0,singular_value_1,singular_value_2,singular_value_3,singular_value_4,singular_value_5,residual_norm,f0,f1,f2,f3
0,1,48,1.041666666666667,25/24,0.43402777777777785,125/288,0.18084490740740747,625/3456,0.06944444444444434,0.6944444444444443,0.6944444444444449,1.0416666666666665,0.25000000000000006,0.08333333333333326,0.25000000000000006,0.24999999999999992,0.24999999999999992,0.2499999999999999,5.970153968863716e-16,4.990539698976181e-16,4.081762055578507e-16,0.41489778145221534,0.4391159712482318,8.215051954841127e-16,0.7968920847522278
1,1,48,1.0416666666666676,25/24,0.43402777777777846,125/288,0.1808449074074078,625/3456,0.06944444444444464,0.6944444444444443,0.6944444444444451,1.0416666666666679,0.2499999999999998,0.08333333333333351,0.2499999999999998,0.2499999999999997,0.2499999999999996,0.2499999999999996,5.806792364666557e-16,4.873374599083279e-16,6.206335383118183e-16,0.4579639560315349,-0.280032199726701,0.6454972243679017,0.5433086741673708
2,1,48,1.0416666666666667,25/24,0.4340277777777778,125/288,0.18084490740740744,625/3456,0.06944444444444442,0.6944444444444444,0.6944444444444449,1.0416666666666674,0.2500000000000002,0.08333333333333309,0.2500000000000002,0.25000000000000017,0.24999999999999964,0.24999999999999953,4.662031663273955e-16,4.351207078041737e-16,8.042889475864443e-16,0.024098142754118493,0.870222052124732,3.258538363672931e-15,-0.49206997420247295
3,1,48,1.0416666666666665,25/24,0.43402777777777757,125/288,0.1808449074074073,625/3456,0.06944444444444446,0.6944444444444444,0.6944444444444446,1.041666666666666,0.24999999999999967,0.08333333333333365,0.24999999999999967,0.24999999999999956,0.2499999999999995,0.24999999999999944,5.229357781560174e-17,7.359423995808154e-18,4.815412394636862e-16,-0.04306617457931948,0.7191481709749329,-0.6454972243679011,0.25358341058485656
4,1,48,1.0416666666666679,25/24,0.43402777777777846,125/288,0.1808449074074078,625/3456,0.06944444444444431,0.6944444444444445,0.6944444444444448,1.0416666666666674,0.2500000000000003,0.08333333333333304,0.2500000000000003,0.25000000000000017,0.24999999999999994,0.24999999999999978,6.597430365439329e-16,6.102241991021663e-16,1.227537204523176e-15,-0.537177344742033,-0.30615270748547,0.6454972243679001,0.4483796977211973
5,1,48,1.041666666666667,25/24,0.4340277777777779,125/288,0.1808449074074075,625/3456,0.0694444444444446,0.6944444444444443,0.6944444444444453,1.041666666666667,0.25000000000000017,0.08333333333333315,0.25000000000000017,0.2499999999999999,0.24999999999999978,0.24999999999999967,2.57023927238842e-16,2.1625841221108021e-16,1.4106960734103326e-15,-0.0671643173334376,-0.1510738811497989,-0.6454972243679032,0.7456533847873303
6,1,48,1.0416666666666663,25/24,0.43402777777777757,125/288,0.1808449074074073,625/3456,0.06944444444444464,0.6944444444444441,0.6944444444444444,1.0416666666666663,0.24999999999999992,0.0833333333333334,0.24999999999999992,0.2499999999999998,0.2499999999999998,0.24999999999999975,3.6456744708143597e-16,3.5059809474276564e-16,3.570113697685536e-16,-0.5802435193213511,0.412995463489463,1.6562284127503415e-16,0.7019631083060538
7,1,48,1.0416666666666679,25/24,0.43402777777777846,125/288,0.1808449074074078,625/3456,0.06944444444444454,0.6944444444444443,0.6944444444444451,1.041666666666668,0.25000000000000017,0.08333333333333315,0.25000000000000017,0.2500000000000001,0.2500000000000001,0.24999999999999997,6.569947796861594e-17,1.2320161880949993e-18,8.618765454229259e-16,-0.5130792019879141,0.5640693446392627,0.6454972243679036,-0.04369027648127549
8,1,48,1.0416666666666674,25/24,0.43402777777777823,125/288,0.18084490740740766,625/3456,0.0694444444444445,0.6944444444444446,0.694444444444445,1.0416666666666674,0.25000000000000056,0.08333333333333276,0.25000000000000056,0.25000000000000056,0.2500000000000003,0.25000000000000017,9.382929830390825e-17,1.7453509625525502e-17,1.6840031719004235e-16,0.9951413007735666,0.026120507758769118,6.61359547008861e-16,0.09492897644617386
9,1,48,1.0416666666666674,25/24,0.43402777777777823,125/288,0.18084490740740766,625/3456,0.06944444444444453,0.6944444444444446,0.6944444444444451,1.0416666666666672,0.2500000000000007,0.0833333333333326,0.2500000000000007,0.25000000000000056,0.25000000000000056,0.25000000000000033,1.9331112831962636e-16,1.7367576984761383e-16,9.057848289240456e-16,0.4820620987856534,0.5901898523980316,0.6454972243679038,0.05123869996489834
