face_id,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21,pair_22,pair_23,pair_24,pair_25,pair_26,pair_27,pair_28,pair_29,pair_30,pair_31,pair_32,pair_33,pair_34,pair_35
0,-0.0013915262241477174,-0.0065375280057029181,-0.017047425629867757,-0.019100367277718047,0.015433011992862405,0.019694873085191862,0.01284793504300061,0.00049315309248277933,0.0048794629219655787,-0.0082616735534421608,0.014378859004078726,-0.019125516765665918,-0.0026128044489421558,0.0027743161462847766,0.010630854044167519,0.010528234970041,-0.022144417119045912,0.023699293982614816,-0.0082652464943082891,-0.008729575781938493,0.0035415181818478966,-0.0035457912883389568,-0.011521003335785618,0.011602145717050118,0.010769244487843424,-0.00024294791565933056,0.00075489595917894808,0.0082481246824912223,-0.010610681286785856,-0.013696394902525886,0.0059049979752080779,-0.0050675420129246739,0.010254471465665271,0.018782630311302936,-0.0038330629649554401,-0.0099255186363404972
1,-0.0077947349965007311,0.013778938013844336,-0.0088091907748947089,0.0076124720018766693,0.012417591637590234,-0.00079891341372636832,0.013235690973631789,0.022916013546016811,0.0071369710090820526,0.0013235434645872529,-0.0099770997248620329,0.0019205270346259946,0.0015794865953266211,0.018693080999190547,0.017950897359504208,-0.00026618409181549464,-0.0072454982375171235,-0.00072199002961589247,-0.00072250403423105604,-0.01100505573899571,0.0047221539472846758,-0.017992696361446233,-0.019064733920012587,0.010748494103173509,-0.0045777825865019987,0.0033564239423652768,-0.0072297591232757304,0.022101392297240324,0.020542219787398716,0.0049946417095442482,0.011568945609253485,0.023607623378020293,0.012528123041577691,-0.0036130387814870355,0.006475560532980173,0.0024173896480448572
2,0.014910803475119833,-0.017738807968035886,-0.0054620626295049336,-0.012825650795005718,-0.0066098873253586507,0.015787616448646367,-1.7788090991814208e-05,-0.0061159571259504939,-0.0068957868831875276,-0.0084256131262511885,0.0031946006984361393,-0.0033699568942820841,0.0081299283410528264,-0.026815520773195059,-0.0018766040773834675,0.0016815106459390381,0.0028410762060551583,0.01147018997475879,-0.014217486424204395,0.016288562744124217,-0.0029598377590265676,0.010373890427602261,0.0086043286806990228,0.00082149960505897271,0.0010732679247111268,0.0051103638271843633,0.016543853602704606,-0.026863454469288773,-0.0019146311327774552,-0.0010996723620018585,-0.012237146199360172,-0.014012983181855228,-0.01442224373509911,0.02349298696312125,-0.0066088378608030142,0.0055972311964412689
3,0.0085075947027668224,0.0025776580515113876,0.0027761722254681315,0.013887188484589067,-0.0096253076806308725,-0.0047061700502719515,0.00036996783963933215,0.016306903327583559,-0.0046382787960710294,0.0011596038917782694,-0.021161358030504673,0.017676086906009896,0.012322219385321631,-0.010896755920289301,0.0054434392379532591,-0.0091129084159174926,0.017739995087584014,-0.012951094037471987,-0.0066747439641272107,0.014013082787067027,-0.0017792019935897819,-0.0040730146455050433,0.0010605980964720537,-3.2152008817664399e-05,-0.014273759149634359,0.0087097356852089865,0.0085591985202499443,-0.013010186854539696,0.029238269941407193,0.017591364250068318,-0.0065731985653147713,0.0146621822090898,-0.01214859215918675,0.0010973178703312188,0.0036997856371326046,0.017940139480826647
4,0.014910803475119859,-0.017738807968035921,-0.0054620626295049336,-0.012825650795005743,-0.0066098873253586602,0.015787616448646374,-1.7788090991831393e-05,-0.006115957125950533,-0.0068957868831875284,-0.0084256131262511955,0.0031946006984361645,-0.0033699568942820992,0.0081299283410528229,-0.026815520773195087,-0.001876604077383482,0.0016815106459390464,0.0028410762060551552,0.011470189974758807,-0.014217486424204406,0.01628856274412423,-0.0029598377590265689,0.010373890427602282,0.0086043286806990419,0.00082149960505896349,0.0010732679247111379,0.0051103638271843589,0.01654385360270462,-0.026863454469288804,-0.0019146311327774923,-0.0010996723620018754,-0.012237146199360185,-0.014012983181855267,-0.014422243735099132,0.023492986963121274,-0.0066088378608030289,0.0055972311964412628
5,-0.0057061613211333469,0.0099107839982429009,0.0089783899205659601,0.0013887757121075145,0.0098255279957252199,0.00021379426729874196,0.00054146270123082876,-0.0035712290388618586,-0.0045879191377390825,-0.0016859170196996342,0.0063592820522086115,-0.0082938556550437061,-0.014288545406363465,0.023061057947230994,-0.016035440145939064,0.00352272650846535,-0.0093148695773900281,-0.00080737669426898546,0.029827663359261482,-0.015466215135050282,-0.001739555636282726,0.0035858830581701785,0.0010914063949825866,-0.00033691389967345888,0.011931157184332047,-0.0085652997738971115,-0.018675590958215263,0.024402497846204709,-0.015875325365555717,-0.0057865992618006219,0.0077835383632832641,-0.0053190418386796197,0.022412585609362785,-0.013772146754208939,0.0053683929662414961,-0.0070514458408947982
6,0.010596168378134265,-0.001290495964090079,0.020563752920928813,0.0076634921948198842,-0.012217371322495892,-0.0036934623692467913,-0.01232426043276163,-0.01018033925729513,-0.01636316894289221,-0.0018498565925086489,-0.0048249762534340167,0.007461704216340184,-0.003545812616368453,-0.006528778972248901,-0.028542898267490062,-0.0053239978156366437,0.015670623747711113,-0.013036480702125063,0.023875423429365362,0.0095519233910124849,-0.008240911577157204,0.017505564774111412,0.021216738411467265,-0.011117560011664635,0.0022351806211997134,-0.0032119880310534027,-0.0028866333146895734,-0.010709081305575361,-0.0071792752115472759,0.0068101232787234475,-0.010358605811285025,-0.014264483007610167,-0.0022641295914016635,-0.0090617901023906395,0.00259261807039392,0.008471303991887006
7,-0.0013915262241477404,-0.0065375280057029129,-0.017047425629867767,-0.019100367277718092,0.015433011992862459,0.019694873085191918,0.012847935043000643,0.0004931530924827674,0.0048794629219655753,-0.008261673553442192,0.014378859004078769,-0.019125516765665984,-0.0026128044489421953,0.002774316146284833,0.010630854044167489,0.010528234970041033,-0.022144417119045981,0.023699293982614868,-0.0082652464943082267,-0.0087295757819385433,0.0035415181818478983,-0.0035457912883389486,-0.011521003335785634,0.011602145717050148,0.010769244487843478,-0.00024294791565935149,0.00075489595917890926,0.0082481246824912969,-0.010610681286785913,-0.013696394902525928,0.0059049979752081056,-0.0050675420129247034,0.010254471465665351,0.01878263031130295,-0.0038330629649554328,-0.0099255186363405301
8,-0.016320710632605644,0.011787893923984544,0.010754926113338599,0.016650053876027224,-0.00902334498259812,-0.030990113750865064,-0.013741577492878958,-0.0071128702552539537,0.011242521895032068,0.017213599807614735,-0.0027713837242188391,0.013113242408981846,-0.0035507978710688187,0.011876902599968601,0.0018377509412017847,-0.0066195637085279153,0.010878215402796796,-0.021411013225632668,-0.00067018647662160993,-0.0061058546142024684,0.0029370772070511815,-0.006340967551928465,0.00076467016363194551,-0.012054579413617971,-0.0094999104472522754,-0.0050118518228368962,-0.0071823571239182319,0.0072230187951325357,-0.00083763215628810707,0.0029913022762600716,0.0051218084261836078,0.0097373848243697686,-0.00609622118074221,-0.029600788390546501,0.0013737222223843626,-0.0065604062000326046
9,-0.012006075535620015,-0.0046604180799612741,-0.015270889437095135,-0.0038390891137983652,-0.0034158609854609071,-0.011509034932971942,-0.0014351051511091793,-0.0030484881239093531,0.020709903954736771,0.010637843273872219,0.0052481932276513188,0.0022815812983595953,0.0081249430863524642,-0.0084098392009775823,0.02850404513130839,0.00038594475304775907,-0.0019513321388591302,0.0030956574512511635,-0.038763096330191406,0.00063078473890928414,0.0082181510251818201,-0.013472641898437613,-0.01184773956713628,-0.00011551979689438687,-0.010661823143740879,0.0033105000354008676,0.012248129793475955,-0.0089313543685809044,0.0044270119224816959,-0.0049184933644652387,0.0032432680381084531,0.0099888846501247006,-0.018254335324439701,0.0029539886749653669,-0.0078277337088125832,-0.0094344789954783539
