probe_id,time_index,time,initial_energy,current_energy,field_norm,velocity_norm,harmonic_field_norm,oscillatory_field_norm,initial_field_max_abs,initial_velocity_max_abs,wave_equation_max_abs,harmonic_linear_field_max_abs,harmonic_constant_velocity_max_abs,oscillatory_field_has_no_harmonic_part_max_abs,oscillatory_velocity_has_no_harmonic_part_max_abs,energy_conservation_max_abs,sector_reconstruction_max_abs,all_checks_pass
0,0,0.0,336.48633188716144,336.4863318871618,10.905268022683378,10.402326905606158,6.380780177242021,8.84367089936503,4.218847493575595e-15,3.774758283725532e-15,0.0,3.3306690738754696e-15,2.4424906541753444e-15,3.795574965437254e-15,2.831068712794149e-15,3.410605131648481e-13,2.7755575615628914e-15,True
0,1,0.25,336.48633188716144,336.48633188716167,9.733374027912392,19.60261274741957,6.354253286723378,7.3730614493170075,0.0,0.0,0.0,3.552713678800501e-15,7.882583474838611e-15,3.0808688933348094e-15,6.817463260588852e-15,2.2737367544323206e-13,2.7755575615628914e-15,True
0,2,0.5,336.48633188716144,336.48633188716155,8.8615290793115,22.61427972213069,6.694912019938905,5.805587883131292,0.0,0.0,0.0,3.83026943495679e-15,8.604228440844963e-15,2.8033131371785203e-15,8.826273045769994e-15,1.1368683772161603e-13,3.885780586188048e-15,True
0,3,0.75,336.48633188716144,336.48633188716144,9.868666552583417,17.074602788163837,7.351890371798764,6.583334070752544,0.0,0.0,0.0,5.329070518200751e-15,7.216449660063518e-15,2.7200464103316335e-15,7.0360384185619296e-15,0.0,4.85722573273506e-15,True
0,4,1.0,336.48633188716144,336.4863318871614,10.641183677602625,19.45824261145061,8.249961823215285,6.721080268525803,0.0,0.0,0.0,5.773159728050814e-15,1.1018963519404679e-14,3.2335245592207684e-15,8.0629947163402e-15,5.684341886080802e-14,7.438494264988549e-15,True
0,5,1.25,336.48633188716144,336.4863318871614,11.75607759792825,20.322584705022546,9.319687821564058,7.1658062628779655,0.0,0.0,0.0,7.327471962526033e-15,9.43689570931383e-15,4.4825254619240695e-15,9.325873406851315e-15,5.684341886080802e-14,9.325873406851315e-15,True
0,6,1.5,336.48633188716144,336.48633188716144,13.254978429238149,14.194457668814307,10.508778476095427,8.078367910656342,0.0,0.0,0.0,8.659739592076221e-15,8.493206138382448e-15,5.245803791353865e-15,6.744604874597826e-15,0.0,1.099120794378905e-14,True
0,7,1.75,336.48633188716144,336.48633188716144,13.75394709727186,19.295650669946422,11.781146038871645,7.097581191175763,0.0,0.0,0.0,9.43689570931383e-15,1.3100631690576847e-14,6.300515664747763e-15,1.1324274851176597e-14,0.0,1.1712852909795402e-14,True
0,8,2.0,336.48633188716144,336.48633188716144,14.538260150287712,22.97296121166703,13.112570757869449,6.278654021150609,0.0,0.0,0.0,1.1809997424450103e-14,1.3988810110276972e-14,9.034439862887211e-15,1.2712053631958042e-14,0.0,1.021405182655144e-14,True
0,9,2.25,336.48633188716144,336.48633188716144,16.441333544809687,15.73217030617991,14.48677861818777,7.775004437252887,0.0,0.0,0.0,1.3433698597964394e-14,8.215650382226158e-15,1.0498546476611637e-14,7.049916206369744e-15,0.0,1.0658141036401503e-14,True
0,10,2.5,336.48633188716144,336.48633188716167,17.737792468987326,16.218440925774132,15.892675374082518,7.877318777788203,0.0,0.0,0.0,1.3655743202889425e-14,8.271161533457416e-15,1.1338152638984411e-14,8.659739592076221e-15,2.2737367544323206e-13,1.1324274851176597e-14,True
