orbit_id,orbit_size,line_ids,stabilizer_orders,minimum_operator_norm,maximum_operator_norm,minimum_s4,maximum_s4,signature_cluster_count
0,15,"[11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 29]",[32],0.33027980490978454,0.33027980490978576,1.5624999999999991,1.5625000000000022,1
1,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[48],0.24999999999999967,0.2500000000000007,1.0416666666666663,1.0416666666666679,1
2,5,"[10, 14, 23, 26, 28]",[96],0.20412414523193134,0.2041241452319322,0.7291666666666666,0.7291666666666674,1
