start_id,residual_norm,residual_energy,axis_distance,nearest_axis_id,valid_exclusion,objective,success,iteration_count,f0,f1,f2,f3
0,4.6145194990773216e-14,2.1293790207364814e-27,0.880485734471804,7,True,2.1293790207364814e-27,True,223,0.7431558482811279,0.24520115404319293,0.4082482904638933,0.47003096978257974
1,6.575467575651738e-14,4.323677383844734e-27,0.8420246737858326,7,True,4.3236773838447346e-27,True,219,-0.5802435193213829,0.4129954634894397,6.429003661912469e-14,0.7019631083060411
2,1.053085750010245e-13,1.1089895968746402e-26,0.8420246737857737,0,True,1.1089895968746404e-26,True,238,0.4820620987856923,0.5901898523980472,0.645497224367867,0.05123869996481137
3,2.5297873866018006e-13,6.399824221409568e-26,0.8420246737857416,2,True,6.399824221409568e-26,True,205,0.4579639560314026,-0.28003219972696586,0.6454972243679055,0.543308674167341
4,8.329071672955025e-17,6.937343493322181e-33,0.4174423812329614,8,True,6.937343493322181e-33,True,927,-0.3932541670962355,0.9073718070281521,3.3848275004978804e-15,0.14841685844913985
5,0.014987108924941941,0.0002246134339280744,0.04996220287532856,2,False,0.00022475629619141726,True,260,-0.6356903213359932,0.7569832775958233,-0.14784464565565789,-0.03187622234486524
6,0.014987108948605702,0.00022461343463737711,0.04996220296916004,9,False,0.0002247562961914088,True,243,-0.004768022750405677,0.024572072863264037,0.9987518891372341,0.043222021459665104
7,8.35266274174318e-15,6.976697487730469e-29,0.8420246737858604,8,True,6.97669748773047e-29,True,234,0.024098142754121605,0.8702220521247347,1.0325693186794324e-14,-0.49206997420246823
8,3.0532221302527325e-14,9.322165376665033e-28,0.8420246737858423,3,True,9.322165376665035e-28,True,257,0.4820620987856765,0.5901898523980327,0.6454972243678846,0.05123869996490945
9,0.014987108919539915,0.00022461343376615288,0.04996220285390948,8,False,0.00022475629619141173,True,262,-0.011341803908961714,0.9368391900947086,0.14784464427452074,0.3167738255382244
10,0.014987108924511147,0.00022461343391516167,0.049962202873621964,9,False,0.00022475629619140544,True,249,-0.004768022597647958,0.024572072168806733,0.9987518891420077,0.04322202176102196
11,4.101511821314236e-15,1.6822399220380425e-29,0.8804857344718341,8,True,1.6822399220380422e-29,True,244,0.019051254620722515,0.6879709387049809,0.6123724356957968,-0.3890154716650239
12,1.5751938723132392e-13,2.4812357353731773e-26,0.8804857344717222,9,True,2.481235735373177e-26,True,269,0.019051254620747138,0.6879709387048765,-0.6123724356958935,-0.38901547166505507
13,4.498770950613737e-14,2.0238940066086024e-27,0.8420246737858458,6,True,2.0238940066086024e-27,True,236,0.024098142754134196,0.8702220521247264,-4.5091441931013886e-14,-0.49206997420248194
14,2.6052777372127384e-14,6.787472088016327e-28,0.8420246737858523,4,True,6.787472088016327e-28,True,241,-0.043066174579311826,0.7191481709749268,-0.6454972243678974,0.2535834105848849
15,3.6796576872672734e-14,1.353988069546514e-27,0.4174423812328545,5,True,1.353988069546514e-27,True,294,0.6561788177755443,-0.08835537765698992,-0.4564354645875612,0.59438148777407
16,1.0999620433080045e-14,1.2099164967183204e-28,0.8804857344718284,9,True,1.2099164967183206e-28,True,252,0.019051254620722317,0.6879709387049772,-0.6123724356958,-0.3890154716650257
17,5.003988522643999e-14,2.503990113475287e-27,0.8420246737858392,4,True,2.503990113475287e-27,True,219,-0.06716431733340557,-0.15107388114976977,-0.6454972243678865,0.7456533847873537
18,2.8632980434104186e-14,8.19847568539793e-28,0.8420246737858434,0,True,8.19847568539793e-28,True,242,0.024098142754141048,0.870222052124731,2.271566793424821e-14,-0.49206997420247356
19,2.340080732167006e-14,5.475977833059271e-28,0.41744238123287947,7,True,5.47597783305927e-28,True,260,-0.038972364162521596,0.20084459127656448,0.9128709291752424,0.35328355700946934
20,1.2653154142658582e-13,1.6010230975787803e-26,0.8420246737857721,5,True,1.6010230975787803e-26,True,235,-0.513079201988002,0.5640693446392271,0.6454972243678604,-0.043690276481343
21,0.01498710896577503,0.0002246134351520143,0.049962203037237085,2,False,0.00022475629619142444,True,246,-0.6356903216212989,0.7569832769684416,-0.14784464839039244,-0.031876218870034854
22,0.014987108961766771,0.00022461343503186987,0.04996220302134222,9,False,0.00022475629619143553,True,402,0.04542888131496029,-0.01115619222368975,0.9987518891346273,-0.017504858398534356
23,0.014987109014983879,0.00022461343662701105,0.04996220323236196,3,False,0.00022475629619139948,True,524,0.6402318426954382,0.7534278973868797,-0.1478446438041267,0.024321848951515734
24,0.014987108941410579,0.00022461343442170892,0.04996220294062795,6,False,0.0002247562961914264,True,277,-0.08749497345334943,-0.16150710306432486,0.20368665466326913,0.9616505768688819
25,1.7291077599926342e-15,2.9898136456667453e-30,0.8804857344718365,6,True,2.989813645666745e-30,True,254,-0.08714485551126999,0.4491021590075077,-0.40824829046386146,0.7899660488059279
26,5.336528440945934e-15,2.847853580102484e-29,0.842024673785862,2,True,2.847853580102484e-29,True,257,0.9951413007735669,0.02612050775876493,1.928499562965712e-15,0.09492897644617085
27,2.9232197282492745e-14,8.545213579625762e-28,0.8804857344718123,2,True,8.545213579625763e-28,True,235,0.019051254620700696,0.6879709387049932,-0.6123724356957867,-0.38901547166501893
