axis_id,tangent_first,tangent_second,matrix_00,matrix_01,matrix_10,matrix_11,frobenius_norm
0,0,0,-0.04820801335753632,4.637617506069019e-17,4.637617506069019e-17,-0.04820801335753651,0.06817642630529132
0,0,1,0.019373427877267434,-1.1386621425525089e-17,-1.1386621425525089e-17,0.019373427877267382,0.02739816445368857
0,0,2,0.018093073475104988,1.474479634504807e-17,1.474479634504807e-17,0.018093073475105054,0.025587469893506427
0,1,0,0.019373427877267434,-1.1386621425525089e-17,-1.1386621425525089e-17,0.019373427877267382,0.02739816445368857
0,1,1,-0.07063568561951919,4.473409092187244e-19,4.473409092187244e-19,-0.07063568561951922,0.09989394459064625
0,1,2,-0.03137817537083298,2.3562253582445228e-17,2.3562253582445228e-17,-0.0313781753708331,0.0443754411719535
0,2,0,0.018093073475104988,1.474479634504807e-17,1.474479634504807e-17,0.018093073475105054,0.025587469893506427
0,2,1,-0.03137817537083298,2.3562253582445228e-17,2.3562253582445228e-17,-0.0313781753708331,0.0443754411719535
0,2,2,-0.06634148620813067,-4.150377104824691e-17,-4.150377104824691e-17,-0.06634148620813062,0.09382102954352599
1,0,0,-0.06063272906687138,1.47489208451808e-17,1.47489208451808e-17,-0.06063272906687147,0.08574762777006294
1,0,1,-0.031812204835526936,-6.090738228951058e-19,-6.090738228951058e-19,-0.031812204835526964,0.044989251527393165
1,0,2,-0.013381180081841897,1.271571877017841e-17,1.271571877017841e-17,-0.013381180081841876,0.01892384635229752
1,1,0,-0.031812204835526936,-6.090738228951058e-19,-6.090738228951058e-19,-0.031812204835526964,0.044989251527393165
1,1,1,-0.07992691605469548,-2.0854351958771806e-17,-2.0854351958771806e-17,-0.07992691605469568,0.11303372868320637
1,1,2,-0.018040786477734095,4.492650291089288e-17,4.492650291089288e-17,-0.018040786477734123,0.025513524912688716
1,2,0,-0.013381180081841897,1.271571877017841e-17,1.271571877017841e-17,-0.013381180081841876,0.01892384635229752
1,2,1,-0.018040786477734095,4.492650291089288e-17,4.492650291089288e-17,-0.018040786477734123,0.025513524912688716
1,2,2,-0.044625540063617956,4.1957732787444104e-18,4.1957732787444104e-18,-0.04462554006361807,0.06311004398619251
2,0,0,-0.07512130382704418,-7.061281267478524e-18,-7.061281267478524e-18,-0.07512130382704418,0.10623756669535578
2,0,1,0.027618311939827712,2.784917676643096e-17,2.784917676643096e-17,0.027618311939827767,0.03905819131515517
2,0,2,0.024655106325500123,-3.157391585528096e-17,-3.157391585528096e-17,0.024655106325500078,0.034867585747272924
2,1,0,0.027618311939827712,2.784917676643096e-17,2.784917676643096e-17,0.027618311939827767,0.03905819131515517
2,1,1,-0.05706554798649174,4.0170954970307666e-17,4.0170954970307666e-17,-0.05706554798649168,0.08070287190674924
2,1,2,-0.017879625231118794,-1.906747052743161e-18,-1.906747052743161e-18,-0.0178796252311189,0.02528560849199646
2,2,0,0.024655106325500123,-3.157391585528096e-17,-3.157391585528096e-17,0.024655106325500078,0.034867585747272924
2,2,1,-0.017879625231118794,-1.906747052743161e-18,-1.906747052743161e-18,-0.0178796252311189,0.02528560849199646
2,2,2,-0.05299833337164854,-1.6813214006586768e-17,-1.6813214006586768e-17,-0.05299833337164849,0.07495096183735593
3,0,0,-0.03836601523617937,-2.1986069105274543e-17,-2.1986069105274543e-17,-0.038366015236179433,0.05425773908121771
3,0,1,-0.007935912357111503,-1.8240283973323305e-18,-1.8240283973323305e-18,-0.007935912357111483,0.01122307488523131
3,0,2,-0.005804992814167381,-2.1840535384671035e-18,-2.1840535384671035e-18,-0.005804992814167444,0.008209499567273916
3,1,0,-0.007935912357111503,-1.8240283973323305e-18,-1.8240283973323305e-18,-0.007935912357111483,0.01122307488523131
3,1,1,-0.08442585423539828,4.511857681250913e-17,4.511857681250913e-17,-0.08442585423539842,0.11939618807463435
3,1,2,-0.03466416095962401,-3.946162581573262e-17,-3.946162581573262e-17,-0.03466416095962397,0.04902252655738421
3,2,0,-0.005804992814167381,-2.1840535384671035e-18,-2.1840535384671035e-18,-0.005804992814167444,0.008209499567273916
3,2,1,-0.03466416095962401,-3.946162581573262e-17,-3.946162581573262e-17,-0.03466416095962397,0.04902252655738421
3,2,2,-0.06239331571360836,8.574204548008855e-18,8.574204548008855e-18,-0.06239331571360841,0.08823747328361133
4,0,0,-0.07182801663849835,2.6128992234816233e-17,2.6128992234816233e-17,-0.07182801663849839,0.10158015528852471
4,0,1,0.03287219754741035,2.5751006972681364e-17,2.5751006972681364e-17,0.032872197547410345,0.046488307596555305
4,0,2,0.016914962810570595,2.5984293369339863e-17,2.5984293369339863e-17,0.016914962810570717,0.023921369813745548
4,1,0,0.03287219754741035,2.5751006972681364e-17,2.5751006972681364e-17,0.032872197547410345,0.046488307596555305
4,1,1,-0.06809627664380502,-2.2786379255207202e-17,-2.2786379255207202e-17,-0.06809627664380506,0.09630267797677931
