sample_id,source_index,f0,f1,f2,f3,top_pencil_eigenvalue,s4,s6,s8,covariant_trace,covariant_trace_square,covariant_trace_cube,covariant_determinant,covariant_eigenvalue_0,covariant_eigenvalue_1,covariant_eigenvalue_2,covariant_eigenvalue_3,covariant_top_gap,covariant_spread,projective_axis_distance
0,0,-0.5395402670582142,-0.28451112801390405,-0.7875289576124568,0.08802192443274626,0.09400605704828666,1.2791177093209147,0.7814111929290463,0.5132781154173613,2.5000000000000013,2.4171705744254726,2.819566636205043,0.03769400128969495,0.11118945587186076,0.3868207067332294,0.6465971438352625,1.355392693559648,0.7087955497243856,1.2442032376877874,0.5168734737708842
1,10,-0.036265965420715855,0.5401948465177504,-0.09698978196796695,-0.8351450710754234,0.10088021495010364,1.388424610368844,0.9499636645326782,0.7077443744555556,2.500000000000001,2.584167228804253,3.3067186819377534,0.03619765443336392,0.13052448639960687,0.3188151815318826,0.5993703272469033,1.451290004821609,0.8519196775747058,1.3207655184220022,0.3941650937304364
2,20,0.45535761049800516,0.8317472776384961,0.16737428519628914,0.26987360255780596,0.10364270298091857,1.443639035469313,1.0268927635972072,0.78214426058676,2.4999999999999987,2.668522600485522,3.5356861417747334,0.03546959871011294,0.16420543951397512,0.237836876337155,0.6106413167962031,1.487316367352666,0.8766750505564628,1.3231109278386908,0.4310965879789117
3,30,0.3068918336047368,0.7021281489996001,-0.36329449833888466,0.5299533680672442,0.09038908399865511,1.1980203235154343,0.7031505637813825,0.4329584383802468,2.4999999999999996,2.2932717905559876,2.5556212401324876,0.05878982715980722,0.24215304004643726,0.2727070913760926,0.6844511348318035,1.3006887337456656,0.6162375989138621,1.0585356936992283,0.5973782850788785
4,40,0.6683503102040035,-0.4857372336038575,0.5296293431999509,0.1919894829480829,0.10050204953667799,1.3873771179844085,0.9395259317416005,0.6818007690129719,2.5,2.5825668932169212,3.2836701016863548,0.03556877650016286,0.13167820799556576,0.2992200137857927,0.6252197018096873,1.4438820764089544,0.818662374599267,1.3122038684133885,0.4571150866563741
5,50,-0.7563667009046587,-0.16212555681178567,0.5579825264044175,-0.30046666673428946,0.10754037615689836,1.514944535376981,1.1461542722912752,0.9667290932838828,2.5000000000000018,2.7774615586777966,3.8728668455363904,0.027589816471118106,0.10153308335429925,0.351160253524315,0.500152241983752,1.547154421137635,1.0470021791538828,1.4456213377833356,0.20634478067858117
6,60,-0.7712428087594694,0.5110483237145853,0.37176658248561695,-0.07618233989765542,0.08562774533109588,1.1295979090233224,0.6142064608005734,0.36219879817111406,2.500000000000001,2.18873754619304,2.285188970520826,0.06014726210978138,0.17215022838719696,0.42702461993574325,0.6587075104008961,1.2421176412761645,0.5834101308752684,1.0699674128889676,0.5910258054790314
7,70,0.043895796770033794,0.5620455181075632,-0.7121511371073598,-0.4183524262124211,0.058197248582200135,0.7858802289599377,0.28817569365207146,0.11706387659806616,2.5000000000000013,1.663613312762869,1.178300212493694,0.13538294663085035,0.470873353154638,0.5190264789970767,0.627963787094073,0.8821363807542143,0.25417259366014133,0.4112630275995763,0.7587474716829546
8,80,0.32552859102318044,-0.12689266833665136,-0.924490525393194,-0.15246853972896696,0.1031708142180475,1.4384702129427849,1.0129844986569667,0.7579245475013119,2.5000000000000018,2.66062578829222,3.5002794738251475,0.034777873772215355,0.15820420451650005,0.23807425188628534,0.6240198538999221,1.4797016896972937,0.8556818357973716,1.3214974851807937,0.3886115659802366
9,90,0.637893893660094,0.436178334292809,-0.4335561261351312,0.46353956316091655,0.10606111938788026,1.4945318884781993,1.098516003362269,0.870522771990153,2.5,2.746275570360212,3.7482227720544428,0.030488559925356536,0.1323823035944748,0.2570815266835406,0.5886429018495519,1.5218932678724322,0.9332503660228803,1.3895109642779573,0.34256842089179
10,100,0.566224043283614,-0.7152394306767482,-0.27642260009206254,-0.30234654913046477,0.09478156389267058,1.2734861459664821,0.7980931678949894,0.5291079754093916,2.4999999999999996,2.408566797078421,2.847313886590089,0.050614038248056124,0.21672583536878914,0.2590651348141392,0.661554327995614,1.3626547018214574,0.7011003738258434,1.1459288664526683,0.5646732797421553
11,110,-0.5797008043570073,0.5852896420072609,0.022001373582892746,-0.5664794364734851,0.10841636208292256,1.5454481763406867,1.1723087492271376,0.9591427286415775,2.5000000000000018,2.8240643434834585,3.9653083646573837,0.027236816575804325,0.12348431484721994,0.2466989058911541,0.5750635873259953,1.5547531919356323,0.979689604609637,1.4312688770884123,0.298897370054539
12,120,0.7583992934432999,0.5454011647697434,-0.29361146650547304,-0.20288023045387218,0.1032264612338131,1.4397219049530043,1.0145551575146499,0.7633251544134813,2.500000000000001,2.6625380955300537,3.5051090512034007,0.033690409169831466,0.14210608460637406,0.25918776195530613,0.6175649915080443,1.4811411619302761,0.8635761704222318,1.3390350773239021,0.3922874432896292
