actual_index,orientation_type,edge_positive_count,edge_negative_count,face_positive_count,face_negative_count,b1_chain_max_abs,b2_chain_max_abs,delta1_commutation_max_abs,p_exact_commutation_max_abs,p_harmonic_commutation_max_abs,p_coexact_commutation_max_abs,all_checks_pass
366,reversing,56,64,0,20,0.0,0.0,0.0,1.27675647831893e-15,1.5543122344752192e-15,4.163336342344337e-16,True
367,reversing,48,72,0,20,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,3.608224830031759e-16,True
368,reversing,60,60,0,20,0.0,0.0,0.0,1.6653345369377348e-15,1.8318679906315083e-15,4.440892098500626e-16,True
369,preserving,58,62,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,3.3306690738754696e-16,True
370,preserving,54,66,20,0,0.0,0.0,0.0,1.6653345369377348e-15,1.8318679906315083e-15,3.885780586188048e-16,True
371,reversing,56,64,0,20,0.0,0.0,0.0,1.4988010832439613e-15,1.5543122344752192e-15,3.885780586188048e-16,True
372,reversing,58,62,0,20,0.0,0.0,0.0,1.6653345369377348e-15,1.8318679906315083e-15,3.608224830031759e-16,True
373,preserving,68,52,20,0,0.0,0.0,0.0,1.4432899320127035e-15,1.5543122344752192e-15,3.885780586188048e-16,True
374,reversing,48,72,0,20,0.0,0.0,0.0,1.27675647831893e-15,1.5543122344752192e-15,3.608224830031759e-16,True
375,preserving,56,64,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.609823385706477e-15,3.608224830031759e-16,True
376,preserving,54,66,20,0,0.0,0.0,0.0,1.5543122344752192e-15,1.6653345369377348e-15,3.608224830031759e-16,True
377,preserving,56,64,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,4.163336342344337e-16,True
378,reversing,58,62,0,20,0.0,0.0,0.0,1.8318679906315083e-15,2.0539125955565396e-15,4.440892098500626e-16,True
379,reversing,60,60,0,20,0.0,0.0,0.0,1.887379141862766e-15,2.1094237467877974e-15,3.885780586188048e-16,True
380,reversing,68,52,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.6653345369377348e-15,4.163336342344337e-16,True
381,reversing,56,64,0,20,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,3.608224830031759e-16,True
382,preserving,64,56,20,0,0.0,0.0,0.0,1.1657341758564144e-15,1.3322676295501878e-15,3.885780586188048e-16,True
383,preserving,54,66,20,0,0.0,0.0,0.0,1.609823385706477e-15,1.7208456881689926e-15,4.440892098500626e-16,True
384,preserving,62,58,20,0,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,3.885780586188048e-16,True
385,preserving,56,64,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,4.440892098500626e-16,True
386,reversing,58,62,0,20,0.0,0.0,0.0,1.27675647831893e-15,1.4432899320127035e-15,3.608224830031759e-16,True
387,reversing,58,62,0,20,0.0,0.0,0.0,1.1657341758564144e-15,1.4432899320127035e-15,3.3306690738754696e-16,True
388,reversing,62,58,0,20,0.0,0.0,0.0,1.7208456881689926e-15,2.1094237467877974e-15,4.440892098500626e-16,True
389,reversing,56,64,0,20,0.0,0.0,0.0,1.27675647831893e-15,1.3322676295501878e-15,3.885780586188048e-16,True
390,preserving,72,48,20,0,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,3.608224830031759e-16,True
391,preserving,60,60,20,0,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,4.440892098500626e-16,True
392,preserving,70,50,20,0,0.0,0.0,0.0,1.4988010832439613e-15,1.6653345369377348e-15,3.608224830031759e-16,True
393,reversing,64,56,0,20,0.0,0.0,0.0,1.7208456881689926e-15,1.7763568394002505e-15,3.885780586188048e-16,True
394,preserving,54,66,20,0,0.0,0.0,0.0,1.3322676295501878e-15,1.4432899320127035e-15,4.163336342344337e-16,True
395,reversing,60,60,0,20,0.0,0.0,0.0,1.4988010832439613e-15,1.3877787807814457e-15,6.106226635438361e-16,True
396,preserving,58,62,20,0,0.0,0.0,0.0,1.4988010832439613e-15,1.7763568394002505e-15,3.608224830031759e-16,True
397,preserving,64,56,20,0,0.0,0.0,0.0,1.4988010832439613e-15,1.6653345369377348e-15,3.885780586188048e-16,True
398,reversing,40,80,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.6653345369377348e-15,3.608224830031759e-16,True
