start_id,s4,axis_s4_gap,projective_distance_to_axis_register,success,status,message,iteration_count,evaluation_count,f0,f1,f2,f3
0,1.597222222222223,-6.661338147750939e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,1,80,0.6934929700336285,0.3952414457921288,0.1666666666222473,-0.5788557007399282
1,1.5972222222222223,0.0,0.0,False,2,Desired error not necessarily achieved due to precision loss.,2,30,0.6779376813325643,-0.16648448238657693,0.6666666689456139,-0.26122589816260433
2,1.5972222222222232,-8.881784197001252e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,1,147,-0.6623824016810644,0.7282103924615793,-0.16666666675036812,-0.056403904550124534
3,1.597222222222222,2.220446049250313e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,0,166,0.6223394934782098,0.7619318231460653,-0.1666666666666644,0.06614887721512228
4,1.5972222222222239,-1.5543122344752192e-15,0.0,False,2,Desired error not necessarily achieved due to precision loss.,2,252,-0.606784209259731,-0.20020590419648193,0.6666666664610902,-0.38377867990232317
5,1.5972222222222239,-1.5543122344752192e-15,0.0,False,2,Desired error not necessarily achieved due to precision loss.,1,25,0.5912289249304451,-0.361520015355228,-0.16666666670186833,0.7014084822937589
6,1.5972222222222237,-1.3322676295501878e-15,0.0,False,2,Desired error not necessarily achieved due to precision loss.,1,272,-0.08670876222821862,-0.19503554476399887,0.16666666533053112,0.9626343799693949
7,1.5972222222222232,-8.881784197001252e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,1,222,-0.07115347759023516,0.3666903773754224,0.6666666661007669,0.6450045783381502
8,1.5972222222222228,-4.440892098500626e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,1,192,-0.05559819175625192,0.928416297182982,0.16666666663453777,0.3273747736637749
9,1.5972222222222237,-1.3322676295501878e-15,0.0,False,2,Desired error not necessarily achieved due to precision loss.,1,20,1.1792046399982826e-09,1.179202523892041e-09,1.0,5.896041051471059e-10
10,1.597222222222223,-6.661338147750939e-16,2.1073424255447017e-08,False,2,Desired error not necessarily achieved due to precision loss.,11,231,-0.07115348756162705,0.36669036221573575,0.666666681367737,0.6450045700768626
