model,feature_names,design_rank,coefficients,r_squared,root_mean_square_residual,maximum_absolute_residual,minimum_residual,maximum_residual,target
minimum_gap__moments_linear,"[""1"", ""S4"", ""S6"", ""S8"", ""||r||^2""]",5,"[0.09254422471307432, -0.03238083874418775, -0.05342978549182863, 0.02533425441630113, -0.07011423951668364]",0.9939483990642194,0.0010657216377743695,0.009874511427088832,-0.002498581180651001,0.009874511427088832,minimum_gap
minimum_gap__moments_quadratic,"[""1"", ""S4"", ""S6"", ""S8"", ""||r||^2"", ""S4^2"", ""S4*S6"", ""S4*||r||^2"", ""S6^2"", ""||r||^4""]",9,"[0.017889445298038546, 0.41183944178980475, -0.9313603205267418, 0.0013473724218892825, -0.13301436073974404, -0.33615224463833693, 0.9556598886517228, 0.2189582437605843, -0.35799759834448713, 0.565279930668422]",0.9990226148990482,0.0004282935164628857,0.005325475418506448,-0.0014350853115821169,0.005325475418506448,minimum_gap
minimum_gap__moments_cubic,"[""1"", ""S4"", ""S6"", ""S8"", ""||r||^2"", ""S4^2"", ""S4*S6"", ""S4*||r||^2"", ""S6^2"", ""||r||^4"", ""S4^3"", ""S4^2*S6"", ""S4*S6^2"", ""S4^2*||r||^2"", ""S4*||r||^4""]",12,"[0.001793887909910316, 1.8888718657811048, -3.6725085036978125, -0.005784088527031725, 1.462563429401732, -2.9717128333727025, 5.029491209744923, -0.9752531990497365, -2.7939041625703895, 3.8296763644364757, 1.5748782142047593, -1.8441072471204811, 1.194675122914515, 1.0649797110395365, -1.7030529275741901]",0.9994144351920151,0.00033150961332450117,0.004886447903242115,-0.0011344535523836533,0.004886447903242115,minimum_gap
gap_determinant__moments_linear,"[""1"", ""S4"", ""S6"", ""S8"", ""||r||^2""]",5,"[2.193683994733614e-07, -1.2266550154379866e-07, -8.273029230553791e-08, 7.202569210327838e-08, -1.5139666242554568e-07]",0.9992623335977295,7.491704026536713e-10,4.03310812198483e-09,-4.03310812198483e-09,1.7808580882277614e-09,gap_determinant
gap_determinant__moments_quadratic,"[""1"", ""S4"", ""S6"", ""S8"", ""||r||^2"", ""S4^2"", ""S4*S6"", ""S4*||r||^2"", ""S6^2"", ""||r||^4""]",9,"[1.477208222070404e-07, 5.1929545131785806e-08, -1.5622736112354905e-07, 5.68670814508542e-23, -9.010870616802494e-08, -8.675972640122076e-08, 3.2150205761317854e-08, 4.300574241481206e-22, 7.716049382716096e-08, 3.682240119932919e-21]",1.0,8.50021529150879e-22,3.017554874593445e-21,-1.5021599923962983e-21,3.017554874593445e-21,gap_determinant
gap_determinant__moments_cubic,"[""1"", ""S4"", ""S6"", ""S8"", ""||r||^2"", ""S4^2"", ""S4*S6"", ""S4*||r||^2"", ""S6^2"", ""||r||^4"", ""S4^3"", ""S4^2*S6"", ""S4*S6^2"", ""S4^2*||r||^2"", ""S4*||r||^4""]",12,"[1.4266555999650954e-07, 4.942879913182113e-08, -1.2828658315046742e-07, -5.59191152807603e-22, -8.080364680785107e-08, -6.824679063413396e-08, 1.7107295419752375e-08, -6.362029810627301e-08, 4.2834730140838795e-08, 3.432576368632424e-08, -2.428869388235963e-08, 3.432576368632919e-08, -2.4706608882351007e-21, 3.4325763686325545e-08, 4.004082378454866e-21]",1.0,1.5965915474078459e-21,2.8190315275807183e-21,-1.5352472168984194e-21,2.8190315275807183e-21,gap_determinant
second_elementary__moments_linear,"[""1"", ""S4"", ""S6"", ""S8"", ""||r||^2""]",5,"[0.07841435185185183, -0.008333333333333214, -1.354484944710416e-17, -4.146242277311587e-18, -1.0522269131653068e-17]",1.0,2.2454872213709164e-16,7.077671781985373e-16,-7.077671781985373e-16,4.163336342344337e-16,second_elementary
second_elementary__moments_quadratic,"[""1"", ""S4"", ""S6"", ""S8"", ""||r||^2"", ""S4^2"", ""S4*S6"", ""S4*||r||^2"", ""S6^2"", ""||r||^4""]",9,"[0.072280308832612, 0.004621765523301473, 0.011306268093060989, 1.21676142885225e-16, -0.011306268093062495, -0.011306268093063187, 2.162514271179503e-15, -8.540129994664254e-17, -8.990212671339913e-16, 1.4045361780160403e-15]",1.0,2.3383262012259526e-16,7.632783294297951e-16,-7.632783294297951e-16,5.828670879282072e-16,second_elementary
second_elementary__moments_cubic,"[""1"", ""S4"", ""S6"", ""S8"", ""||r||^2"", ""S4^2"", ""S4*S6"", ""S4*||r||^2"", ""S6^2"", ""||r||^4"", ""S4^3"", ""S4^2*S6"", ""S4*S6^2"", ""S4^2*||r||^2"", ""S4*||r||^4""]",12,"[0.07146125009194174, 0.004216592105160614, 0.012815957163854742, -5.859084878896995e-17, -0.012815957163857162, -0.008306783353407317, 0.003935278961880701, -0.003935278961872701, -1.0165465090650744e-14, 1.782361771070762e-15, -0.003935278961858278, -6.891924393856789e-15, 4.435327008039307e-15, 5.2238550210473286e-15, 4.189309964211394e-15]",1.0,1.0716216628930164e-15,2.1788126858268697e-15,-1.1102230246251565e-16,2.1788126858268697e-15,second_elementary
