probe_id,point_norm_squared,direct_determinant,predicted_determinant,absolute_residual
0,6.415920602299567,0.003494615279925636,0.005161243081870158,0.0016666278019445216
1,0.9223484258496085,3.980101590537009e-08,5.5266371303927686e-08,1.5465355398557593e-08
2,5.246909529298238,0.0010559794486806214,0.001532437535924618,0.00047645808724399667
3,4.928490756463784,0.0009059456285509612,0.0012439248853200351,0.00033797925676907396
4,3.3662726536866296,2.0865325903513023e-05,4.9373191010295407e-05,2.8507865106782384e-05
5,2.685690174534651,6.721655167555809e-07,6.780336511264458e-06,6.108170994508878e-06
6,6.74847417227585,6.727514908399326e-05,0.0015418323402724924,0.001474557191188499
7,8.416156359376817,0.017409208207568975,0.025842392727139674,0.008433184519570699
8,1.153540380627737,1.0422199690839449e-07,1.581987147836806e-07,5.39767178752861e-08
9,5.930881625408172,0.0019040031828466857,0.002894215495096665,0.0009902123122499792
10,6.039250115928905,0.0007643536606549319,0.0017262027753476138,0.000961849114692682
11,3.3518026983858675,6.824895571178169e-05,0.00010138566021548079,3.31367045036991e-05
12,0.3735708033288905,1.2380149977158443e-10,1.8534424349718298e-10,6.154274372559856e-11
13,4.860691203961352,0.0008429714992230694,0.0011580505379028053,0.00031507903867973586
14,10.926622558897817,0.08772929574780565,0.12850112275339654,0.040771827005590885
15,3.437673229888853,6.286555708854781e-05,9.937338604808391e-05,3.65078289595361e-05
16,5.359676892727903,3.4068060216039965e-05,0.00041900975222903446,0.0003849416920129945
17,3.5968589066110996,1.1599494422228338e-05,4.9744366273012005e-05,3.8144871850783665e-05
18,3.0466330361826737,1.8057024591539278e-05,3.455322859791971e-05,1.649620400638043e-05
19,10.160649213791904,0.000135993499853727,0.01664926720635712,0.016513273706503396
20,5.74169713772912,0.00037296490711255596,0.0010481234824562616,0.0006751585753437055
21,5.597765150137478,0.0025369006564720954,0.003277849701553485,0.0007409490450813894
22,0.09148435078198422,2.3696680209625145e-14,3.71307943791423e-14,1.3434114169517156e-14
23,1.233673777219821,6.145724128659531e-08,1.3225637585443985e-07,7.079913456784454e-08
24,2.002506832473699,2.831576261269668e-08,1.0193043291022835e-06,9.909885664895869e-07
25,7.0747249633992055,0.008144960489962815,0.011074347313242215,0.0029293868232794004
26,2.9478607489209083,1.805515396463234e-05,3.202642158297492e-05,1.3971267618342579e-05
27,4.441753714023447,0.0003328777527803064,0.0005086194186004157,0.00017574166582010932
28,5.522134525567351,0.0016473233828170457,0.002319889413281653,0.0006725660304646075
29,5.250481261331841,0.0003049301117706632,0.0007148463408689795,0.0004099162290983163
30,4.112116815317989,0.00025267527722082984,0.0003663373478570883,0.00011366207063625845
31,6.79111675115243,0.0019708291637720887,0.003973654305134681,0.002002825141362592
32,3.0619743090403473,2.8683748048529847e-05,4.685825735971182e-05,1.8174509311181973e-05
33,7.151099696412073,0.008084640954073956,0.011278201569842806,0.0031935606157688506
34,10.390668441059349,0.044297586843936046,0.07210080156482496,0.02780321472088891
35,6.945829577913742,0.003182657414322864,0.005602911659157722,0.002420254244834858
36,9.795583137965728,0.03282958690789162,0.052506312399988694,0.019676725492097077
37,2.0730896988661414,4.906508976554297e-06,6.764636174895977e-06,1.8581271983416794e-06
38,2.740113134372573,9.950338497584443e-08,6.5278810147498145e-06,6.42837762977397e-06
39,2.8023665227792947,4.6213925905585276e-07,8.114820955812144e-06,7.652681696756292e-06
40,1.2244439355110175,1.5831794033778302e-07,2.3732202027979487e-07,7.900407994201184e-08
41,1.1814974391879436,2.0027348046896064e-07,2.661064383248616e-07,6.583295785590094e-08
42,1.29791121026948,3.270152474988297e-07,4.41054954276238e-07,1.140397067774083e-07
43,3.373195852221397,1.9348200799567724e-05,4.789270221743912e-05,2.8544501417871396e-05
44,1.10382799596837,4.737966871969996e-08,8.585502537359673e-08,3.847535665389677e-08
45,3.283559607080854,7.894639525104698e-06,3.03692536455721e-05,2.24746141204674e-05
46,3.416438571823336,7.899770888579832e-05,0.00011521023321732374,3.621252433152542e-05
47,1.1439206488478955,1.1250652089749481e-08,5.0657500160577855e-08,3.9406848070828374e-08
48,3.4161646732524154,2.035592941019474e-08,2.340702197987812e-05,2.3386666050467925e-05
49,5.1202850823698345,0.00010507652738677423,0.00042487565411854477,0.00031979912673177054
50,3.740733330168072,4.559890159544264e-06,4.899225046368303e-05,4.443236030413877e-05
51,0.7295275973451529,5.623816028882731e-09,9.03901268122753e-09,3.4151966523447983e-09
52,2.72949478423323,2.2745883746940353e-05,3.276776082109815e-05,1.0021877074157799e-05
53,5.088545311698565,3.5593731198882464e-06,0.0002665164824285203,0.00026295710930863205
54,1.3460570117733575,5.454565976805537e-09,9.915540765570559e-08,9.370084167890006e-08
