line_id,orbit_id,orbit_size,rank,trace,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5,operator_norm,polynomial_residual,spectral_residual,trace_residual
11,0,15,4,0.2500000000000001,-1.7016783979654607e-17,3.643556104700409e-18,0.01591525046875435,0.015915250468754378,0.1090847495312456,0.10908474953124572,0.33027980490978515,6.45488276393732e-19,9.71445146547012e-17,1.1102230246251565e-16
12,0,15,4,0.2500000000000005,-1.0305901584350886e-17,-6.755422149227818e-18,0.015915250468754423,0.01591525046875444,0.10908474953124568,0.10908474953124592,0.3302798049097854,1.7595512942953997e-18,2.914335439641036e-16,4.996003610813204e-16
13,0,15,4,0.25000000000000105,-1.2166619803845835e-17,-2.4885843202458873e-18,0.01591525046875442,0.015915250468754437,0.10908474953124608,0.10908474953124614,0.33027980490978576,3.604532713465232e-18,5.134781488891349e-16,1.0547118733938987e-15
15,0,15,4,0.24999999999999997,-7.428346731468963e-18,1.0551784257716804e-18,0.015915250468754364,0.015915250468754392,0.10908474953124563,0.10908474953124574,0.33027980490978515,2.6742248322847035e-19,1.1102230246251565e-16,2.7755575615628914e-17
16,0,15,4,0.24999999999999994,-4.99067949710924e-18,3.482626026261877e-18,0.015915250468754374,0.015915250468754378,0.10908474953124558,0.10908474953124564,0.330279804909785,5.196522689747602e-19,4.163336342344337e-17,5.551115123125783e-17
17,0,15,4,0.24999999999999933,-9.819334926084482e-18,2.524389920967165e-18,0.01591525046875431,0.015915250468754343,0.10908474953124526,0.10908474953124542,0.33027980490978465,1.777336935931395e-18,3.608224830031759e-16,6.661338147750939e-16
18,0,15,4,0.2500000000000004,-6.312117854376143e-19,2.6361036246154217e-17,0.015915250468754413,0.01591525046875443,0.10908474953124572,0.10908474953124583,0.3302798049097853,1.184957434479116e-18,2.0816681711721685e-16,3.885780586188048e-16
19,0,15,4,0.24999999999999947,4.377116978737099e-18,5.628806937410434e-18,0.015915250468754343,0.015915250468754357,0.10908474953124536,0.10908474953124539,0.33027980490978465,2.2868628173481695e-18,2.636779683484747e-16,5.273559366969494e-16
20,0,15,4,0.2500000000000004,-2.0489355945219426e-18,4.4263570645038435e-18,0.015915250468754416,0.015915250468754423,0.10908474953124579,0.10908474953124583,0.3302798049097853,8.466299888077921e-19,2.0816681711721685e-16,3.885780586188048e-16
21,0,15,4,0.24999999999999994,-4.000961858322479e-19,4.367480046923972e-18,0.01591525046875438,0.01591525046875441,0.10908474953124553,0.10908474953124558,0.3302798049097849,3.855405538545394e-19,9.71445146547012e-17,5.551115123125783e-17
