start_id,value,flux_norm,iteration_count,converged
0,0.33333333333332626,0.33333333333332615,40,True
1,0.3333333333333235,0.3333333333333236,47,True
2,0.3333333333333252,0.3333333333333254,44,True
3,0.33333333333332704,0.33333333333332704,38,True
4,0.3333333333333264,0.33333333333332626,40,True
5,0.3333333333333248,0.33333333333332493,44,True
6,0.3333333333333285,0.33333333333332843,59,True
7,0.33333333333332554,0.3333333333333255,48,True
8,0.33333333333332427,0.33333333333332443,46,True
9,0.3333333333333253,0.33333333333332554,53,True
10,0.33333333333332654,0.33333333333332665,54,True
11,0.33333333333332515,0.3333333333333251,49,True
12,0.33333333333332443,0.3333333333333242,48,True
13,0.3333333333333231,0.3333333333333231,48,True
14,0.3333333333333272,0.33333333333332715,43,True
15,0.33333333333332854,0.3333333333333284,40,True
16,0.33333333333332615,0.3333333333333264,61,True
17,0.33333333333332643,0.3333333333333264,47,True
18,0.33333333333332466,0.3333333333333248,37,True
19,0.3333333333333248,0.3333333333333247,49,True
20,0.3333333333333256,0.33333333333332554,62,True
21,0.3333333333333282,0.33333333333332776,46,True
22,0.3333333333333281,0.33333333333332815,45,True
23,0.3333333333333235,0.3333333333333235,47,True
24,0.3333333333333266,0.33333333333332665,43,True
25,0.3333333333333267,0.3333333333333266,41,True
26,0.33333333333332793,0.33333333333332776,48,True
27,0.3333333333333241,0.33333333333332393,41,True
28,0.33333333333332377,0.3333333333333237,39,True
29,0.3333333333333258,0.3333333333333259,38,True
30,0.33333333333332793,0.33333333333332776,68,True
31,0.3333333333333258,0.33333333333332577,48,True
32,0.3333333333333276,0.3333333333333278,54,True
33,0.33333333333332466,0.33333333333332477,44,True
34,0.3333333333333238,0.33333333333332404,52,True
35,0.3333333333333254,0.3333333333333253,45,True
36,0.3333333333333268,0.3333333333333268,44,True
37,0.3333333333333266,0.3333333333333266,40,True
38,0.33333333333332826,0.3333333333333282,39,True
39,0.3333333333333235,0.33333333333332377,47,True
40,0.3333333333333254,0.33333333333332527,46,True
41,0.33333333333332643,0.33333333333332654,54,True
42,0.3333333333333232,0.3333333333333232,55,True
43,0.33333333333332626,0.33333333333332626,39,True
44,0.33333333333332826,0.3333333333333284,56,True
45,0.3333333333333265,0.33333333333332643,42,True
46,0.3333333333333264,0.33333333333332626,59,True
47,0.33333333333332776,0.3333333333333276,41,True
48,0.3333333333333249,0.33333333333332477,60,True
49,0.3333333333333226,0.33333333333332293,45,True
50,0.3333333333333232,0.3333333333333231,40,True
51,0.333333333333323,0.3333333333333231,57,True
52,0.3333333333333273,0.33333333333332726,42,True
53,0.3333333333333275,0.33333333333332754,48,True
54,0.3333333333333258,0.3333333333333259,39,True
55,0.3333333333333277,0.33333333333332776,45,True
56,0.3333333333333276,0.3333333333333277,54,True
57,0.3333333333333276,0.33333333333332776,40,True
58,0.33333333333332266,0.3333333333333229,60,True
59,0.3333333333333238,0.3333333333333237,45,True
60,0.333333333333326,0.33333333333332577,44,True
61,0.3333333333333249,0.333333333333325,40,True
62,0.3333333333333269,0.3333333333333268,60,True
63,0.33333333333332393,0.3333333333333241,54,True
64,0.33333333333332654,0.3333333333333267,55,True
65,0.3333333333333273,0.3333333333333273,58,True
66,0.33333333333332543,0.3333333333333253,38,True
67,0.3333333333333269,0.33333333333332665,46,True
68,0.33333333333332676,0.3333333333333267,50,True
69,0.3333333333333239,0.3333333333333238,40,True
70,0.333333333333328,0.33333333333332793,45,True
71,0.33333333333332726,0.3333333333333272,42,True
72,0.3333333333333259,0.3333333333333258,42,True
73,0.33333333333332654,0.3333333333333267,44,True
74,0.3333333333333276,0.3333333333333276,41,True
75,0.33333333333332477,0.3333333333333247,39,True
76,0.3333333333333223,0.3333333333333224,40,True
77,0.33333333333332515,0.3333333333333252,43,True
78,0.3333333333333257,0.3333333333333259,42,True
79,0.33333333333332293,0.333333333333323,49,True
80,0.33333333333332693,0.33333333333332704,47,True
81,0.33333333333332676,0.3333333333333271,43,True
82,0.33333333333332593,0.3333333333333261,43,True
83,0.3333333333333276,0.3333333333333276,43,True
84,0.3333333333333256,0.33333333333332565,48,True
85,0.3333333333333275,0.33333333333332743,41,True
86,0.33333333333332327,0.3333333333333233,43,True
87,0.33333333333332515,0.3333333333333251,38,True
88,0.333333333333326,0.33333333333332604,41,True
89,0.33333333333332377,0.33333333333332377,42,True
90,0.3333333333333268,0.33333333333332693,43,True
91,0.3333333333333233,0.3333333333333233,47,True
92,0.333333333333326,0.3333333333333262,44,True
93,0.33333333333332693,0.33333333333332693,43,True
94,0.33333333333332754,0.33333333333332754,41,True
95,0.3333333333333262,0.3333333333333261,42,True
96,0.33333333333332543,0.3333333333333253,37,True
97,0.33333333333332577,0.33333333333332593,47,True
98,0.33333333333332527,0.33333333333332527,42,True
99,0.33333333333332593,0.33333333333332577,42,True
100,0.3333333333333258,0.33333333333332577,56,True
101,0.333333333333326,0.3333333333333261,50,True
102,0.3333333333333266,0.33333333333332676,47,True
